time,DEG0K
2021-01-01,-1.0891665
2021-01-02,-0.7891666
2021-01-03,-1.0241667
2021-01-04,-1.2591666
2021-01-05,0.91749996
2021-01-06,1.1641667
2021-01-07,-1.1191667
2021-01-08,-0.9591667
2021-01-09,-2.5933332
2021-01-10,-2.716667
2021-01-11,-1.5833334
2021-01-12,-2.2366667
2021-01-13,-2.0841668
2021-01-14,-3.6449997
2021-01-15,-9.9225
2021-01-16,-11.069167
2021-01-17,-17.25
2021-01-18,-12.0183325
2021-01-19,-10.215833
2021-01-20,-8.153333
2021-01-21,1.18
2021-01-22,3.8575
2021-01-23,1.4133333
2021-01-24,1.5008334
2021-01-25,-0.7291667
2021-01-26,-0.14166667
2021-01-27,-0.83
2021-01-28,-1.9291667
2021-01-29,-3.1266663
2021-01-30,-3.9383333
2021-01-31,-3.6308334
2021-02-01,-5.6025004
2021-02-02,-4.4666667
2021-02-03,-2.0149999
2021-02-04,-5.3425
2021-02-05,-9.140833
2021-02-06,-13.195832
2021-02-07,-15.5675
2021-02-08,-13.433333
2021-02-09,-10.216666
2021-02-10,-12.814166
2021-02-11,-12.843333
2021-02-12,-13.1325
2021-02-13,-6.175833
2021-02-14,-2.7791665
2021-02-15,-6.44
2021-02-16,-5.4616666
2021-02-17,-6.513334
2021-02-18,-12.921666
2021-02-19,-9.9325
2021-02-20,-2.3591666
2021-02-21,2.7033331
2021-02-22,2.4675
2021-02-23,1.8449998
2021-02-24,4.4858327
2021-02-25,6.15
2021-02-26,4.8275
2021-02-27,2.9099998
2021-02-28,2.1325
2021-03-01,2.6125
2021-03-02,3.8266666
2021-03-03,1.4625001
2021-03-04,1.3433332
2021-03-05,-1.4641666
2021-03-06,-0.96416664
2021-03-07,0.7733333
2021-03-08,-1.9499998
2021-03-09,-2.4725
2021-03-10,-0.9258334
2021-03-11,-1.0975
2021-03-12,3.0775
2021-03-13,3.3341665
2021-03-14,3.3416665
2021-03-15,2.5816665
2021-03-16,1.8675
2021-03-17,0.37333333
2021-03-18,0.099999994
2021-03-19,-2.1083333
2021-03-20,-3.279167
2021-03-21,0.5516666
2021-03-22,1.2166666
2021-03-23,2.6508334
2021-03-24,3.37
2021-03-25,5.4991665
2021-03-26,5.6733327
2021-03-27,7.873333
2021-03-28,5.4516664
2021-03-29,5.1524997
2021-03-30,8.381667
2021-03-31,8.993333
2021-04-01,6.74
2021-04-02,4.265
2021-04-03,3.4108331
2021-04-04,3.7191668
2021-04-05,4.475833
2021-04-06,3.0916665
2021-04-07,2.55
2021-04-08,3.9824998
2021-04-09,4.830833
2021-04-10,6.5183334
2021-04-11,8.89
2021-04-12,11.551666
2021-04-13,6.1049995
2021-04-14,4.4116664
2021-04-15,6.306667
2021-04-16,8.285
2021-04-17,10.81
2021-04-18,11.43
2021-04-19,11.208333
2021-04-20,9.864166
2021-04-21,9.380833
2021-04-22,6.431667
2021-04-23,3.915
2021-04-24,3.968333
2021-04-25,3.195
2021-04-26,2.8016665
2021-04-27,3.8183334
2021-04-28,5.2475
2021-04-29,9.076667
2021-04-30,8.7058325
2021-05-01,6.3875003
2021-05-02,7.379166
2021-05-03,4.798333
2021-05-04,7.3475
2021-05-05,10.735
2021-05-06,8.367499
2021-05-07,6.5341663
2021-05-08,6.165833
2021-05-09,8.824166
2021-05-10,16.6475
2021-05-11,18.6375
2021-05-12,18.801666
2021-05-13,14.178333
2021-05-14,12.413333
2021-05-15,12.051666
2021-05-16,13.140834
2021-05-17,14.378333
2021-05-18,13.399166
2021-05-19,12.4575
2021-05-20,11.7025
2021-05-21,11.715833
2021-05-22,13.336666
2021-05-23,12.039998
2021-05-24,12.177501
2021-05-25,14.028333
2021-05-26,12.303332
2021-05-27,12.982499
2021-05-28,11.344167
2021-05-29,11.119166
2021-05-30,12.499167
2021-05-31,12.3775
2021-06-01,13.162499
2021-06-02,15.809166
2021-06-03,17.041666
2021-06-04,17.34167
2021-06-05,17.620832
2021-06-06,16.825834
2021-06-07,18.72833
2021-06-08,18.529165
2021-06-09,18.359999
2021-06-10,18.699999
2021-06-11,18.858332
2021-06-12,17.6775
2021-06-13,15.940833
2021-06-14,15.883332
2021-06-15,16.940834
2021-06-16,15.9225
2021-06-17,18.054167
2021-06-18,21.501665
2021-06-19,24.056665
2021-06-20,24.8375
2021-06-21,26.439169
