time,DEG0L
2021-01-01,-1.4672726
2021-01-02,-1.1154546
2021-01-03,-1.1036364
2021-01-04,-1.630909
2021-01-05,0.21
2021-01-06,0.3336363
2021-01-07,-1.2399999
2021-01-08,-1.510909
2021-01-09,-3.0181816
2021-01-10,-3.3936365
2021-01-11,-0.8681818
2021-01-12,-1.6436362
2021-01-13,-1.8290908
2021-01-14,-3.9609091
2021-01-15,-10.123636
2021-01-16,-11.317272
2021-01-17,-16.226362
2021-01-18,-10.564545
2021-01-19,-8.913636
2021-01-20,-7.6399994
2021-01-21,1.5072727
2021-01-22,3.6527274
2021-01-23,1.3636364
2021-01-24,1.7336364
2021-01-25,-0.23636363
2021-01-26,-0.1809091
2021-01-27,-0.62454545
2021-01-28,-1.8863635
2021-01-29,-3.159091
2021-01-30,-3.0736365
2021-01-31,-3.0236366
2021-02-01,-3.992727
2021-02-02,-4.43
2021-02-03,-2.6372726
2021-02-04,-6.277273
2021-02-05,-9.970909
2021-02-06,-13.686362
2021-02-07,-13.9463625
2021-02-08,-13.781817
2021-02-09,-10.085454
2021-02-10,-12.71091
2021-02-11,-12.351818
2021-02-12,-11.652726
2021-02-13,-4.1927276
2021-02-14,-2.222727
2021-02-15,-6.2781816
2021-02-16,-5.079091
2021-02-17,-7.3390903
2021-02-18,-13.945456
2021-02-19,-9.291818
2021-02-20,-2.1172726
2021-02-21,2.9672728
2021-02-22,2.5554545
2021-02-23,2.2427273
2021-02-24,3.8345454
2021-02-25,6.4045453
2021-02-26,4.4154544
2021-02-27,2.9381819
2021-02-28,2.5581818
2021-03-01,2.6154544
2021-03-02,3.221818
2021-03-03,0.7618182
2021-03-04,0.55181813
2021-03-05,-2.3081818
2021-03-06,-1.1581817
2021-03-07,0.34545454
2021-03-08,-2.8181818
2021-03-09,-2.7154546
2021-03-10,-1.0209091
2021-03-11,-1.410909
2021-03-12,2.6445456
2021-03-13,2.7781816
2021-03-14,2.8045454
2021-03-15,2.350909
2021-03-16,1.8181819
2021-03-17,-0.16545454
2021-03-18,0.05454546
2021-03-19,-2.6327274
2021-03-20,-2.961818
2021-03-21,1.0681818
2021-03-22,1.1863636
2021-03-23,2.8427272
2021-03-24,3.0518181
2021-03-25,4.9572725
2021-03-26,5.0409093
2021-03-27,8.071818
2021-03-28,4.795454
2021-03-29,5.178181
2021-03-30,7.352728
2021-03-31,7.0663633
2021-04-01,5.3509088
2021-04-02,3.3409088
2021-04-03,2.992727
2021-04-04,3.5172727
2021-04-05,3.0681818
2021-04-06,2.450909
2021-04-07,2.2190907
2021-04-08,3.5418181
2021-04-09,4.382727
2021-04-10,4.836364
2021-04-11,6.6
2021-04-12,10.134544
2021-04-13,5.000909
2021-04-14,4.2863636
2021-04-15,6.0527267
2021-04-16,8.039091
2021-04-17,10.765453
2021-04-18,11.526363
2021-04-19,11.117272
2021-04-20,9.513636
2021-04-21,8.269091
2021-04-22,4.868181
2021-04-23,3.2263634
2021-04-24,3.2490907
2021-04-25,2.44
2021-04-26,2.290909
2021-04-27,3.2063637
2021-04-28,4.725455
2021-04-29,8.271817
2021-04-30,6.735454
2021-05-01,5.34
2021-05-02,6.026364
2021-05-03,4.5945454
2021-05-04,6.656363
2021-05-05,9.184544
2021-05-06,6.6163635
2021-05-07,6.020909
2021-05-08,5.478182
2021-05-09,9.079091
2021-05-10,17.135454
2021-05-11,19.325453
2021-05-12,19.425453
2021-05-13,14.81
2021-05-14,11.335455
2021-05-15,11.120909
2021-05-16,13.086364
2021-05-17,13.971817
2021-05-18,12.698181
2021-05-19,12.19
2021-05-20,11.213636
2021-05-21,10.786363
2021-05-22,12.725454
2021-05-23,11.233636
2021-05-24,11.636363
2021-05-25,13.313638
2021-05-26,11.428182
2021-05-27,11.86818
2021-05-28,10.96909
2021-05-29,10.539092
2021-05-30,12.003635
2021-05-31,11.980908
2021-06-01,13.293636
2021-06-02,16.132727
2021-06-03,16.287273
2021-06-04,17.146362
2021-06-05,17.690907
2021-06-06,16.418182
2021-06-07,18.709091
2021-06-08,17.716364
2021-06-09,17.775454
2021-06-10,18.022726
2021-06-11,18.495455
2021-06-12,16.092728
2021-06-13,15.129999
2021-06-14,15.330909
2021-06-15,15.972727
2021-06-16,15.224545
2021-06-17,17.89909
2021-06-18,21.81
2021-06-19,23.892725
2021-06-20,24.921816
2021-06-21,26.469091
2021-06-22,25.743635
2021-06-23,21.868181
2021-06-24,20.786364
2021-06-25,20.00818
2021-06-26,18.84091
2021-06-27,18.942726
2021-06-28,19.072725
2021-06-29,19.556364
2021-06-30,21.157272
2021-07-01,22.535454
2021-07-02,22.076363
2021-07-03,20.142727
2021-07-04,21.385454
2021-07-05,20.855453
2021-07-06,21.72091
2021-07-07,23.662725
2021-07-08,21.629091
2021-07-09,23.806364
2021-07-10,22.57909
2021-07-11,20.836363
2021-07-12,23.286364
2021-07-13,24.192726
2021-07-14,24.05818
2021-07-15,24.466362
2021-07-16,24.699091
2021-07-17,23.321815
2021-07-18,21.333637
2021-07-19,18.345453
2021-07-20,18.560911
2021-07-21,18.090002
2021-07-22,18.356363
2021-07-23,18.965454
2021-07-24,17.615454
2021-07-25,20.102728
2021-07-26,23.41818
2021-07-27,21.751818
2021-07-28,21.899092
2021-07-29,21.10909
2021-07-30,18.031816
2021-07-31,19.515455
2021-08-01,18.203634
2021-08-02,16.63
2021-08-03,15.49909
2021-08-04,15.228181
2021-08-05,16.51091
2021-08-06,16.179998
2021-08-07,16.643635
2021-08-08,17.112728
2021-08-09,17.094545
2021-08-10,17.145454
2021-08-11,16.54
2021-08-12,16.930908
2021-08-13,18.250908
2021-08-14,19.411818
2021-08-15,17.823635
2021-08-16,18.718182
2021-08-17,16.221817
2021-08-18,14.631818
2021-08-19,15.954545
2021-08-20,16.256365
2021-08-21,15.478181
2021-08-22,14.144546
2021-08-23,14.140908
2021-08-24,11.943637
2021-08-25,12.584546
2021-08-26,13.016363
2021-08-27,14.570001
2021-08-28,16.342728
2021-08-29,15.449998
2021-08-30,15.056362
2021-08-31,14.678181
2021-09-01,13.470908
2021-09-02,12.226363
2021-09-03,12.672727
2021-09-04,9.608181
2021-09-05,8.324545
2021-09-06,10.915455
2021-09-07,14.21
2021-09-08,15.394546
2021-09-09,17.293636
2021-09-10,16.746365
2021-09-11,16.46818
2021-09-12,16.74182
2021-09-13,14.232726
2021-09-14,11.418181
2021-09-15,10.889091
2021-09-16,10.759999
2021-09-17,10.623636
2021-09-18,8.599999
2021-09-19,7.68
2021-09-20,6.5727267
2021-09-21,7.254545
2021-09-22,7.1381817
2021-09-23,9.32909
2021-09-24,10.204545
2021-09-25,12.182727
2021-09-26,10.599999
2021-09-27,10.003636
2021-09-28,10.393638
2021-09-29,10.335454
2021-09-30,9.305454
2021-10-01,9.98
2021-10-02,10.496364
2021-10-03,11.987273
2021-10-04,12.236364
2021-10-05,12.916364
2021-10-06,12.804544
2021-10-07,9.84
2021-10-08,6.1554546
2021-10-09,7.1281815
2021-10-10,8.166364
2021-10-11,6.5963635
2021-10-12,6.699091
2021-10-13,5.8154545
2021-10-14,6.05909
2021-10-15,9.393636
2021-10-16,8.476363
2021-10-17,7.656364
2021-10-18,5.756364
2021-10-19,5.560909
2021-10-20,11.601818
2021-10-21,12.407272
2021-10-22,7.3454547
2021-10-23,5.376363
2021-10-24,4.889091
2021-10-25,6.4981813
2021-10-26,6.4427266
2021-10-27,9.26
2021-10-28,11.640909
2021-10-29,9.65909
2021-10-30,8.437272
2021-10-31,9.759091
2021-11-01,7.858182
2021-11-02,6.127272
2021-11-03,6.9281816
2021-11-04,6.831818
2021-11-05,7.6963634
2021-11-06,7.6309094
2021-11-07,7.803636
2021-11-08,3.961818
2021-11-09,0.6254545
2021-11-10,6.932727
2021-11-11,8.047273
2021-11-12,5.710909
2021-11-13,3.2381818
2021-11-14,3.2736366
2021-11-15,0.2
2021-11-16,2.6599998
2021-11-17,3.4318182
2021-11-18,5.4154544
2021-11-19,7.2827272
2021-11-20,7.2427273
2021-11-21,4.4763637
2021-11-22,-0.2090909
2021-11-23,1.7781818
2021-11-24,4.770909
2021-11-25,4.7190905
2021-11-26,3.711818
2021-11-27,1.0090909
2021-11-28,-0.02454545
2021-11-29,-0.122727275
2021-11-30,-1.3509091
2021-12-01,-1.7863636
2021-12-02,1.1645453
2021-12-03,-2.0463636
2021-12-04,-2.1127272
2021-12-05,-4.6163635
2021-12-06,-10.1563635
2021-12-07,-12.787273
2021-12-08,-11.376363
2021-12-09,-9.49091
2021-12-10,-1.2754545
2021-12-11,0.6127272
2021-12-12,-0.8900001
2021-12-13,-0.90454537
2021-12-14,0.10363636
2021-12-15,2.8481817
2021-12-16,4.562727
2021-12-17,2.7072725
2021-12-18,2.719091
2021-12-19,1.4281818
2021-12-20,-3.7554543
2021-12-21,-7.3881807
2021-12-22,-10.389999
2021-12-23,-5.33
2021-12-24,-4.1018186
2021-12-25,-4.9218183
2021-12-26,-5.0318184
2021-12-27,-5.3154545
2021-12-28,-8.475454
2021-12-29,-7.2636356
2021-12-30,-3.109091
2021-12-31,2.4336362
