time,DEG0M
2021-01-01,-0.627647
2021-01-02,-1.3470587
2021-01-03,-1.9482353
2021-01-04,-1.46
2021-01-05,0.4864706
2021-01-06,-0.26647058
2021-01-07,-1.6464704
2021-01-08,-2.8923528
2021-01-09,-3.235294
2021-01-10,-4.7647057
2021-01-11,-3.172941
2021-01-12,-2.4288235
2021-01-13,-2.1399999
2021-01-14,-5.5499997
2021-01-15,-13.275883
2021-01-16,-18.164118
2021-01-17,-20.363527
2021-01-18,-14.030588
2021-01-19,-13.005294
2021-01-20,-10.940588
2021-01-21,-1.0252942
2021-01-22,2.115294
2021-01-23,0.60352945
2021-01-24,1.195294
2021-01-25,-0.03588235
2021-01-26,-0.4864706
2021-01-27,-0.32117644
2021-01-28,-1.7317647
2021-01-29,-2.5176468
2021-01-30,-2.8858821
2021-01-31,-3.0335293
2021-02-01,-4.9329414
2021-02-02,-5.284117
2021-02-03,-2.4523528
2021-02-04,-6.36647
2021-02-05,-9.719412
2021-02-06,-15.914705
2021-02-07,-17.683529
2021-02-08,-15.285881
2021-02-09,-10.265294
2021-02-10,-12.523528
2021-02-11,-13.851176
2021-02-12,-15.35647
2021-02-13,-10.572352
2021-02-14,-4.8323526
2021-02-15,-9.651764
2021-02-16,-8.161765
2021-02-17,-9.2976465
2021-02-18,-17.424118
2021-02-19,-14.9564705
2021-02-20,-5.4164705
2021-02-21,2.0835292
2021-02-22,2.6176472
2021-02-23,1.1658823
2021-02-24,2.9747057
2021-02-25,6.094706
2021-02-26,4.3905883
2021-02-27,1.8758823
2021-02-28,1.8588237
2021-03-01,2.2817647
2021-03-02,3.9364705
2021-03-03,1.8229411
2021-03-04,0.6588235
2021-03-05,-2.402941
2021-03-06,-2.7111762
2021-03-07,-0.6270588
2021-03-08,-3.8717647
2021-03-09,-5.141765
2021-03-10,-3.014706
2021-03-11,-3.2852938
2021-03-12,1.1541177
2021-03-13,2.902353
2021-03-14,3.2294114
2021-03-15,1.9964707
2021-03-16,0.8917647
2021-03-17,-0.5064706
2021-03-18,-0.6794117
2021-03-19,-3.1341176
2021-03-20,-4.0405884
2021-03-21,-1.0288235
2021-03-22,-0.40705884
2021-03-23,-0.8417647
2021-03-24,2.464706
2021-03-25,4.347647
2021-03-26,4.8188233
2021-03-27,6.3711762
2021-03-28,5.394118
2021-03-29,4.9388237
2021-03-30,7.547058
2021-03-31,8.748236
2021-04-01,5.6435294
2021-04-02,2.7282352
2021-04-03,2.4952939
2021-04-04,2.765294
2021-04-05,4.5129414
2021-04-06,1.7835294
2021-04-07,1.4782352
2021-04-08,1.6376468
2021-04-09,3.392353
2021-04-10,5.9217644
2021-04-11,9.414117
2021-04-12,12.584118
2021-04-13,7.098823
2021-04-14,4.6905885
2021-04-15,6.748235
2021-04-16,9.461176
2021-04-17,11.334117
2021-04-18,11.368824
2021-04-19,10.39353
2021-04-20,9.44353
2021-04-21,8.931764
2021-04-22,6.7599998
2021-04-23,3.83
2021-04-24,2.6829412
2021-04-25,2.624706
2021-04-26,2.8423529
2021-04-27,3.3488233
2021-04-28,4.8876467
2021-04-29,7.897059
2021-04-30,8.157059
2021-05-01,6.5817647
2021-05-02,7.4411764
2021-05-03,3.6782355
2021-05-04,5.677647
2021-05-05,9.69647
2021-05-06,7.191765
2021-05-07,6.73
2021-05-08,5.2288237
2021-05-09,7.431176
2021-05-10,16.066471
2021-05-11,16.717646
2021-05-12,16.197647
2021-05-13,11.977058
2021-05-14,11.527647
2021-05-15,13.042353
2021-05-16,13.925881
2021-05-17,14.457647
2021-05-18,13.314706
2021-05-19,11.119411
2021-05-20,9.87
2021-05-21,10.016471
2021-05-22,12.877058
2021-05-23,11.17353
2021-05-24,11.111765
2021-05-25,12.985294
2021-05-26,11.945882
2021-05-27,12.61647
2021-05-28,12.566471
2021-05-29,11.805882
2021-05-30,11.208235
2021-05-31,11.287647
2021-06-01,12.90647
2021-06-02,14.375294
2021-06-03,15.987057
2021-06-04,16.762352
2021-06-05,17.380587
2021-06-06,17.400589
2021-06-07,18.74294
2021-06-08,18.27294
2021-06-09,17.527058
2021-06-10,17.32353
2021-06-11,17.765295
