time,DEG0N
2021-01-01,0.25
2021-01-02,-0.80166656
2021-01-03,0.12166666
2021-01-04,0.09000001
2021-01-05,0.5566667
2021-01-06,0.75
2021-01-07,-0.37333333
2021-01-08,-0.06333333
2021-01-09,-0.77
2021-01-10,-1.8866667
2021-01-11,-2.6899998
2021-01-12,1.765
2021-01-13,0.8166666
2021-01-14,-0.29999998
2021-01-15,-3.0966663
2021-01-16,-3.6683333
2021-01-17,-0.008333336
2021-01-18,1.5083333
2021-01-19,1.6333333
2021-01-20,4.8949995
2021-01-21,6.875
2021-01-22,3.0183332
2021-01-23,2.0016668
2021-01-24,-0.12666665
2021-01-25,-0.34333333
2021-01-26,0.12666667
2021-01-27,0.34
2021-01-28,6.403333
2021-01-29,7.308333
2021-01-30,3.8516665
2021-01-31,0.2566667
2021-02-01,3.715
2021-02-02,6.9533334
2021-02-03,8.743333
2021-02-04,5.785
2021-02-05,6.5499997
2021-02-06,5.2599998
2021-02-07,3.075
2021-02-08,-1.2966666
2021-02-09,-4.455
2021-02-10,-6.648333
2021-02-11,-5.6066666
2021-02-12,-5.97
2021-02-13,-5.5816665
2021-02-14,-2.3999999
2021-02-15,1.7550001
2021-02-16,5.99
2021-02-17,6.16
2021-02-18,4.985
2021-02-19,5.735
2021-02-20,8.343333
2021-02-21,8.691666
2021-02-22,7.638333
2021-02-23,11.62
2021-02-24,10.073333
2021-02-25,8.839999
2021-02-26,4.5066667
2021-02-27,2.9066665
2021-02-28,4.7749996
2021-03-01,5.536667
2021-03-02,6.19
2021-03-03,7.5716662
2021-03-04,5.365
2021-03-05,1.75
2021-03-06,0.56333333
2021-03-07,0.7833333
2021-03-08,0.62166667
2021-03-09,2.095
2021-03-10,5.266667
2021-03-11,7.22
2021-03-12,4.9483333
2021-03-13,4.8933334
2021-03-14,3.0383332
2021-03-15,4.463333
2021-03-16,3.1933334
2021-03-17,2.8533332
2021-03-18,2.005
2021-03-19,1.805
2021-03-20,2.1599998
2021-03-21,3.86
2021-03-22,3.6499999
2021-03-23,5.2683334
2021-03-24,6.6766663
2021-03-25,6.3249993
2021-03-26,7.668333
2021-03-27,4.7166667
2021-03-28,7.345
2021-03-29,10.2
2021-03-30,11.774999
2021-03-31,13.548332
2021-04-01,13.443333
2021-04-02,6.033333
2021-04-03,5.6866665
2021-04-04,4.846667
2021-04-05,1.1733333
2021-04-06,0.050000012
2021-04-07,0.7266666
2021-04-08,2.0333333
2021-04-09,7.1516666
2021-04-10,7.7683334
2021-04-11,4.39
2021-04-12,2.3266666
2021-04-13,2.095
2021-04-14,2.1549997
2021-04-15,2.5816667
2021-04-16,3.2716668
2021-04-17,6.4466667
2021-04-18,7.566666
2021-04-19,8.196667
2021-04-20,8.843333
2021-04-21,9.915
2021-04-22,7.4500003
2021-04-23,7.92
2021-04-24,9.028333
2021-04-25,7.5749993
2021-04-26,8.016667
2021-04-27,8.858334
2021-04-28,10.755
2021-04-29,7.6966667
2021-04-30,5.4933333
2021-05-01,6.886667
2021-05-02,5.638333
2021-05-03,7.033333
2021-05-04,7.8933334
2021-05-05,5.088333
2021-05-06,4.8250003
2021-05-07,6.2649994
2021-05-08,9.418333
2021-05-09,17.069998
2021-05-10,14.253333
2021-05-11,11.238334
2021-05-12,10.763333
2021-05-13,9.215
2021-05-14,9.911666
2021-05-15,8.715
2021-05-16,9.838333
2021-05-17,9.713332
2021-05-18,8.974999
2021-05-19,8.753333
2021-05-20,10.569999
2021-05-21,11.258334
2021-05-22,8.946667
2021-05-23,9.931666
2021-05-24,8.855
2021-05-25,7.8366666
2021-05-26,8.63
2021-05-27,9.79
2021-05-28,11.543332
2021-05-29,13.558333
2021-05-30,13.893333
2021-05-31,14.898334
2021-06-01,16.051666
2021-06-02,17.734999
2021-06-03,18.134998
2021-06-04,17.898333
2021-06-05,15.024999
2021-06-06,14.123333
2021-06-07,16.663332
2021-06-08,18.115
2021-06-09,18.968334
2021-06-10,19.519999
2021-06-11,20.408333
2021-06-12,17.531666
2021-06-13,16.638332
2021-06-14,19.265
2021-06-15,20.901667
2021-06-16,22.293333
2021-06-17,23.591665
2021-06-18,23.656668
2021-06-19,22.328333
2021-06-20,20.038332
2021-06-21,18.358332
2021-06-22,13.706666
2021-06-23,16.22
2021-06-24,14.738334
2021-06-25,16.23
2021-06-26,17.811666
2021-06-27,18.894999
2021-06-28,19.718332
2021-06-29,15.651666
2021-06-30,13.375
2021-07-01,13.315
2021-07-02,15.271667
2021-07-03,18.346666
2021-07-04,16.546667
2021-07-05,16.06
2021-07-06,16.408333
2021-07-07,16.848333
2021-07-08,15.546666
2021-07-09,16.656666
2021-07-10,17.01
2021-07-11,16.563334
2021-07-12,16.618332
2021-07-13,15.811666
2021-07-14,14.993333
2021-07-15,16.703333
2021-07-16,16.495
2021-07-17,18.643333
2021-07-18,19.853333
2021-07-19,18.803333
2021-07-20,17.58
2021-07-21,18.291666
2021-07-22,18.958334
2021-07-23,19.596666
2021-07-24,17.050001
2021-07-25,17.343334
2021-07-26,17.203333
2021-07-27,15.826667
2021-07-28,16.473333
2021-07-29,15.901666
2021-07-30,16.806665
2021-07-31,15.618333
2021-08-01,14.679999
2021-08-02,15.18
2021-08-03,14.328332
2021-08-04,15.788333
2021-08-05,16.781668
2021-08-06,15.816666
2021-08-07,15.375
2021-08-08,14.3516655
2021-08-09,15.286667
2021-08-10,16.533333
2021-08-11,17.988335
2021-08-12,19.838333
2021-08-13,20.185
2021-08-14,19.585
2021-08-15,19.779999
2021-08-16,14.051666
2021-08-17,12.349999
2021-08-18,15.243333
2021-08-19,16.003332
2021-08-20,15.849999
2021-08-21,18.155
2021-08-22,16.386667
2021-08-23,16.425001
2021-08-24,15.296666
2021-08-25,15.086666
2021-08-26,14.138333
2021-08-27,13.123333
2021-08-28,13.591667
2021-08-29,13.599999
2021-08-30,15.036667
2021-08-31,14.219998
2021-09-01,14.110001
