time,DEG0P
2021-01-01,-1.4023334
2021-01-02,-1.277
2021-01-03,-1.1006665
2021-01-04,-1.2506665
2021-01-05,0.22166666
2021-01-06,0.415
2021-01-07,-0.4633333
2021-01-08,-0.7373333
2021-01-09,-2.6619997
2021-01-10,-3.470333
2021-01-11,0.030999979
2021-01-12,-0.39599997
2021-01-13,-1.1923332
2021-01-14,-3.242333
2021-01-15,-8.157667
2021-01-16,-9.505667
2021-01-17,-12.366333
2021-01-18,-8.334332
2021-01-19,-7.3239994
2021-01-20,-7.062
2021-01-21,2.0809999
2021-01-22,3.4656668
2021-01-23,2.6846666
2021-01-24,1.8873333
2021-01-25,0.7676667
2021-01-26,0.47833332
2021-01-27,0.30133334
2021-01-28,-1.1006665
2021-01-29,-2.1959999
2021-01-30,-1.4776666
2021-01-31,-1.881
2021-02-01,-1.6839999
2021-02-02,-4.0339994
2021-02-03,-2.5863333
2021-02-04,-5.998
2021-02-05,-8.611001
2021-02-06,-12.432333
2021-02-07,-10.960667
2021-02-08,-11.379
2021-02-09,-8.369334
2021-02-10,-10.634334
2021-02-11,-9.653333
2021-02-12,-8.368667
2021-02-13,-1.2506665
2021-02-14,-1.62
2021-02-15,-5.342
2021-02-16,-3.0049999
2021-02-17,-7.3609996
2021-02-18,-12.936666
2021-02-19,-8.598333
2021-02-20,-1.3286666
2021-02-21,3.2796667
2021-02-22,2.6593332
2021-02-23,2.4393334
2021-02-24,3.4853332
2021-02-25,6.6163335
2021-02-26,4.1549997
2021-02-27,2.6686666
2021-02-28,2.9786665
2021-03-01,3.003333
2021-03-02,2.9206665
2021-03-03,0.81799996
2021-03-04,0.628
2021-03-05,-2.6096663
2021-03-06,-0.65566665
2021-03-07,-0.11333332
2021-03-08,-3.142333
2021-03-09,-2.2046666
2021-03-10,-1.4843333
2021-03-11,-1.4626666
2021-03-12,2.283
2021-03-13,2.6226664
2021-03-14,2.254
2021-03-15,2.5006666
2021-03-16,1.5866666
2021-03-17,0.2636667
2021-03-18,0.564
2021-03-19,-2.86
2021-03-20,-2.1106665
2021-03-21,2.0773332
2021-03-22,1.5383334
2021-03-23,3.4963334
2021-03-24,2.9986665
2021-03-25,4.7026668
2021-03-26,4.4356666
2021-03-27,8.276667
2021-03-28,4.7763333
2021-03-29,5.473
2021-03-30,7.096334
2021-03-31,6.152
2021-04-01,3.6676667
2021-04-02,3.0673335
2021-04-03,2.9176667
2021-04-04,4.162667
2021-04-05,2.6293333
2021-04-06,2.6056666
2021-04-07,2.772
2021-04-08,3.7319996
2021-04-09,3.7883332
2021-04-10,4.0723333
2021-04-11,5.1839995
2021-04-12,9.082334
2021-04-13,4.613
2021-04-14,3.919333
2021-04-15,5.6629996
2021-04-16,7.6409993
2021-04-17,10.084333
2021-04-18,11.097
2021-04-19,10.709333
2021-04-20,8.757
2021-04-21,7.1916666
2021-04-22,4.455
2021-04-23,3.0976667
2021-04-24,3.057
2021-04-25,2.2693334
2021-04-26,2.501
2021-04-27,3.3343332
2021-04-28,3.6956666
2021-04-29,7.348
2021-04-30,5.6809998
2021-05-01,4.8276668
2021-05-02,5.2623334
2021-05-03,5.0859995
2021-05-04,6.035333
2021-05-05,8.037666
2021-05-06,5.6029997
2021-05-07,5.2829995
2021-05-08,5.286333
2021-05-09,8.666334
2021-05-10,17.226665
2021-05-11,19.645
2021-05-12,19.548334
2021-05-13,15.442999
2021-05-14,10.773665
2021-05-15,9.926
2021-05-16,12.396999
2021-05-17,12.955
2021-05-18,11.419666
2021-05-19,11.679334
2021-05-20,10.950667
2021-05-21,10.072332
2021-05-22,11.732666
2021-05-23,10.6536665
2021-05-24,10.999666
2021-05-25,12.473001
2021-05-26,10.376332
2021-05-27,10.731999
2021-05-28,10.408666
2021-05-29,10.244999
2021-05-30,11.588333
2021-05-31,11.395666
2021-06-01,13.135332
2021-06-02,16.111666
2021-06-03,15.6883335
2021-06-04,16.952667
2021-06-05,16.884666
2021-06-06,16.192
2021-06-07,18.043
2021-06-08,16.839333
2021-06-09,16.800333
2021-06-10,17.132332
2021-06-11,17.956667
2021-06-12,15.4106655
2021-06-13,14.654333
2021-06-14,15.091333
2021-06-15,15.519667
2021-06-16,15.035666
2021-06-17,17.459332
2021-06-18,21.720333
2021-06-19,23.628998
2021-06-20,24.984001
2021-06-21,26.164
2021-06-22,25.064999
2021-06-23,21.334333
2021-06-24,20.030334
2021-06-25,19.915998
2021-06-26,18.916664
2021-06-27,19.256664
2021-06-28,19.402
2021-06-29,20.189
2021-06-30,20.919334
2021-07-01,22.900667
2021-07-02,23.189331
2021-07-03,21.002998
2021-07-04,21.757666
2021-07-05,21.660334
2021-07-06,21.627
2021-07-07,23.402332
2021-07-08,21.096998
2021-07-09,23.694666
2021-07-10,22.555666
2021-07-11,20.113668
2021-07-12,22.771
2021-07-13,24.824
2021-07-14,24.317
2021-07-15,24.372
2021-07-16,24.147333
2021-07-17,22.378332
2021-07-18,20.584665
2021-07-19,18.026333
2021-07-20,18.605997
2021-07-21,17.937
2021-07-22,18.693333
2021-07-23,19.311
2021-07-24,17.118666
2021-07-25,19.679333
2021-07-26,23.974333
2021-07-27,21.695667
2021-07-28,21.844666
2021-07-29,20.856667
2021-07-30,17.604
2021-07-31,19.194666
2021-08-01,17.548
2021-08-02,16.949667
2021-08-03,15.921667
2021-08-04,15.627333
2021-08-05,17.306334
2021-08-06,16.989666
2021-08-07,16.928667
2021-08-08,16.814667
2021-08-09,17.092665
2021-08-10,16.743
2021-08-11,16.538666
2021-08-12,17.495333
2021-08-13,18.760668
2021-08-14,18.564001
2021-08-15,17.326334
2021-08-16,18.126333
2021-08-17,15.793333
2021-08-18,15.154999
2021-08-19,15.896334
2021-08-20,16.082335
2021-08-21,15.516665
2021-08-22,14.571
2021-08-23,13.957333
2021-08-24,12.082999
2021-08-25,12.795667
2021-08-26,13.076
2021-08-27,15.047999
2021-08-28,16.561666
2021-08-29,16.348
2021-08-30,15.546665
2021-08-31,15.161667
2021-09-01,13.695333
2021-09-02,12.686999
2021-09-03,13.08
2021-09-04,9.9696665
2021-09-05,9.022333
2021-09-06,11.871668
2021-09-07,14.234666
2021-09-08,16.082333
2021-09-09,17.157665
2021-09-10,16.249666
2021-09-11,16.170666
2021-09-12,17.106998
2021-09-13,14.051666
2021-09-14,11.305666
2021-09-15,10.5356655
2021-09-16,10.425333
2021-09-17,10.627
2021-09-18,9.018
2021-09-19,8.723001
2021-09-20,7.8369994
2021-09-21,8.068667
2021-09-22,7.453667
2021-09-23,9.669333
2021-09-24,10.589666
2021-09-25,12.795667
2021-09-26,10.383333
2021-09-27,10.109332
2021-09-28,10.718667
2021-09-29,10.746667
2021-09-30,9.522
2021-10-01,10.220667
2021-10-02,10.337333
2021-10-03,11.878001
2021-10-04,12.384999
2021-10-05,12.950999
2021-10-06,13.130666
2021-10-07,10.34
2021-10-08,7.260333
2021-10-09,7.707
2021-10-10,9.308667
2021-10-11,7.528333
2021-10-12,7.2990003
2021-10-13,6.709
2021-10-14,7.1546664
2021-10-15,10.035333
2021-10-16,8.774667
2021-10-17,8.210667
2021-10-18,6.392667
2021-10-19,5.5316668
2021-10-20,11.627667
2021-10-21,12.254
2021-10-22,7.6216664
2021-10-23,6.0223327
2021-10-24,6.1306667
2021-10-25,7.6983333
2021-10-26,8.0199995
2021-10-27,10.138666
2021-10-28,11.506666
2021-10-29,9.972334
2021-10-30,7.7816663
2021-10-31,9.537999
2021-11-01,8.2196665
2021-11-02,6.195
2021-11-03,7.261333
2021-11-04,7.166333
2021-11-05,7.8513336
2021-11-06,7.8179994
2021-11-07,8.401667
2021-11-08,4.035
2021-11-09,1.1073334
2021-11-10,7.9336667
2021-11-11,8.55
2021-11-12,6.1819997
2021-11-13,2.832
2021-11-14,3.1556666
2021-11-15,-0.16433331
2021-11-16,2.7203333
2021-11-17,4.386
2021-11-18,6.172333
2021-11-19,7.5753326
2021-11-20,7.515333
2021-11-21,4.403
2021-11-22,-0.18600002
2021-11-23,2.7809997
2021-11-24,6.0123334
2021-11-25,5.754667
2021-11-26,3.3216667
2021-11-27,1.1776665
