time,DK013
2021-01-01,2.1466668
2021-01-02,3.4599998
2021-01-03,3.3766663
2021-01-04,2.6499999
2021-01-05,2.5466664
2021-01-06,1.5033332
2021-01-07,1.7833333
2021-01-08,1.4066666
2021-01-09,0.70666665
2021-01-10,1.4733334
2021-01-11,4.7566667
2021-01-12,4.4566665
2021-01-13,3.2766666
2021-01-14,-0.26333332
2021-01-15,0.49666664
2021-01-16,0.11333332
2021-01-17,1.5099999
2021-01-18,3.7233331
2021-01-19,7.0266666
2021-01-20,8.483334
2021-01-21,7.1
2021-01-22,3.5833333
2021-01-23,1.8866667
2021-01-24,0.28666666
2021-01-25,0.12666667
2021-01-26,2.5399997
2021-01-27,3.2
2021-01-28,2.3533332
2021-01-29,2.4133332
2021-01-30,-1.5933332
2021-01-31,-2.7366667
2021-02-01,-1.3866667
2021-02-02,0.22999997
2021-02-03,5.56
2021-02-04,3.0833333
2021-02-05,2.7666667
2021-02-06,0.15666667
2021-02-07,-4.58
2021-02-08,-3.92
2021-02-09,-3.3533332
2021-02-10,-3.7833335
2021-02-11,-4.6166663
2021-02-12,-6.146666
2021-02-13,-6.5399995
2021-02-14,-3.2233334
2021-02-15,1.4766666
2021-02-16,5.1666665
2021-02-17,7.6499996
2021-02-18,8.343333
2021-02-19,6.5366664
2021-02-20,11.489999
2021-02-21,10.399999
2021-02-22,10.349999
2021-02-23,12.083333
2021-02-24,12.82
2021-02-25,10.4366665
2021-02-26,6.11
2021-02-27,4.2433333
2021-02-28,2.3633335
2021-03-01,4.1966667
2021-03-02,5.02
2021-03-03,3.3266666
2021-03-04,3.3133333
2021-03-05,1.2666665
2021-03-06,2.1999998
2021-03-07,3.2633333
2021-03-08,4.06
2021-03-09,4.04
2021-03-10,5.1
2021-03-11,7.9900002
2021-03-12,5.7599998
2021-03-13,6.1066666
2021-03-14,6.0399995
2021-03-15,5.77
2021-03-16,5.8700004
2021-03-17,3.6733332
2021-03-18,3.1366665
2021-03-19,3.33
2021-03-20,3.22
2021-03-21,5.786667
2021-03-22,5.7333336
2021-03-23,7.1166663
2021-03-24,7.453333
2021-03-25,7.2533336
2021-03-26,9.733333
2021-03-27,5.5
2021-03-28,8.263333
2021-03-29,11.41
2021-03-30,11.489999
2021-03-31,13.283333
2021-04-01,7.483333
2021-04-02,5.603333
2021-04-03,6.5799994
2021-04-04,6.0599995
2021-04-05,2.8933334
2021-04-06,1.88
2021-04-07,2.97
2021-04-08,4.8666663
2021-04-09,6.3766665
2021-04-10,4.6066666
2021-04-11,3.3433332
2021-04-12,2.9466667
2021-04-13,3.9133332
2021-04-14,4.0733333
2021-04-15,4.95
2021-04-16,5.86
2021-04-17,5.9966664
2021-04-18,8.1033325
2021-04-19,9.696666
2021-04-20,10.373333
2021-04-21,6.7833333
2021-04-22,6.313333
2021-04-23,6.0633335
2021-04-24,6.4
2021-04-25,6.2100005
2021-04-26,5.1600003
2021-04-27,7.533333
2021-04-28,9.553333
2021-04-29,8.096665
2021-04-30,8.2699995
2021-05-01,8.086667
2021-05-02,6.5399995
2021-05-03,8.536667
2021-05-04,8.223332
2021-05-05,6.656667
2021-05-06,5.396667
2021-05-07,6.683333
2021-05-08,8.573334
2021-05-09,17.94
2021-05-10,15.98
2021-05-11,13.09
2021-05-12,12.773334
2021-05-13,10.943333
2021-05-14,9.476666
2021-05-15,10.216666
2021-05-16,10.860001
2021-05-17,10.766667
2021-05-18,10.163334
2021-05-19,9.356667
2021-05-20,11.286667
2021-05-21,12.366666
2021-05-22,10.263333
2021-05-23,10.239999
2021-05-24,11.626667
2021-05-25,9.653334
2021-05-26,10.326667
2021-05-27,10.756665
2021-05-28,11.836666
2021-05-29,11.459999
2021-05-30,12.383334
2021-05-31,14.696667
2021-06-01,17.763334
2021-06-02,18.386667
2021-06-03,19.973333
2021-06-04,19.226667
