time,EE008
2021-01-01,2.1090908
2021-01-02,0.8672728
2021-01-03,3.6781814
2021-01-04,3.2099998
2021-01-05,4.401818
2021-01-06,0.71181816
2021-01-07,3.1490905
2021-01-08,-1.0536364
2021-01-09,-3.7590907
2021-01-10,-4.300909
2021-01-11,-2.3318179
2021-01-12,-1.260909
2021-01-13,-1.4590908
2021-01-14,-4.456363
2021-01-15,-4.7627273
2021-01-16,-9.644546
2021-01-17,-10.342727
2021-01-18,-10.919999
2021-01-19,-9.654545
2021-01-20,-2.5518181
2021-01-21,1.4263635
2021-01-22,0.55363643
2021-01-23,3.2727273
2021-01-24,5.231818
2021-01-25,2.4599998
2021-01-26,-2.2554545
2021-01-27,-3.2581823
2021-01-28,-3.2981818
2021-01-29,-1.6972728
2021-01-30,2.8781817
2021-01-31,0.39181814
2021-02-01,2.4918177
2021-02-02,2.6836364
2021-02-03,3.2436364
2021-02-04,6.114546
2021-02-05,4.220909
2021-02-06,4.9845448
2021-02-07,6.247273
2021-02-08,7.2445455
2021-02-09,6.1436367
2021-02-10,6.4254537
2021-02-11,3.61
2021-02-12,-7.7609086
2021-02-13,-10.5827265
2021-02-14,-8.296364
2021-02-15,-4.4681816
2021-02-16,-5.9327273
2021-02-17,-5.061818
2021-02-18,-1.52
2021-02-19,-0.4254546
2021-02-20,0.17090906
2021-02-21,0.08272728
2021-02-22,1.4409091
2021-02-23,4.4118176
2021-02-24,5.044545
2021-02-25,7.3609085
2021-02-26,8.410001
2021-02-27,5.210909
2021-02-28,3.0463636
2021-03-01,2.6290908
2021-03-02,4.0409093
2021-03-03,5.1654544
2021-03-04,3.5136366
2021-03-05,4.099091
2021-03-06,1.4490908
2021-03-07,-1.7827275
2021-03-08,-0.7854545
2021-03-09,-0.5654545
2021-03-10,-0.7700001
2021-03-11,-0.62272733
2021-03-12,1.8445455
2021-03-13,3.4081817
2021-03-14,4.3218184
2021-03-15,4.2854543
2021-03-16,1.3599999
2021-03-17,0.38272732
2021-03-18,0.16818184
2021-03-19,-0.8090908
2021-03-20,-1.6736363
2021-03-21,-0.72727275
2021-03-22,-0.38363644
2021-03-23,-0.8463636
2021-03-24,-1.2554545
2021-03-25,-0.03363633
2021-03-26,2.429091
2021-03-27,5.038182
2021-03-28,5.741818
2021-03-29,3.8581817
2021-03-30,5.493636
2021-03-31,6.796364
2021-04-01,10.599091
2021-04-02,10.271818
2021-04-03,5.7118177
2021-04-04,2.529091
2021-04-05,3.979091
2021-04-06,4.0072727
2021-04-07,0.65909094
2021-04-08,-0.57909083
2021-04-09,2.0263636
2021-04-10,4.197273
2021-04-11,7.362727
2021-04-12,11.543636
2021-04-13,9.880909
2021-04-14,5.53
2021-04-15,2.5454545
2021-04-16,2.4263637
2021-04-17,3.4672728
2021-04-18,6.073636
2021-04-19,6.235454
2021-04-20,6.5154543
2021-04-21,7.700909
2021-04-22,7.210909
2021-04-23,7.65
2021-04-24,6.3536363
2021-04-25,7.47
2021-04-26,7.622728
2021-04-27,7.224545
2021-04-28,8.048182
2021-04-29,11.01
2021-04-30,13.409092
2021-05-01,15.166363
2021-05-02,17.167273
2021-05-03,13.169999
2021-05-04,8.349091
2021-05-05,13.087272
2021-05-06,11.440909
2021-05-07,11.263637
2021-05-08,9.5827265
2021-05-09,8.172727
2021-05-10,12.28909
2021-05-11,14.533636
2021-05-12,15.014545
2021-05-13,13.509998
2021-05-14,12.139091
2021-05-15,12.154547
2021-05-16,12.074546
2021-05-17,11.730908
2021-05-18,11.006364
2021-05-19,12.1845455
2021-05-20,9.83909
2021-05-21,11.836364
2021-05-22,12.538181
2021-05-23,16.068182
2021-05-24,15.205456
2021-05-25,17.08
2021-05-26,15.798182
2021-05-27,15.4463625
2021-05-28,13.751817
2021-05-29,13.548182
2021-05-30,12.103635
2021-05-31,10.113636
2021-06-01,9.286364
2021-06-02,10.858181
2021-06-03,11.489091
2021-06-04,13.860909
2021-06-05,14.151816
2021-06-06,15.091818
2021-06-07,15.159091
2021-06-08,16.325453
2021-06-09,16.734545
2021-06-10,15.726364
2021-06-11,15.302728
2021-06-12,16.26909
2021-06-13,14.148182
2021-06-14,11.631818
2021-06-15,13.638181
2021-06-16,17.54909
2021-06-17,16.57091
2021-06-18,19.26909
2021-06-19,17.013636
2021-06-20,17.660908
2021-06-21,19.07
2021-06-22,20.928183
2021-06-23,22.807272
2021-06-24,23.055454
2021-06-25,23.55909
