time,EE00A
2021-01-01,3.2115386
2021-01-02,0.9423077
2021-01-03,2.883077
2021-01-04,3.4392304
2021-01-05,5.0676923
2021-01-06,1.9446152
2021-01-07,3.7692308
2021-01-08,0.1715385
2021-01-09,-1.9953847
2021-01-10,-3.723846
2021-01-11,-2.464615
2021-01-12,-1.6384615
2021-01-13,-1.1084615
2021-01-14,-3.186923
2021-01-15,-4.6984615
2021-01-16,-8.6061535
2021-01-17,-10.543845
2021-01-18,-10.40923
2021-01-19,-10.164616
2021-01-20,-3.1846156
2021-01-21,0.8915385
2021-01-22,1.2446154
2021-01-23,3.146154
2021-01-24,4.4653845
2021-01-25,2.8353841
2021-01-26,-1.3592308
2021-01-27,-2.9546154
2021-01-28,-2.9453845
2021-01-29,-2.12
2021-01-30,2.366923
2021-01-31,1.8523077
2021-02-01,1.536923
2021-02-02,2.3969228
2021-02-03,3.1184614
2021-02-04,6.7123075
2021-02-05,4.5876923
2021-02-06,4.516923
2021-02-07,5.8146152
2021-02-08,6.6623077
2021-02-09,5.7646155
2021-02-10,6.803077
2021-02-11,4.0953846
2021-02-12,-7.436154
2021-02-13,-9.694615
2021-02-14,-7.201538
2021-02-15,-4.9061537
2021-02-16,-6.366154
2021-02-17,-4.7507687
2021-02-18,-1.4938462
2021-02-19,-1.646923
2021-02-20,1.0423076
2021-02-21,1.7215384
2021-02-22,2.4899995
2021-02-23,3.5130768
2021-02-24,3.386923
2021-02-25,6.993077
2021-02-26,7.6461535
2021-02-27,5.294615
2021-02-28,3.0215383
2021-03-01,3.193077
2021-03-02,3.6853845
2021-03-03,5.086154
2021-03-04,4.2638464
2021-03-05,4.867692
2021-03-06,1.5676923
2021-03-07,-1.8115385
2021-03-08,-0.4130769
2021-03-09,-0.61230767
2021-03-10,-0.27923074
2021-03-11,-0.3923077
2021-03-12,1.8223077
2021-03-13,4.3092303
2021-03-14,5.7823076
2021-03-15,4.9630766
2021-03-16,2.8215382
2021-03-17,1.7707691
2021-03-18,1.5607692
2021-03-19,0.2076923
2021-03-20,-0.7230769
2021-03-21,-0.5230769
2021-03-22,0.15384613
2021-03-23,0.109999985
2021-03-24,-0.48230773
2021-03-25,1.0315384
2021-03-26,3.3261538
2021-03-27,5.828461
2021-03-28,6.017692
2021-03-29,4.3861537
2021-03-30,6.473077
2021-03-31,7.376923
2021-04-01,10.820001
2021-04-02,10.062306
2021-04-03,6.1461535
2021-04-04,3.896923
2021-04-05,4.6584616
2021-04-06,4.506154
2021-04-07,2.393846
2021-04-08,0.81461537
2021-04-09,2.913846
2021-04-10,5.397692
2021-04-11,8.857692
2021-04-12,12.049999
2021-04-13,10.995383
2021-04-14,6.602307
2021-04-15,3.6369233
2021-04-16,3.0615385
2021-04-17,4.8523073
2021-04-18,6.669231
2021-04-19,7.2515383
2021-04-20,8.466923
2021-04-21,8.566154
2021-04-22,8.688462
2021-04-23,8.2238455
2021-04-24,6.2992306
2021-04-25,8.003846
2021-04-26,7.2599998
2021-04-27,6.5815377
2021-04-28,7.8923087
2021-04-29,11.780767
2021-04-30,13.991538
2021-05-01,14.779231
2021-05-02,17.910769
2021-05-03,12.726154
2021-05-04,8.734615
2021-05-05,13.93077
2021-05-06,11.648461
