time,ES709
2021-01-01,2.33
2021-01-02,2.23
2021-01-03,2.48
2021-01-04,2.08
2021-01-05,2.32
2021-01-06,2.44
2021-01-07,1.8299999
2021-01-08,1.28
2021-01-09,-0.55
2021-01-10,0.29
2021-01-11,2.73
2021-01-12,4.81
2021-01-13,2.73
2021-01-14,1.55
2021-01-15,0.35999998
2021-01-16,-0.04
2021-01-17,3.1499999
2021-01-18,4.85
2021-01-19,6.18
2021-01-20,9.19
2021-01-21,8.429999
2021-01-22,3.78
2021-01-23,3.57
2021-01-24,1.13
2021-01-25,1.36
2021-01-26,3.47
2021-01-27,3.3799999
2021-01-28,6.52
2021-01-29,8.83
2021-01-30,1.89
2021-01-31,0.52
2021-02-01,3.22
2021-02-02,7.18
2021-02-03,9.3
2021-02-04,7.5499997
2021-02-05,7.3799996
2021-02-06,4.73
2021-02-07,-1.88
2021-02-08,-5.58
2021-02-09,-6.81
2021-02-10,-6.0099998
2021-02-11,-5.89
2021-02-12,-5.68
2021-02-13,-4.72
2021-02-14,-0.06
2021-02-15,3.54
2021-02-16,8.26
2021-02-17,9.21
2021-02-18,7.87
2021-02-19,7.47
2021-02-20,11.74
2021-02-21,12.059999
2021-02-22,12.469999
2021-02-23,13.96
2021-02-24,13.7
2021-02-25,12.75
2021-02-26,7.44
2021-02-27,5.04
2021-02-28,6.3199997
2021-03-01,5.0499997
2021-03-02,7.5899997
2021-03-03,9.62
2021-03-04,4.71
2021-03-05,2.37
2021-03-06,1.15
2021-03-07,1.06
2021-03-08,4.27
2021-03-09,4.94
2021-03-10,6.92
2021-03-11,9.969999
2021-03-12,7.19
2021-03-13,6.87
2021-03-14,5.45
2021-03-15,6.1299996
2021-03-16,5.37
2021-03-17,4.65
2021-03-18,3.61
2021-03-19,4.5
2021-03-20,4.0699997
2021-03-21,6.14
2021-03-22,5.1
2021-03-23,7.6699996
2021-03-24,8.76
2021-03-25,8.19
2021-03-26,10.19
2021-03-27,6.75
2021-03-28,9.98
2021-03-29,13.429999
2021-03-30,12.92
2021-03-31,15.219999
2021-04-01,12.349999
2021-04-02,5.89
2021-04-03,7.24
2021-04-04,5.5499997
2021-04-05,3.53
2021-04-06,1.0799999
2021-04-07,2.04
2021-04-08,4.44
2021-04-09,8.41
2021-04-10,7.7
2021-04-11,4.24
2021-04-12,2.79
2021-04-13,4.02
2021-04-14,4.0
2021-04-15,4.66
2021-04-16,6.44
2021-04-17,7.5699997
2021-04-18,9.09
2021-04-19,7.31
2021-04-20,9.78
2021-04-21,10.01
2021-04-22,7.0299997
2021-04-23,7.5
2021-04-24,8.22
2021-04-25,6.48
2021-04-26,8.11
2021-04-27,9.46
2021-04-28,12.42
2021-04-29,7.97
2021-04-30,7.54
2021-05-01,7.74
2021-05-02,7.06
2021-05-03,9.45
2021-05-04,9.599999
2021-05-05,7.2999997
2021-05-06,7.46
2021-05-07,7.06
2021-05-08,11.49
2021-05-09,19.91
2021-05-10,17.81
2021-05-11,13.78
2021-05-12,12.95
2021-05-13,12.309999
2021-05-14,11.599999
2021-05-15,11.19
2021-05-16,11.719999
2021-05-17,11.469999
2021-05-18,12.36
2021-05-19,10.5199995
2021-05-20,12.2699995
2021-05-21,13.82
2021-05-22,10.62
2021-05-23,12.36
2021-05-24,12.15
2021-05-25,9.58
2021-05-26,11.259999
2021-05-27,11.2
2021-05-28,12.0199995
2021-05-29,13.92
2021-05-30,15.67
2021-05-31,17.59
2021-06-01,18.699999
2021-06-02,20.859999
2021-06-03,20.789999
2021-06-04,20.32
2021-06-05,16.359999
2021-06-06,16.34
2021-06-07,16.88
2021-06-08,18.76
2021-06-09,20.16
2021-06-10,20.789999
2021-06-11,20.97
2021-06-12,17.68
2021-06-13,16.65
2021-06-14,21.16
2021-06-15,20.029999
2021-06-16,23.359999
2021-06-17,26.01
2021-06-18,25.91
2021-06-19,22.699999
2021-06-20,21.82
2021-06-21,16.31
2021-06-22,14.04
2021-06-23,14.54
2021-06-24,16.5
2021-06-25,17.14
2021-06-26,20.06
2021-06-27,19.8
2021-06-28,20.21
2021-06-29,19.48
2021-06-30,14.62
2021-07-01,13.849999
2021-07-02,16.89
2021-07-03,18.96
2021-07-04,17.369999
2021-07-05,16.68
2021-07-06,18.56
2021-07-07,18.359999
2021-07-08,18.279999
2021-07-09,18.38
2021-07-10,17.72
