time,FI194
2021-01-01,-1.4200001
2021-01-02,-1.145
2021-01-03,-4.795
2021-01-04,-7.115
2021-01-05,-9.58
2021-01-06,-11.41
2021-01-07,-7.615
2021-01-08,-7.285
2021-01-09,-7.6899996
2021-01-10,-6.055
2021-01-11,-7.79
2021-01-12,-9.7
2021-01-13,-5.79
2021-01-14,-8.179999
2021-01-15,-13.32
2021-01-16,-13.959999
2021-01-17,-8.7699995
2021-01-18,-4.915
2021-01-19,-2.36
2021-01-20,-0.65
2021-01-21,1.4100001
2021-01-22,1.565
2021-01-23,-0.285
2021-01-24,-3.2
2021-01-25,-7.6399994
2021-01-26,-10.885
2021-01-27,-11.48
2021-01-28,-12.51
2021-01-29,-14.355
2021-01-30,-13.58
2021-01-31,-12.834999
2021-02-01,-12.215
2021-02-02,-9.51
2021-02-03,-9.905
2021-02-04,-12.745
2021-02-05,-11.85
2021-02-06,-11.549999
2021-02-07,-10.264999
2021-02-08,-7.6699996
2021-02-09,-9.344999
2021-02-10,-11.599999
2021-02-11,-13.08
2021-02-12,-12.42
2021-02-13,-13.295
2021-02-14,-14.0199995
2021-02-15,-8.86
2021-02-16,-4.3149996
2021-02-17,-3.71
2021-02-18,-3.43
2021-02-19,-0.875
2021-02-20,1.6399999
2021-02-21,1.7049999
2021-02-22,1.865
2021-02-23,1.375
2021-02-24,3.54
2021-02-25,2.6799998
2021-02-26,2.75
2021-02-27,1.27
2021-02-28,2.75
2021-03-01,2.065
2021-03-02,3.3249998
2021-03-03,-0.475
2021-03-04,-0.7
2021-03-05,-1.875
2021-03-06,1.365
2021-03-07,-1.255
2021-03-08,-3.045
2021-03-09,0.42
2021-03-10,-3.1499999
2021-03-11,-0.97499996
2021-03-12,0.51
2021-03-13,-0.96999997
2021-03-14,0.92499995
2021-03-15,1.29
2021-03-16,0.22
2021-03-17,-1.805
2021-03-18,1.055
2021-03-19,-0.3
2021-03-20,1.335
2021-03-21,2.04
2021-03-22,4.245
2021-03-23,4.5099998
2021-03-24,4.6949997
2021-03-25,3.08
2021-03-26,2.625
2021-03-27,2.92
2021-03-28,1.69
2021-03-29,5.755
2021-03-30,9.35
2021-03-31,4.2799997
2021-04-01,2.26
2021-04-02,2.94
2021-04-03,2.1
2021-04-04,4.045
2021-04-05,0.81999993
2021-04-06,1.73
2021-04-07,1.275
2021-04-08,0.72499996
2021-04-09,3.405
2021-04-10,1.835
2021-04-11,0.775
2021-04-12,0.25
2021-04-13,0.93
2021-04-14,1.7549999
2021-04-15,4.31
2021-04-16,4.6349998
2021-04-17,7.09
2021-04-18,7.5699997
2021-04-19,7.7349997
2021-04-20,7.785
2021-04-21,4.6949997
2021-04-22,4.1549997
2021-04-23,3.2649999
2021-04-24,2.065
2021-04-25,2.0349998
2021-04-26,3.1
2021-04-27,3.1999998
2021-04-28,3.4249997
2021-04-29,3.87
2021-04-30,4.8849998
2021-05-01,4.92
2021-05-02,5.635
2021-05-03,3.9049997
2021-05-04,3.585
2021-05-05,1.635
2021-05-06,3.7399998
2021-05-07,4.37
2021-05-08,5.6449995
2021-05-09,4.275
2021-05-10,7.4849997
2021-05-11,8.424999
2021-05-12,7.89
2021-05-13,12.355
2021-05-14,12.4
2021-05-15,8.905
2021-05-16,8.245
2021-05-17,7.1049995
2021-05-18,9.105
2021-05-19,9.690001
2021-05-20,9.334999
2021-05-21,8.69
2021-05-22,8.53
2021-05-23,8.98
2021-05-24,8.79
2021-05-25,9.639999
2021-05-26,8.75
2021-05-27,10.445
2021-05-28,14.085
2021-05-29,16.485
2021-05-30,17.735
2021-05-31,18.755001
2021-06-01,17.55
2021-06-02,16.1
2021-06-03,16.31
2021-06-04,16.54
2021-06-05,18.130001
2021-06-06,17.329998
2021-06-07,16.16
2021-06-08,15.879999
2021-06-09,16.369999
2021-06-10,16.935
2021-06-11,16.07
2021-06-12,14.884999
2021-06-13,14.225
2021-06-14,12.92
2021-06-15,13.7
2021-06-16,13.205
2021-06-17,17.005
2021-06-18,17.885
2021-06-19,15.445
2021-06-20,14.309999
2021-06-21,13.42
2021-06-22,12.945
2021-06-23,16.25
2021-06-24,16.24
2021-06-25,15.6449995
2021-06-26,17.72
2021-06-27,15.45
2021-06-28,16.384998
2021-06-29,16.285
2021-06-30,16.055
2021-07-01,17.134998
2021-07-02,19.919998
2021-07-03,21.244999
2021-07-04,18.855
2021-07-05,18.61
2021-07-06,17.71
2021-07-07,16.205
2021-07-08,16.645
2021-07-09,16.43
2021-07-10,14.53
2021-07-11,17.085
2021-07-12,17.189999
2021-07-13,19.414999
2021-07-14,19.5
2021-07-15,21.224998
2021-07-16,19.824999
2021-07-17,19.814999
2021-07-18,16.57
2021-07-19,15.879999
2021-07-20,17.564999
2021-07-21,16.785
2021-07-22,19.525
2021-07-23,18.74
2021-07-24,19.855
2021-07-25,20.599998
2021-07-26,19.579998
2021-07-27,16.825
2021-07-28,16.9
2021-07-29,14.235
2021-07-30,17.439999
2021-07-31,15.049999
2021-08-01,13.059999
2021-08-02,12.68
2021-08-03,12.29
2021-08-04,14.059999
2021-08-05,14.03
2021-08-06,14.6
2021-08-07,14.584999
2021-08-08,15.11
2021-08-09,15.32
2021-08-10,16.17
2021-08-11,15.61
2021-08-12,16.19
2021-08-13,15.469999
2021-08-14,13.309999
2021-08-15,13.71
2021-08-16,13.125
2021-08-17,14.65
2021-08-18,13.49
2021-08-19,12.69
2021-08-20,12.235001
2021-08-21,12.365
2021-08-22,13.0199995
2021-08-23,13.99
2021-08-24,14.74
2021-08-25,15.525
2021-08-26,12.44
2021-08-27,13.039999
2021-08-28,15.014999
2021-08-29,15.635
2021-08-30,15.375
2021-08-31,15.19
2021-09-01,15.424999
2021-09-02,15.309999
2021-09-03,11.65
2021-09-04,9.985001
2021-09-05,12.2
2021-09-06,12.235
2021-09-07,14.48
2021-09-08,16.529999
2021-09-09,16.75
2021-09-10,15.545
2021-09-11,14.59
2021-09-12,14.035
2021-09-13,10.465
2021-09-14,10.105
2021-09-15,10.799999
2021-09-16,9.049999
2021-09-17,8.085
2021-09-18,8.309999
2021-09-19,7.8499994
2021-09-20,6.955
2021-09-21,9.530001
2021-09-22,11.07
2021-09-23,9.5
2021-09-24,7.16
2021-09-25,9.375
2021-09-26,9.17
2021-09-27,10.35
2021-09-28,10.895
2021-09-29,9.54
2021-09-30,9.15
2021-10-01,10.254999
2021-10-02,10.13
2021-10-03,10.66
2021-10-04,10.699999
2021-10-05,10.51
2021-10-06,8.84
2021-10-07,9.349999
2021-10-08,11.724999
2021-10-09,11.77
2021-10-10,8.905
2021-10-11,5.05
2021-10-12,3.415
2021-10-13,2.83
2021-10-14,7.715
2021-10-15,5.835
2021-10-16,3.995
2021-10-17,0.66999996
2021-10-18,0.215
2021-10-19,0.72499996
2021-10-20,6.0899997
2021-10-21,4.975
2021-10-22,3.8999999
2021-10-23,2.2649999
2021-10-24,6.835
2021-10-25,8.29
2021-10-26,4.715
2021-10-27,7.6499996
2021-10-28,10.43
2021-10-29,9.84
2021-10-30,9.2
2021-10-31,7.46
2021-11-01,8.504999
2021-11-02,7.54
2021-11-03,5.3199997
2021-11-04,2.3
2021-11-05,0.715
2021-11-06,1.06
2021-11-07,1.6949999
2021-11-08,0.61499995
2021-11-09,5.16
2021-11-10,3.975
2021-11-11,3.3649998
2021-11-12,0.45499998
2021-11-13,1.6899999
2021-11-14,-0.325
2021-11-15,2.475
2021-11-16,6.21
2021-11-17,4.125
2021-11-18,0.41500002
2021-11-19,6.4249997
2021-11-20,3.07
2021-11-21,-0.78999996
2021-11-22,-2.5149999
2021-11-23,-0.16
2021-11-24,2.9199998
2021-11-25,-1.7199999
2021-11-26,-4.6849995
2021-11-27,-5.1049995
2021-11-28,-5.75
2021-11-29,-8.965
2021-11-30,-7.7349997
2021-12-01,-10.6
2021-12-02,-9.8
2021-12-03,-11.014999
2021-12-04,-7.535
2021-12-05,-8.0199995
2021-12-06,-11.66
2021-12-07,-10.094999
2021-12-08,-5.95
2021-12-09,-2.615
2021-12-10,-2.3249998
2021-12-11,-0.64
2021-12-12,-0.26999998
2021-12-13,0.98
2021-12-14,-0.35000002
2021-12-15,1.8499999
2021-12-16,0.73999995
2021-12-17,-0.905
2021-12-18,1.535
2021-12-19,-0.23499998
2021-12-20,-3.3349998
2021-12-21,-5.785
2021-12-22,-3.1299999
2021-12-23,-5.35
2021-12-24,-9.545
2021-12-25,-10.045
2021-12-26,-9.349999
2021-12-27,-10.83
2021-12-28,-6.6899996
2021-12-29,-8.25
2021-12-30,-2.09
2021-12-31,-3.625
