time,FI1C1
2021-01-01,2.8
2021-01-02,1.4649999
2021-01-03,0.18
2021-01-04,2.06
2021-01-05,3.1799998
2021-01-06,1.365
2021-01-07,1.12
2021-01-08,1.17
2021-01-09,-1.405
2021-01-10,3.195
2021-01-11,6.7799997
2021-01-12,3.4299998
2021-01-13,5.52
2021-01-14,7.8149996
2021-01-15,3.8249998
2021-01-16,6.7
2021-01-17,4.22
2021-01-18,5.085
2021-01-19,5.4449997
2021-01-20,2.975
2021-01-21,3.295
2021-01-22,2.1
2021-01-23,0.355
2021-01-24,0.9
2021-01-25,-0.45999998
2021-01-26,3.01
2021-01-27,6.0249996
2021-01-28,7.58
2021-01-29,6.515
2021-01-30,3.9849997
2021-01-31,3.08
2021-02-01,3.145
2021-02-02,3.53
2021-02-03,5.475
2021-02-04,6.6549997
2021-02-05,5.885
2021-02-06,5.345
2021-02-07,2.5749998
2021-02-08,2.22
2021-02-09,0.63
2021-02-10,0.114999995
2021-02-11,0.54999995
2021-02-12,2.87
2021-02-13,1.905
2021-02-14,6.96
2021-02-15,9.504999
2021-02-16,9.365
2021-02-17,7.5699997
2021-02-18,5.44
2021-02-19,7.8999996
2021-02-20,9.41
2021-02-21,8.875
2021-02-22,7.165
2021-02-23,9.93
2021-02-24,10.17
2021-02-25,6.91
2021-02-26,6.71
2021-02-27,7.1099997
2021-02-28,7.33
2021-03-01,4.9849997
2021-03-02,5.0299997
2021-03-03,4.01
2021-03-04,5.0699997
2021-03-05,4.205
2021-03-06,4.215
2021-03-07,3.955
2021-03-08,7.535
2021-03-09,8.38
2021-03-10,8.860001
2021-03-11,6.3149996
2021-03-12,5.8999996
2021-03-13,4.88
2021-03-14,6.765
2021-03-15,8.805
2021-03-16,10.145
2021-03-17,6.7799997
2021-03-18,8.849999
2021-03-19,8.57
2021-03-20,8.709999
2021-03-21,8.705
2021-03-22,8.365
2021-03-23,9.4
2021-03-24,7.185
2021-03-25,9.19
2021-03-26,6.2999997
2021-03-27,5.46
2021-03-28,10.34
2021-03-29,13.195
2021-03-30,14.115
2021-03-31,10.61
2021-04-01,7.785
2021-04-02,6.83
2021-04-03,6.75
2021-04-04,6.5649996
2021-04-05,3.6
2021-04-06,3.105
2021-04-07,4.875
2021-04-08,7.5950003
2021-04-09,5.14
2021-04-10,2.5549998
2021-04-11,2.6
2021-04-12,5.025
2021-04-13,6.9849997
2021-04-14,6.1849995
2021-04-15,6.8149996
2021-04-16,7.5299997
2021-04-17,8.28
2021-04-18,8.675
2021-04-19,9.91
2021-04-20,9.045
2021-04-21,7.1899996
2021-04-22,9.254999
2021-04-23,8.13
2021-04-24,11.355
2021-04-25,9.285
2021-04-26,8.115
2021-04-27,9.379999
2021-04-28,7.3599997
2021-04-29,6.77
2021-04-30,6.355
2021-05-01,4.97
2021-05-02,5.96
2021-05-03,8.84
2021-05-04,7.08
2021-05-05,6.3
2021-05-06,4.87
2021-05-07,6.575
2021-05-08,10.2
2021-05-09,11.799999
2021-05-10,12.25
2021-05-11,10.795
2021-05-12,9.049999
2021-05-13,9.219999
2021-05-14,9.764999
2021-05-15,10.15
2021-05-16,11.17
2021-05-17,9.58
2021-05-18,10.245
2021-05-19,10.105
2021-05-20,9.075
2021-05-21,10.45
2021-05-22,8.334999
2021-05-23,8.955
2021-05-24,8.465
2021-05-25,10.825
2021-05-26,11.219999
2021-05-27,11.17
2021-05-28,12.95
2021-05-29,14.574999
2021-05-30,14.635
2021-05-31,14.545
2021-06-01,17.035
2021-06-02,15.08
2021-06-03,16.189999
2021-06-04,13.879999
2021-06-05,14.049999
2021-06-06,13.27
2021-06-07,15.004999
2021-06-08,15.244999
2021-06-09,17.45
2021-06-10,18.864998
2021-06-11,15.99
2021-06-12,14.16
2021-06-13,17.535
2021-06-14,12.68
2021-06-15,14.575
2021-06-16,14.2699995
2021-06-17,13.03
2021-06-18,11.440001
2021-06-19,12.5199995
2021-06-20,15.75
2021-06-21,12.875
2021-06-22,11.385
2021-06-23,13.879999
2021-06-24,13.565001
2021-06-25,12.094999
2021-06-26,11.68
2021-06-27,13.684999
2021-06-28,14.68
2021-06-29,14.674999
2021-06-30,14.924999
2021-07-01,14.395
2021-07-02,14.41
2021-07-03,15.86
2021-07-04,17.18
2021-07-05,15.82
2021-07-06,14.41
2021-07-07,15.615
2021-07-08,15.275
2021-07-09,16.845
2021-07-10,16.045
2021-07-11,15.92
2021-07-12,16.945
2021-07-13,15.7699995
2021-07-14,16.605
2021-07-15,18.63
2021-07-16,19.755001
2021-07-17,20.634998
2021-07-18,18.18
2021-07-19,18.75
2021-07-20,19.025
2021-07-21,20.779999
2021-07-22,22.21
2021-07-23,21.579998
2021-07-24,19.005001
2021-07-25,19.099998
2021-07-26,16.404999
2021-07-27,17.064999
2021-07-28,13.67
2021-07-29,15.055
2021-07-30,15.23
2021-07-31,15.094999
2021-08-01,14.145
2021-08-02,12.08
2021-08-03,16.199999
2021-08-04,16.435
2021-08-05,15.65
2021-08-06,16.095
2021-08-07,16.814999
2021-08-08,15.905001
2021-08-09,16.279999
2021-08-10,15.464999
2021-08-11,16.845
2021-08-12,15.135
2021-08-13,15.335
2021-08-14,14.789999
2021-08-15,14.8949995
2021-08-16,14.049999
2021-08-17,15.19
2021-08-18,15.085
2021-08-19,14.585
2021-08-20,16.824999
2021-08-21,16.605
2021-08-22,16.915
2021-08-23,15.3949995
2021-08-24,16.755001
2021-08-25,17.5
2021-08-26,16.939999
2021-08-27,15.63
2021-08-28,15.594999
2021-08-29,14.934999
2021-08-30,14.545
2021-08-31,14.275
2021-09-01,15.7699995
2021-09-02,12.615
2021-09-03,12.360001
2021-09-04,15.335
2021-09-05,17.4
2021-09-06,17.945
2021-09-07,18.414999
2021-09-08,19.349998
2021-09-09,18.05
2021-09-10,17.305
2021-09-11,15.889999
2021-09-12,13.105
2021-09-13,13.59
2021-09-14,16.75
