time,FI1D8
2021-01-01,4.646667
2021-01-02,5.89
2021-01-03,7.7866664
2021-01-04,5.4233336
2021-01-05,4.5499997
2021-01-06,4.943333
2021-01-07,3.1000001
2021-01-08,2.6366665
2021-01-09,0.84
2021-01-10,-0.40333334
2021-01-11,-0.76666665
2021-01-12,-0.34333333
2021-01-13,0.8566666
2021-01-14,0.75333333
2021-01-15,-0.26333332
2021-01-16,-2.22
2021-01-17,-3.4766665
2021-01-18,-5.113333
2021-01-19,1.6966667
2021-01-20,5.836666
2021-01-21,7.3199997
2021-01-22,8.243333
2021-01-23,9.6
2021-01-24,7.0266666
2021-01-25,2.55
2021-01-26,2.1766665
2021-01-27,1.4166666
2021-01-28,1.2766666
2021-01-29,5.976667
2021-01-30,8.05
2021-01-31,2.5199997
2021-02-01,-1.0033333
2021-02-02,-0.17333333
2021-02-03,6.6966667
2021-02-04,12.669999
2021-02-05,10.66
2021-02-06,10.763333
2021-02-07,9.4
2021-02-08,8.503333
2021-02-09,6.066666
2021-02-10,8.003333
2021-02-11,-0.10999999
2021-02-12,-5.11
2021-02-13,-5.863333
2021-02-14,-2.4399998
2021-02-15,-1.1566666
2021-02-16,-1.65
2021-02-17,2.4466665
2021-02-18,7.3933334
2021-02-19,5.8799996
2021-02-20,5.703333
2021-02-21,6.8999996
2021-02-22,8.13
2021-02-23,9.79
2021-02-24,9.59
2021-02-25,10.523334
2021-02-26,11.2
2021-02-27,8.503333
2021-02-28,6.2299995
2021-03-01,5.7833333
2021-03-02,5.4666667
2021-03-03,7.256666
2021-03-04,8.096667
2021-03-05,7.963333
2021-03-06,3.1366665
2021-03-07,1.3166666
2021-03-08,3.073333
2021-03-09,2.2133334
2021-03-10,3.3199997
2021-03-11,2.1866665
2021-03-12,8.316667
2021-03-13,9.673333
2021-03-14,10.636666
2021-03-15,6.133333
2021-03-16,6.3899994
2021-03-17,5.656667
2021-03-18,4.5099998
2021-03-19,3.073333
2021-03-20,2.01
2021-03-21,2.06
2021-03-22,2.55
2021-03-23,4.27
2021-03-24,6.42
2021-03-25,4.7599998
2021-03-26,7.566666
2021-03-27,10.346667
2021-03-28,11.13
2021-03-29,9.616666
2021-03-30,12.296666
2021-03-31,14.523334
2021-04-01,14.45
2021-04-02,15.876666
2021-04-03,10.383334
2021-04-04,6.363333
2021-04-05,6.5333333
2021-04-06,4.923333
2021-04-07,3.57
2021-04-08,4.6266665
2021-04-09,6.5099998
2021-04-10,10.083333
2021-04-11,10.219999
2021-04-12,13.873333
2021-04-13,5.9133325
2021-04-14,4.3999996
2021-04-15,4.886667
2021-04-16,5.0133333
2021-04-17,7.3566666
2021-04-18,7.5266666
2021-04-19,8.73
2021-04-20,10.463333
2021-04-21,11.87
2021-04-22,13.503333
2021-04-23,11.626667
2021-04-24,9.7699995
2021-04-25,11.576665
2021-04-26,10.946667
2021-04-27,9.186666
2021-04-28,10.926666
2021-04-29,17.04
2021-04-30,18.586664
2021-05-01,20.519999
2021-05-02,21.089998
2021-05-03,12.173333
2021-05-04,12.253333
2021-05-05,16.076666
2021-05-06,13.279999
2021-05-07,13.2
2021-05-08,11.166667
2021-05-09,13.193334
2021-05-10,18.463333
2021-05-11,20.463331
2021-05-12,17.206667
2021-05-13,15.419999
2021-05-14,16.896666
2021-05-15,15.61
2021-05-16,17.289999
2021-05-17,14.653333
2021-05-18,15.663333
2021-05-19,13.286666
2021-05-20,11.693333
2021-05-21,14.993333
2021-05-22,16.413332
2021-05-23,19.573334
2021-05-24,14.453334
2021-05-25,18.653334
2021-05-26,14.5
2021-05-27,16.346666
2021-05-28,17.086668
2021-05-29,15.876666
2021-05-30,14.773334
2021-05-31,13.993333
2021-06-01,15.243333
2021-06-02,15.469998
2021-06-03,16.853333
2021-06-04,18.156668
2021-06-05,19.39
2021-06-06,19.066668
2021-06-07,20.353333
2021-06-08,21.533333
2021-06-09,22.053331
2021-06-10,21.4
2021-06-11,19.646666
2021-06-12,20.966665
2021-06-13,20.413332
2021-06-14,16.6
2021-06-15,20.41
2021-06-16,21.553335
2021-06-17,22.773333
2021-06-18,23.463333
2021-06-19,25.803335
2021-06-20,24.779999
2021-06-21,26.39
2021-06-22,27.763334
2021-06-23,28.31
2021-06-24,29.416666
2021-06-25,29.133331
2021-06-26,24.199999
2021-06-27,24.403334
2021-06-28,25.166666
2021-06-29,26.65
2021-06-30,27.583334
2021-07-01,22.926666
2021-07-02,20.793333
2021-07-03,21.383333
2021-07-04,21.973333
2021-07-05,24.62
2021-07-06,25.303335
2021-07-07,26.51
2021-07-08,27.75
2021-07-09,29.38
2021-07-10,24.336664
2021-07-11,25.476667
2021-07-12,25.053331
2021-07-13,27.39
2021-07-14,29.416666
2021-07-15,25.326666
2021-07-16,24.74
2021-07-17,23.63
2021-07-18,23.796667
2021-07-19,21.65
2021-07-20,23.563334
2021-07-21,21.036665
2021-07-22,21.506668
2021-07-23,21.853333
2021-07-24,22.39
2021-07-25,25.176666
2021-07-26,27.083334
2021-07-27,27.72
2021-07-28,27.716665
2021-07-29,25.993332
2021-07-30,25.623331
2021-07-31,26.279999
2021-08-01,26.573334
2021-08-02,22.293333
2021-08-03,22.846666
2021-08-04,24.089998
2021-08-05,22.266668
2021-08-06,21.14
2021-08-07,22.19
2021-08-08,25.840002
2021-08-09,25.333334
2021-08-10,25.519999
2021-08-11,25.429998
2021-08-12,24.503332
2021-08-13,23.723333
2021-08-14,26.26
2021-08-15,27.316666
2021-08-16,27.653334
2021-08-17,21.94333
2021-08-18,18.433332
2021-08-19,18.88
2021-08-20,20.56
2021-08-21,21.913332
2021-08-22,22.653334
2021-08-23,22.493332
2021-08-24,20.613333
2021-08-25,17.706667
2021-08-26,17.913332
2021-08-27,15.106667
2021-08-28,14.146667
2021-08-29,16.029999
2021-08-30,16.816666
2021-08-31,18.323332
2021-09-01,17.976667
2021-09-02,17.833334
2021-09-03,17.443333
2021-09-04,18.023333
2021-09-05,19.869999
2021-09-06,18.016668
2021-09-07,17.736666
2021-09-08,17.99
2021-09-09,17.866667
2021-09-10,18.243334
2021-09-11,19.03
2021-09-12,19.89
2021-09-13,20.853333
2021-09-14,21.909998
2021-09-15,22.166666
2021-09-16,23.82
2021-09-17,22.843332
2021-09-18,18.193333
2021-09-19,17.76
2021-09-20,12.66
2021-09-21,13.25
2021-09-22,11.306666
2021-09-23,12.583333
2021-09-24,16.476667
2021-09-25,18.51
2021-09-26,19.166666
2021-09-27,21.026665
2021-09-28,19.18
2021-09-29,17.243334
2021-09-30,13.513333
2021-10-01,15.843333
2021-10-02,14.346667
2021-10-03,15.693333
2021-10-04,17.616667
2021-10-05,18.46
2021-10-06,14.576667
2021-10-07,12.829999
2021-10-08,12.169999
2021-10-09,9.166667
2021-10-10,8.169999
2021-10-11,8.936666
2021-10-12,10.990001
2021-10-13,8.203334
2021-10-14,6.2533336
2021-10-15,6.306667
2021-10-16,11.896667
2021-10-17,9.919999
2021-10-18,9.113334
2021-10-19,9.749999
2021-10-20,11.796666
2021-10-21,13.98
2021-10-22,12.646667
2021-10-23,10.976666
2021-10-24,7.6999993
2021-10-25,6.876667
2021-10-26,7.943333
2021-10-27,7.5633335
2021-10-28,7.2966666
2021-10-29,8.4366665
2021-10-30,10.256666
2021-10-31,9.48
2021-11-01,9.333333
2021-11-02,10.233333
2021-11-03,9.483334
2021-11-04,17.613333
2021-11-05,9.8
2021-11-06,8.709999
2021-11-07,8.846666
2021-11-08,7.8766665
2021-11-09,9.346666
2021-11-10,6.11
2021-11-11,6.0033326
2021-11-12,3.5366666
2021-11-13,5.843333
2021-11-14,8.113334
2021-11-15,5.1966667
2021-11-16,6.816667
2021-11-17,5.303333
2021-11-18,7.7233334
2021-11-19,5.9666667
2021-11-20,8.503333
2021-11-21,6.463333
2021-11-22,3.573333
2021-11-23,6.77
2021-11-24,2.0266664
2021-11-25,2.3
2021-11-26,6.1566663
2021-11-27,5.4599996
2021-11-28,9.256666
2021-11-29,4.266667
2021-11-30,3.1533334
2021-12-01,8.089999
2021-12-02,9.813333
2021-12-03,5.04
2021-12-04,-0.60999995
2021-12-05,2.8999999
