time,FRB03
2021-01-01,3.6699998
2021-01-02,5.9
2021-01-03,6.3599997
2021-01-04,4.74
2021-01-05,5.9
2021-01-06,4.29
2021-01-07,2.55
2021-01-08,3.04
2021-01-09,1.1899999
2021-01-10,1.1
2021-01-11,-0.59999996
2021-01-12,-0.65999997
2021-01-13,-0.41
2021-01-14,0.62
2021-01-15,-0.78
2021-01-16,0.35
2021-01-17,-2.1599998
2021-01-18,-1.51
2021-01-19,-0.39999998
2021-01-20,5.77
2021-01-21,8.19
2021-01-22,10.03
2021-01-23,10.96
2021-01-24,7.6
2021-01-25,1.3199999
2021-01-26,0.97999996
2021-01-27,1.28
2021-01-28,2.09
2021-01-29,5.41
2021-01-30,5.46
2021-01-31,3.72
2021-02-01,1.99
2021-02-02,0.84
2021-02-03,3.1399999
2021-02-04,11.599999
2021-02-05,12.059999
2021-02-06,11.69
2021-02-07,12.139999
2021-02-08,9.719999
2021-02-09,4.19
2021-02-10,5.1099997
2021-02-11,1.75
2021-02-12,-1.4499999
2021-02-13,-4.15
2021-02-14,-1.92
2021-02-15,-1.18
2021-02-16,2.69
2021-02-17,5.08
2021-02-18,4.95
2021-02-19,6.89
2021-02-20,10.29
2021-02-21,10.04
2021-02-22,12.349999
2021-02-23,11.44
2021-02-24,11.55
2021-02-25,11.3
2021-02-26,11.509999
2021-02-27,11.33
2021-02-28,7.54
2021-03-01,6.25
2021-03-02,5.99
2021-03-03,7.25
2021-03-04,9.84
2021-03-05,11.849999
2021-03-06,6.0499997
2021-03-07,2.35
2021-03-08,4.24
2021-03-09,6.35
2021-03-10,4.37
2021-03-11,5.16
2021-03-12,10.28
2021-03-13,9.58
2021-03-14,9.929999
2021-03-15,7.04
2021-03-16,6.6
2021-03-17,5.5899997
2021-03-18,6.0299997
2021-03-19,2.2
2021-03-20,3.25
2021-03-21,2.37
2021-03-22,5.06
2021-03-23,5.94
2021-03-24,8.559999
2021-03-25,8.21
2021-03-26,9.96
2021-03-27,13.32
2021-03-28,12.09
2021-03-29,9.94
2021-03-30,15.33
2021-03-31,14.87
2021-04-01,16.18
2021-04-02,18.0
2021-04-03,12.96
2021-04-04,7.93
2021-04-05,7.0499997
2021-04-06,5.89
2021-04-07,3.31
2021-04-08,3.8
2021-04-09,7.5499997
2021-04-10,13.009999
2021-04-11,13.34
2021-04-12,13.36
2021-04-13,7.46
2021-04-14,6.68
2021-04-15,4.99
2021-04-16,6.2999997
2021-04-17,7.8999996
2021-04-18,7.95
2021-04-19,8.07
2021-04-20,9.34
