time,FRC22
2021-01-01,3.998
2021-01-02,6.238
2021-01-03,6.8479996
2021-01-04,5.7720003
2021-01-05,4.9119997
2021-01-06,5.5420003
2021-01-07,2.484
2021-01-08,2.4239998
2021-01-09,1.306
2021-01-10,0.63
2021-01-11,0.164
2021-01-12,-1.094
2021-01-13,-0.43599996
2021-01-14,-0.538
2021-01-15,-0.608
2021-01-16,-1.584
2021-01-17,-2.7739997
2021-01-18,-3.4919999
2021-01-19,-0.19
2021-01-20,5.418
2021-01-21,7.722
2021-01-22,9.474
2021-01-23,10.0199995
2021-01-24,7.004
2021-01-25,2.0279999
2021-01-26,1.4979999
2021-01-27,0.628
2021-01-28,0.666
2021-01-29,5.8819995
2021-01-30,7.6419997
2021-01-31,3.5659995
2021-02-01,1.3479999
2021-02-02,1.702
2021-02-03,7.0239997
2021-02-04,11.048
2021-02-05,9.780001
2021-02-06,9.602
2021-02-07,11.589999
2021-02-08,10.202
2021-02-09,6.9439993
2021-02-10,8.818
2021-02-11,0.059999995
2021-02-12,-4.188
2021-02-13,-4.9119997
2021-02-14,-2.4919999
2021-02-15,-1.5919999
2021-02-16,0.106000006
2021-02-17,3.192
2021-02-18,6.148
2021-02-19,7.418
2021-02-20,7.482
2021-02-21,7.426
2021-02-22,9.45
2021-02-23,9.828
2021-02-24,10.162
2021-02-25,11.151999
2021-02-26,11.786
2021-02-27,9.081999
2021-02-28,6.572
2021-03-01,5.8539996
2021-03-02,6.2139997
2021-03-03,7.648
2021-03-04,9.359999
2021-03-05,9.719999
2021-03-06,3.8
2021-03-07,1.992
2021-03-08,4.45
2021-03-09,3.6859996
2021-03-10,3.8260002
2021-03-11,4.068
2021-03-12,8.674
2021-03-13,9.797999
2021-03-14,9.658
2021-03-15,5.3120003
2021-03-16,5.864
2021-03-17,4.8539996
2021-03-18,3.912
2021-03-19,2.3040001
2021-03-20,2.8919997
2021-03-21,1.6899999
2021-03-22,3.618
2021-03-23,4.7279997
2021-03-24,6.7759995
2021-03-25,6.3019996
2021-03-26,9.3619995
2021-03-27,11.999999
2021-03-28,11.075999
2021-03-29,10.735999
2021-03-30,14.025999
2021-03-31,14.673999
2021-04-01,15.607999
2021-04-02,15.881999
2021-04-03,9.61
2021-04-04,5.9519997
2021-04-05,7.339999
2021-04-06,3.9099998
2021-04-07,2.4459999
2021-04-08,4.15
2021-04-09,7.238
2021-04-10,10.938
2021-04-11,11.296
2021-04-12,14.351999
2021-04-13,5.4679995
2021-04-14,5.108
2021-04-15,5.6019998
2021-04-16,5.8899994
2021-04-17,6.544
2021-04-18,6.7100005
2021-04-19,8.542
2021-04-20,9.736
2021-04-21,11.764
2021-04-22,13.344
2021-04-23,11.372
2021-04-24,10.596
