time,FRE21
2021-01-01,-0.08
2021-01-02,2.49
2021-01-03,2.47
2021-01-04,2.6699998
2021-01-05,2.77
2021-01-06,2.49
2021-01-07,-1.76
2021-01-08,0.47
2021-01-09,0.69
2021-01-10,1.18
2021-01-11,5.79
2021-01-12,7.56
2021-01-13,6.3399997
2021-01-14,8.45
2021-01-15,2.22
2021-01-16,4.97
2021-01-17,5.95
2021-01-18,5.38
2021-01-19,9.91
2021-01-20,9.45
2021-01-21,4.44
2021-01-22,3.57
2021-01-23,1.43
2021-01-24,-0.25
2021-01-25,1.26
2021-01-26,3.74
2021-01-27,7.81
2021-01-28,9.44
2021-01-29,9.33
2021-01-30,6.02
2021-01-31,0.76
2021-02-01,3.4099998
2021-02-02,8.15
2021-02-03,8.15
2021-02-04,7.04
2021-02-05,6.79
2021-02-06,4.02
2021-02-07,1.9599999
2021-02-08,0.87
2021-02-09,-0.53
2021-02-10,-0.12
2021-02-11,-1.91
2021-02-12,0.59
2021-02-13,-0.56
2021-02-14,3.9299998
2021-02-15,8.61
2021-02-16,9.45
2021-02-17,8.349999
2021-02-18,7.8999996
2021-02-19,7.2599998
2021-02-20,10.76
2021-02-21,9.03
2021-02-22,8.62
2021-02-23,8.45
2021-02-24,12.4
2021-02-25,9.28
2021-02-26,5.21
2021-02-27,5.37
2021-02-28,5.4
2021-03-01,5.1099997
2021-03-02,4.5899997
2021-03-03,5.73
2021-03-04,5.38
2021-03-05,3.9399998
2021-03-06,2.19
2021-03-07,1.66
2021-03-08,4.04
2021-03-09,4.93
2021-03-10,8.32
2021-03-11,8.74
2021-03-12,6.75
2021-03-13,6.21
2021-03-14,6.7999997
2021-03-15,9.29
2021-03-16,9.33
2021-03-17,6.3999996
2021-03-18,6.18
2021-03-19,8.69
2021-03-20,7.3799996
2021-03-21,8.2699995
2021-03-22,6.19
2021-03-23,7.3199997
2021-03-24,8.71
2021-03-25,7.8599997
2021-03-26,8.84
2021-03-27,6.71
2021-03-28,9.87
2021-03-29,11.95
2021-03-30,12.139999
2021-03-31,12.59
2021-04-01,10.95
2021-04-02,7.29
2021-04-03,5.74
2021-04-04,6.71
2021-04-05,5.72
2021-04-06,2.9099998
2021-04-07,2.7
2021-04-08,6.45
2021-04-09,6.2799997
2021-04-10,5.41
2021-04-11,3.9099998
2021-04-12,4.5499997
2021-04-13,5.93
2021-04-14,6.0299997
2021-04-15,5.04
2021-04-16,4.52
2021-04-17,5.98
2021-04-18,6.58
2021-04-19,8.24
2021-04-20,9.12
2021-04-21,9.59
2021-04-22,7.83
2021-04-23,9.42
2021-04-24,10.139999
2021-04-25,8.45
2021-04-26,7.33
2021-04-27,8.0
2021-04-28,7.56
2021-04-29,5.5
2021-04-30,6.04
2021-05-01,5.62
2021-05-02,6.7599998
2021-05-03,7.95
