time,FRF34
2021-01-01,-0.66499996
2021-01-02,1.655
2021-01-03,3.44
2021-01-04,3.6399999
2021-01-05,1.6199999
2021-01-06,0.725
2021-01-07,0.995
2021-01-08,0.89
2021-01-09,-0.655
2021-01-10,-1.115
2021-01-11,-2.885
2021-01-12,-2.13
2021-01-13,-0.24999999
2021-01-14,-0.49499997
2021-01-15,-3.3249998
2021-01-16,-4.645
2021-01-17,-7.77
2021-01-18,-12.295
2021-01-19,-2.6799998
2021-01-20,3.755
2021-01-21,4.255
2021-01-22,6.455
2021-01-23,6.7699995
2021-01-24,2.695
2021-01-25,0.035
2021-01-26,-0.605
2021-01-27,-1.325
2021-01-28,-2.045
2021-01-29,-0.505
2021-01-30,0.48
2021-01-31,-5.4799995
2021-02-01,-6.9700003
2021-02-02,-1.9499999
2021-02-03,5.47
2021-02-04,4.91
2021-02-05,0.655
2021-02-06,-1.28
2021-02-07,-4.935
2021-02-08,-6.38
2021-02-09,-7.425
2021-02-10,-4.725
2021-02-11,-8.505
2021-02-12,-11.559999
2021-02-13,-7.1949997
2021-02-14,-4.555
2021-02-15,-6.3549995
2021-02-16,-4.9799995
2021-02-17,0.84999996
2021-02-18,2.79
2021-02-19,2.42
2021-02-20,3.62
2021-02-21,3.5299997
2021-02-22,5.52
2021-02-23,4.615
2021-02-24,9.15
2021-02-25,10.025
2021-02-26,9.895
2021-02-27,5.27
2021-02-28,4.87
2021-03-01,3.745
2021-03-02,5.04
2021-03-03,7.1349998
2021-03-04,6.725
2021-03-05,3.07
2021-03-06,0.04
2021-03-07,1.46
2021-03-08,0.46499997
2021-03-09,-1.9849999
2021-03-10,-1.79
2021-03-11,-0.39
2021-03-12,6.0299997
2021-03-13,6.5249996
2021-03-14,7.22
2021-03-15,4.5299997
2021-03-16,1.5799999
2021-03-17,3.435
2021-03-18,1.835
2021-03-19,-0.735
2021-03-20,-2.27
2021-03-21,-3.6100001
2021-03-22,1.22
2021-03-23,2.375
2021-03-24,9.9
2021-03-25,6.5699997
2021-03-26,8.065
2021-03-27,13.844999
2021-03-28,5.67
2021-03-29,6.955
2021-03-30,13.254999
2021-03-31,13.42
2021-04-01,14.785
2021-04-02,9.804999
2021-04-03,4.365
2021-04-04,3.6499999
2021-04-05,6.5299997
2021-04-06,8.33
2021-04-07,6.5299997
2021-04-08,1.88
2021-04-09,4.7799997
2021-04-10,11.215
2021-04-11,10.2
2021-04-12,9.129999
2021-04-13,3.065
2021-04-14,2.745
2021-04-15,1.88
2021-04-16,2.245
2021-04-17,3.4499998
2021-04-18,6.725
2021-04-19,7.3149996
2021-04-20,8.045
2021-04-21,9.615
2021-04-22,7.41
2021-04-23,5.0
2021-04-24,7.615
2021-04-25,5.925
2021-04-26,3.625
2021-04-27,4.7749996
2021-04-28,8.98
2021-04-29,11.165
2021-04-30,14.615
2021-05-01,11.1
2021-05-02,10.1
2021-05-03,7.705
2021-05-04,9.555
2021-05-05,13.215
2021-05-06,8.445
2021-05-07,10.075
2021-05-08,8.105
2021-05-09,12.5199995
2021-05-10,16.895
2021-05-11,21.215
2021-05-12,19.349998
2021-05-13,17.23
2021-05-14,12.745
2021-05-15,13.434999
2021-05-16,13.365
2021-05-17,11.28
2021-05-18,12.42
2021-05-19,11.105
2021-05-20,13.469999
2021-05-21,12.225
2021-05-22,12.33
2021-05-23,11.940001
2021-05-24,12.025
2021-05-25,13.344999
2021-05-26,12.785
2021-05-27,14.395
2021-05-28,11.389999
2021-05-29,11.584999
2021-05-30,11.83
2021-05-31,13.01
2021-06-01,10.969999
2021-06-02,13.299999
2021-06-03,14.254999
2021-06-04,15.875
2021-06-05,18.630001
2021-06-06,16.89
2021-06-07,17.314999
2021-06-08,18.329998
2021-06-09,17.73
2021-06-10,16.345
2021-06-11,17.025
2021-06-12,18.215
2021-06-13,14.315
2021-06-14,15.045
2021-06-15,15.915
2021-06-16,19.475
2021-06-17,21.18
2021-06-18,22.14
2021-06-19,23.09
2021-06-20,23.884998
2021-06-21,25.255
2021-06-22,23.64
2021-06-23,22.295
2021-06-24,24.88
2021-06-25,19.779999
2021-06-26,19.399998
2021-06-27,19.175
2021-06-28,20.29
2021-06-29,21.384998
2021-06-30,21.16
2021-07-01,18.939999
2021-07-02,18.669998
2021-07-03,18.91
2021-07-04,18.35
2021-07-05,19.625
2021-07-06,21.689999
2021-07-07,24.055
2021-07-08,23.675
2021-07-09,24.345
2021-07-10,19.165
2021-07-11,20.345
2021-07-12,20.055
2021-07-13,22.914999
2021-07-14,24.724998
2021-07-15,22.375
2021-07-16,22.32
2021-07-17,22.92
2021-07-18,22.364998
2021-07-19,21.84
2021-07-20,18.36
2021-07-21,18.074999
2021-07-22,18.22
2021-07-23,18.515
2021-07-24,20.095
2021-07-25,20.97
2021-07-26,22.369999
2021-07-27,23.77
2021-07-28,23.899998
2021-07-29,22.494999
2021-07-30,21.555
2021-07-31,21.164999
2021-08-01,19.465
2021-08-02,17.544998
2021-08-03,17.564999
2021-08-04,17.98
2021-08-05,17.265
2021-08-06,16.685
2021-08-07,18.755
2021-08-08,20.47
2021-08-09,19.244999
2021-08-10,21.1
2021-08-11,19.485
2021-08-12,17.785
2021-08-13,19.564999
2021-08-14,23.425
2021-08-15,23.485
2021-08-16,23.895
2021-08-17,17.744999
2021-08-18,15.535
2021-08-19,17.32
2021-08-20,19.47
2021-08-21,18.015
2021-08-22,18.285
2021-08-23,18.915
2021-08-24,15.51
2021-08-25,12.87
2021-08-26,13.049999
2021-08-27,13.389999
2021-08-28,13.08
2021-08-29,13.615
2021-08-30,13.5199995
2021-08-31,14.34
2021-09-01,14.98
2021-09-02,15.635
2021-09-03,15.775
2021-09-04,15.504999
2021-09-05,13.429999
2021-09-06,12.224999
2021-09-07,15.375
2021-09-08,16.71
2021-09-09,16.699999
2021-09-10,16.855
2021-09-11,17.535
2021-09-12,18.04
2021-09-13,18.295
2021-09-14,16.88
2021-09-15,17.439999
2021-09-16,19.5
2021-09-17,15.955
2021-09-18,13.405
2021-09-19,10.5
2021-09-20,10.695
2021-09-21,9.105
2021-09-22,9.940001
2021-09-23,12.535
2021-09-24,14.51
2021-09-25,16.255
2021-09-26,16.454998
2021-09-27,15.844999
2021-09-28,13.88
2021-09-29,11.055
2021-09-30,11.885
2021-10-01,9.82
2021-10-02,13.075
2021-10-03,14.125
2021-10-04,15.929999
2021-10-05,17.619999
2021-10-06,15.075
2021-10-07,12.475
2021-10-08,7.895
2021-10-09,6.49
2021-10-10,5.1549997
2021-10-11,6.17
2021-10-12,8.395
2021-10-13,6.04
2021-10-14,6.9049997
2021-10-15,9.745
2021-10-16,7.7549996
2021-10-17,6.39
2021-10-18,6.835
2021-10-19,10.335
2021-10-20,14.855
2021-10-21,13.785
2021-10-22,9.985001
2021-10-23,6.8599997
2021-10-24,5.225
2021-10-25,6.63
2021-10-26,6.305
2021-10-27,9.139999
2021-10-28,8.889999
2021-10-29,8.889999
2021-10-30,10.855
2021-10-31,11.585
2021-11-01,10.135
2021-11-02,8.96
2021-11-03,9.389999
2021-11-04,12.69
2021-11-05,7.2749996
2021-11-06,6.8549995
2021-11-07,6.0999994
2021-11-08,6.7
2021-11-09,6.0199995
2021-11-10,6.455
2021-11-11,5.975
2021-11-12,3.13
2021-11-13,4.015
2021-11-14,3.07
2021-11-15,5.0699997
2021-11-16,5.385
2021-11-17,3.0349998
2021-11-18,6.055
2021-11-19,7.495
2021-11-20,9.014999
2021-11-21,8.08
2021-11-22,4.795
2021-11-23,2.195
2021-11-24,2.705
2021-11-25,1.755
2021-11-26,2.935
2021-11-27,1.895
2021-11-28,1.39
2021-11-29,0.88
2021-11-30,1.25
2021-12-01,3.9099998
2021-12-02,5.165
2021-12-03,1.13
2021-12-04,0.51
2021-12-05,1.4849999
2021-12-06,0.91999996
2021-12-07,-0.8299999
2021-12-08,-2.455
2021-12-09,-2.22
2021-12-10,-1.185
2021-12-11,-1.56
2021-12-12,-2.55
2021-12-13,-3.94
2021-12-14,0.835
2021-12-15,3.1299999
2021-12-16,5.545
2021-12-17,4.66
2021-12-18,2.625
2021-12-19,4.115
2021-12-20,1.43
2021-12-21,-3.6299999
2021-12-22,-4.975
2021-12-23,-5.175
2021-12-24,2.905
2021-12-25,0.52
2021-12-26,-8.59
2021-12-27,-9.59
2021-12-28,-4.87
2021-12-29,-1.105
2021-12-30,3.6349998
2021-12-31,9.065
