time,FRG05
2021-01-01,-1.3778571
2021-01-02,0.06928571
2021-01-03,0.79571426
2021-01-04,1.3121427
2021-01-05,1.3092858
2021-01-06,1.0264286
2021-01-07,0.39285707
2021-01-08,0.44642854
2021-01-09,0.61642855
2021-01-10,0.45214286
2021-01-11,-1.0092857
2021-01-12,0.23142855
2021-01-13,0.6778571
2021-01-14,-0.034285713
2021-01-15,-0.9442856
2021-01-16,-3.3928568
2021-01-17,-7.550714
2021-01-18,-9.567857
2021-01-19,-0.76642853
2021-01-20,4.3535714
2021-01-21,5.8428564
2021-01-22,7.919999
2021-01-23,4.517857
2021-01-24,1.2578571
2021-01-25,0.9192857
2021-01-26,0.6971428
2021-01-27,0.8371428
2021-01-28,0.42642856
2021-01-29,-1.5121428
2021-01-30,-1.6742857
2021-01-31,-4.6592855
2021-02-01,-6.7450004
2021-02-02,-0.87214285
2021-02-03,4.2471423
2021-02-04,3.5642858
2021-02-05,-0.5957143
2021-02-06,-2.0235713
2021-02-07,-5.9350004
2021-02-08,-8.782857
2021-02-09,-8.831429
2021-02-10,-8.457143
2021-02-11,-8.109285
2021-02-12,-9.065714
2021-02-13,-4.3814282
2021-02-14,-4.5314283
2021-02-15,-5.860715
2021-02-16,-2.2035716
2021-02-17,2.2142856
2021-02-18,3.7199998
2021-02-19,4.462857
2021-02-20,4.1621428
2021-02-21,6.1564283
2021-02-22,4.9021425
2021-02-23,6.785
2021-02-24,10.244286
2021-02-25,10.873571
2021-02-26,8.093572
2021-02-27,5.717143
2021-02-28,4.527857
2021-03-01,4.325
2021-03-02,5.1357145
2021-03-03,6.1971426
2021-03-04,5.3714285
2021-03-05,1.4357141
2021-03-06,0.75857145
2021-03-07,2.677857
2021-03-08,1.53
2021-03-09,-0.61285716
2021-03-10,0.41571426
2021-03-11,2.3999999
2021-03-12,7.056428
2021-03-13,6.424286
2021-03-14,5.335
2021-03-15,4.4885716
2021-03-16,3.7442856
2021-03-17,3.5742857
2021-03-18,1.3942856
2021-03-19,0.8478571
2021-03-20,-1.53
2021-03-21,2.7292857
2021-03-22,3.4128573
2021-03-23,4.901428
2021-03-24,6.7435718
2021-03-25,7.959999
2021-03-26,9.734285
2021-03-27,9.733572
2021-03-28,6.5607142
2021-03-29,11.252143
2021-03-30,14.96
2021-03-31,14.468572
2021-04-01,12.648572
2021-04-02,7.18
2021-04-03,5.4807143
2021-04-04,4.243571
2021-04-05,4.9878573
2021-04-06,2.6885715
2021-04-07,2.8192859
2021-04-08,4.567143
2021-04-09,6.518571
2021-04-10,6.4399996
2021-04-11,11.884285
2021-04-12,8.7535715
2021-04-13,5.373571
2021-04-14,4.835714
2021-04-15,3.4242857
2021-04-16,4.215
2021-04-17,6.6921425
2021-04-18,8.392858
2021-04-19,10.433572
2021-04-20,10.917856
2021-04-21,11.031428
2021-04-22,8.179999
2021-04-23,6.8707137
2021-04-24,7.5971427
2021-04-25,6.0649996
2021-04-26,3.937857
2021-04-27,4.537857
2021-04-28,9.647142
2021-04-29,12.174285
2021-04-30,10.042143
2021-05-01,7.6814284
2021-05-02,7.7285705
2021-05-03,7.3092856
2021-05-04,9.018571
2021-05-05,11.169999
2021-05-06,8.577142
2021-05-07,7.355714
2021-05-08,8.357142
2021-05-09,15.04857
2021-05-10,19.178572
2021-05-11,22.277143
2021-05-12,20.647142
2021-05-13,16.332142
2021-05-14,12.654999
2021-05-15,12.709999
2021-05-16,14.112856
2021-05-17,13.095
2021-05-18,13.380714
2021-05-19,12.203572
2021-05-20,11.92143
2021-05-21,13.395715
2021-05-22,13.962143
2021-05-23,12.941428
2021-05-24,12.833572
2021-05-25,14.318571
2021-05-26,12.233572
2021-05-27,12.61857
2021-05-28,11.964999
2021-05-29,11.637857
2021-05-30,12.346429
2021-05-31,13.166428
2021-06-01,14.13
2021-06-02,17.170713
2021-06-03,16.709286
2021-06-04,16.887142
2021-06-05,19.117857
2021-06-06,18.84857
2021-06-07,19.517141
2021-06-08,19.449286
2021-06-09,19.095715
2021-06-10,18.536427
2021-06-11,19.628572
2021-06-12,19.257141
2021-06-13,13.873572
2021-06-14,15.691427
2021-06-15,18.936428
2021-06-16,19.575712
2021-06-17,23.190714
2021-06-18,25.30786
2021-06-19,26.142857
2021-06-20,27.04357
2021-06-21,27.256428
2021-06-22,22.126429
2021-06-23,19.13857
2021-06-24,18.847141
2021-06-25,17.899286
2021-06-26,18.847141
2021-06-27,19.329285
2021-06-28,21.067142
2021-06-29,21.907145
2021-06-30,21.749998
2021-07-01,18.714998
2021-07-02,18.304287
2021-07-03,18.822859
2021-07-04,20.292858
2021-07-05,20.225002
2021-07-06,21.521427
2021-07-07,22.007856
2021-07-08,18.48857
2021-07-09,20.910715
2021-07-10,19.686428
2021-07-11,20.155714
2021-07-12,21.366428
2021-07-13,22.977858
2021-07-14,23.786427
2021-07-15,22.719284
2021-07-16,23.31357
2021-07-17,23.642145
2021-07-18,22.672144
2021-07-19,19.732859
2021-07-20,17.964285
2021-07-21,17.647142
2021-07-22,19.574284
2021-07-23,20.54071
2021-07-24,21.284285
2021-07-25,21.847143
2021-07-26,22.742857
2021-07-27,22.87357
2021-07-28,22.245714
2021-07-29,20.844284
2021-07-30,19.484999
2021-07-31,21.015
2021-08-01,18.45143
2021-08-02,18.025715
2021-08-03,16.929285
2021-08-04,17.881428
2021-08-05,17.152143
2021-08-06,18.49857
2021-08-07,19.312143
2021-08-08,20.413572
2021-08-09,18.857855
2021-08-10,18.995714
2021-08-11,18.616428
2021-08-12,18.682142
2021-08-13,21.662144
2021-08-14,22.956427
2021-08-15,21.308573
2021-08-16,22.165716
2021-08-17,17.55857
2021-08-18,16.755713
2021-08-19,18.657856
2021-08-20,18.654285
2021-08-21,17.997858
2021-08-22,18.772856
2021-08-23,16.912857
2021-08-24,16.321428
2021-08-25,14.594285
2021-08-26,15.514285
2021-08-27,14.376429
2021-08-28,14.615
2021-08-29,15.713571
2021-08-30,15.424286
2021-08-31,16.45857
2021-09-01,16.336428
2021-09-02,16.652143
2021-09-03,16.219286
2021-09-04,15.341429
2021-09-05,15.355001
2021-09-06,15.28357
2021-09-07,17.404285
2021-09-08,17.41357
2021-09-09,19.354284
2021-09-10,20.1
2021-09-11,19.456427
2021-09-12,18.808569
2021-09-13,17.686428
2021-09-14,16.446428
2021-09-15,18.036428
2021-09-16,19.158571
2021-09-17,15.455713
2021-09-18,13.241427
