time,FRH03
2021-01-01,-0.07
2021-01-02,0.23857145
2021-01-03,0.84000003
2021-01-04,1.4585713
2021-01-05,2.7542856
2021-01-06,2.1014285
2021-01-07,0.63428575
2021-01-08,0.71
2021-01-09,0.7985714
2021-01-10,0.89857143
2021-01-11,0.6
2021-01-12,0.96571434
2021-01-13,0.30142856
2021-01-14,-0.3185714
2021-01-15,-1.4028571
2021-01-16,-1.6114285
2021-01-17,-5.325714
2021-01-18,-8.248571
2021-01-19,-1.6142857
2021-01-20,3.23
2021-01-21,6.7085714
2021-01-22,6.532857
2021-01-23,1.9185715
2021-01-24,1.0257143
2021-01-25,0.4685714
2021-01-26,0.87571424
2021-01-27,1.3314286
2021-01-28,0.6914286
2021-01-29,-0.17999999
2021-01-30,-1.0642856
2021-01-31,-1.822857
2021-02-01,-2.7028573
2021-02-02,-1.79
2021-02-03,0.6671428
2021-02-04,0.39000005
2021-02-05,-3.5457141
2021-02-06,-4.8085713
2021-02-07,-7.247143
2021-02-08,-8.358572
2021-02-09,-6.797143
2021-02-10,-7.251428
2021-02-11,-5.65
2021-02-12,-5.847142
2021-02-13,-0.8142857
2021-02-14,-0.7214285
2021-02-15,-4.6314282
2021-02-16,-2.802857
2021-02-17,0.7128571
2021-02-18,1.1328572
2021-02-19,2.2428572
2021-02-20,4.262857
2021-02-21,6.75
2021-02-22,6.8657146
2021-02-23,7.6914277
2021-02-24,10.958571
2021-02-25,10.727142
2021-02-26,7.812857
2021-02-27,4.1857142
2021-02-28,3.3414283
2021-03-01,3.6157146
2021-03-02,2.5400002
2021-03-03,4.0971427
2021-03-04,2.9771428
2021-03-05,0.2842857
2021-03-06,0.5557143
2021-03-07,2.1628573
2021-03-08,-0.5857143
2021-03-09,-1.25
2021-03-10,-0.0014285722
2021-03-11,1.7928572
2021-03-12,6.142857
2021-03-13,5.7871428
2021-03-14,4.02
2021-03-15,4.622857
2021-03-16,3.8514285
2021-03-17,2.6971428
2021-03-18,1.9800001
2021-03-19,0.28857142
2021-03-20,0.0757143
2021-03-21,3.465714
2021-03-22,2.9414287
2021-03-23,4.8814282
2021-03-24,6.2900004
2021-03-25,6.3085713
2021-03-26,7.721429
2021-03-27,8.857142
2021-03-28,6.5342855
2021-03-29,9.521428
2021-03-30,13.987143
2021-03-31,12.118571
2021-04-01,9.009999
2021-04-02,4.195714
2021-04-03,3.6957145
2021-04-04,4.115714
2021-04-05,2.9599998
2021-04-06,2.8714287
2021-04-07,2.9842856
2021-04-08,4.39
2021-04-09,6.5642858
2021-04-10,6.292857
2021-04-11,10.365714
2021-04-12,9.428572
2021-04-13,4.052857
2021-04-14,4.202857
2021-04-15,4.0985713
2021-04-16,5.0114284
2021-04-17,7.201428
2021-04-18,7.1142855
2021-04-19,8.654286
2021-04-20,7.8271422
2021-04-21,8.559999
2021-04-22,6.357143
2021-04-23,6.392857
2021-04-24,5.725714
2021-04-25,4.23
2021-04-26,3.062857
2021-04-27,4.6214285
2021-04-28,8.015715
