time,FRI21
2021-01-01,-1.1433333
2021-01-02,0.19888887
2021-01-03,1.1844444
2021-01-04,1.6544443
2021-01-05,1.2155555
2021-01-06,0.77
2021-01-07,0.4288889
2021-01-08,0.8999999
2021-01-09,0.23222221
2021-01-10,-0.06777779
2021-01-11,-1.8844444
2021-01-12,-0.35333335
2021-01-13,0.79999995
2021-01-14,-0.19333333
2021-01-15,-1.2833333
2021-01-16,-3.6588888
2021-01-17,-7.21
2021-01-18,-8.916667
2021-01-19,-0.26777777
2021-01-20,4.408889
2021-01-21,4.787778
2021-01-22,7.3588886
2021-01-23,4.16
2021-01-24,1.0188888
2021-01-25,0.6755555
2021-01-26,0.15333334
2021-01-27,0.5444444
2021-01-28,0.023333333
2021-01-29,-1.4477777
2021-01-30,-1.8022221
2021-01-31,-6.1299996
2021-02-01,-7.401111
2021-02-02,-0.105555564
2021-02-03,5.543333
2021-02-04,3.8477774
2021-02-05,0.43888888
2021-02-06,-1.4255557
2021-02-07,-6.1099997
2021-02-08,-8.793333
2021-02-09,-9.030001
2021-02-10,-8.741111
2021-02-11,-8.876667
2021-02-12,-10.049999
2021-02-13,-5.884444
2021-02-14,-5.0655556
2021-02-15,-6.934445
2021-02-16,-1.4533334
2021-02-17,2.6288888
2021-02-18,4.2788887
2021-02-19,4.6099997
2021-02-20,3.612222
2021-02-21,4.833333
2021-02-22,3.9711108
2021-02-23,6.642222
2021-02-24,9.591111
2021-02-25,9.703335
2021-02-26,6.972222
2021-02-27,5.252222
2021-02-28,4.478889
2021-03-01,3.7133331
2021-03-02,4.44
2021-03-03,5.8222218
2021-03-04,5.4211116
2021-03-05,0.8522222
2021-03-06,0.23555554
2021-03-07,2.0666666
2021-03-08,0.84111106
2021-03-09,-1.1055555
2021-03-10,0.025555559
2021-03-11,2.4488888
2021-03-12,6.331111
2021-03-13,6.1722226
2021-03-14,4.8822217
2021-03-15,3.9433336
2021-03-16,3.008889
2021-03-17,3.246667
2021-03-18,0.8977778
2021-03-19,0.50666666
2021-03-20,-2.901111
2021-03-21,1.9244444
2021-03-22,2.6233332
2021-03-23,4.142222
2021-03-24,6.004444
2021-03-25,7.181111
2021-03-26,9.586666
2021-03-27,8.362223
2021-03-28,5.5877776
2021-03-29,10.549999
2021-03-30,14.118889
2021-03-31,13.355556
2021-04-01,12.594444
2021-04-02,7.278889
2021-04-03,5.158889
2021-04-04,3.9733331
2021-04-05,4.8566666
2021-04-06,2.1966667
2021-04-07,2.5055554
2021-04-08,3.7355554
2021-04-09,6.2544446
2021-04-10,6.621111
2021-04-11,10.984445
2021-04-12,7.1033325
2021-04-13,4.967778
2021-04-14,4.431111
2021-04-15,2.9122221
2021-04-16,3.6722221
2021-04-17,5.6533337
2021-04-18,7.848888
2021-04-19,9.761111
2021-04-20,10.166667
2021-04-21,10.257778
2021-04-22,8.082223
2021-04-23,6.5633335
2021-04-24,7.415556
2021-04-25,6.052222
2021-04-26,4.0699997
2021-04-27,4.6222215
2021-04-28,9.502223
2021-04-29,12.280001
2021-04-30,10.655555
2021-05-01,8.161111
2021-05-02,7.9644446
2021-05-03,7.0244436
2021-05-04,9.382222
2021-05-05,10.65
2021-05-06,7.9722223
2021-05-07,7.0711107
2021-05-08,7.835555
2021-05-09,15.018888
2021-05-10,18.40889
2021-05-11,22.086666
2021-05-12,19.02111
2021-05-13,15.111111
2021-05-14,12.253333
2021-05-15,12.446667
2021-05-16,13.737778
2021-05-17,12.675556
2021-05-18,12.832222
2021-05-19,11.921111
2021-05-20,11.549999
2021-05-21,13.214443
2021-05-22,13.63
2021-05-23,12.051112
2021-05-24,12.578889
2021-05-25,13.1866665
2021-05-26,11.98
2021-05-27,11.867778
2021-05-28,11.588888
2021-05-29,11.07889
2021-05-30,11.841111
2021-05-31,12.856666
2021-06-01,14.007777
2021-06-02,16.925558
2021-06-03,16.705555
2021-06-04,17.501108
2021-06-05,19.463333
2021-06-06,18.706667
2021-06-07,19.42
2021-06-08,19.582222
2021-06-09,19.086666
2021-06-10,18.48111
2021-06-11,19.27111
2021-06-12,19.082222
2021-06-13,13.212223
2021-06-14,15.745555
2021-06-15,19.24
2021-06-16,20.645555
2021-06-17,23.336666
2021-06-18,24.822224
2021-06-19,25.676666
2021-06-20,26.746666
2021-06-21,26.05111
2021-06-22,20.765554
2021-06-23,19.093332
2021-06-24,19.099998
2021-06-25,17.113333
2021-06-26,18.255556
2021-06-27,19.437778
2021-06-28,21.028889
2021-06-29,21.722221
2021-06-30,20.865553
2021-07-01,18.41
2021-07-02,17.502222
2021-07-03,18.835556
2021-07-04,19.55111
2021-07-05,19.136667
2021-07-06,21.578888
2021-07-07,21.066666
2021-07-08,18.67
2021-07-09,20.188889
2021-07-10,19.447777
2021-07-11,20.117777
2021-07-12,20.448889
2021-07-13,23.024445
2021-07-14,22.854445
2021-07-15,21.59
2021-07-16,22.788889
2021-07-17,23.019999
2021-07-18,22.651112
2021-07-19,19.132223
2021-07-20,17.17222
2021-07-21,17.326666
2021-07-22,18.896666
2021-07-23,20.02111
2021-07-24,21.147778
2021-07-25,21.633333
2021-07-26,22.27
2021-07-27,22.356667
2021-07-28,22.207777
2021-07-29,20.46889
2021-07-30,19.807777
2021-07-31,21.303335
2021-08-01,17.233332
2021-08-02,17.717777
2021-08-03,17.05
2021-08-04,17.32
2021-08-05,16.59
2021-08-06,18.349998
