time,FRJ28
2021-01-01,-0.56777775
2021-01-02,0.98222214
2021-01-03,2.1744444
2021-01-04,2.1988888
2021-01-05,2.0522223
2021-01-06,0.9844444
2021-01-07,0.05888888
2021-01-08,-0.098888904
2021-01-09,-1.231111
2021-01-10,-1.2777778
2021-01-11,-3.5833333
2021-01-12,-3.3522222
2021-01-13,-0.5822222
2021-01-14,-1.4066665
2021-01-15,-3.5311112
2021-01-16,-6.353333
2021-01-17,-9.203335
2021-01-18,-11.694445
2021-01-19,-5.958889
2021-01-20,2.25
2021-01-21,1.1966666
2021-01-22,3.4633331
2021-01-23,5.0855556
2021-01-24,3.1377778
2021-01-25,-0.14888889
2021-01-26,-0.9866667
2021-01-27,-2.2455554
2021-01-28,-3.2577777
2021-01-29,-0.8266666
2021-01-30,-0.47555554
2021-01-31,-5.912222
2021-02-01,-8.805554
2021-02-02,-2.88
2021-02-03,3.99
2021-02-04,4.5055556
2021-02-05,-0.09222223
2021-02-06,-2.1533334
2021-02-07,-5.711111
2021-02-08,-6.875555
2021-02-09,-6.675555
2021-02-10,-4.6144443
2021-02-11,-7.618889
2021-02-12,-11.117778
2021-02-13,-8.414444
2021-02-14,-4.493334
2021-02-15,-5.5888886
2021-02-16,-7.0844445
2021-02-17,-0.50555557
2021-02-18,1.1066666
2021-02-19,0.08888888
2021-02-20,3.6677775
2021-02-21,2.9355555
2021-02-22,4.493333
2021-02-23,3.9588885
2021-02-24,8.314445
2021-02-25,9.171111
2021-02-26,8.783334
2021-02-27,5.7755556
2021-02-28,3.7077777
2021-03-01,3.5877779
2021-03-02,4.9166665
2021-03-03,6.504444
2021-03-04,5.7455554
2021-03-05,2.3866665
2021-03-06,-0.8677777
2021-03-07,0.9188888
2021-03-08,-0.17333333
2021-03-09,-2.9233332
2021-03-10,-2.401111
2021-03-11,-1.8144444
2021-03-12,4.8011107
2021-03-13,4.392222
2021-03-14,7.107778
2021-03-15,3.031111
2021-03-16,1.5633334
2021-03-17,3.3055556
2021-03-18,1.4833332
2021-03-19,-1.6022222
2021-03-20,-2.4433331
2021-03-21,-3.5322223
2021-03-22,1.1511111
2021-03-23,2.5844445
2021-03-24,5.0
2021-03-25,5.2955556
2021-03-26,6.197778
2021-03-27,9.549999
2021-03-28,5.6344438
2021-03-29,6.0611115
2021-03-30,11.383332
2021-03-31,13.255554
2021-04-01,13.627777
2021-04-02,8.673333
2021-04-03,3.4277775
2021-04-04,2.8277776
2021-04-05,4.9199996
2021-04-06,4.72
2021-04-07,0.48999998
2021-04-08,0.99222225
2021-04-09,3.993333
2021-04-10,10.023334
2021-04-11,9.826667
2021-04-12,10.642223
2021-04-13,4.4366665
2021-04-14,1.7466666
2021-04-15,1.9399999
2021-04-16,2.2388887
2021-04-17,3.663333
2021-04-18,6.2711105
2021-04-19,7.201111
2021-04-20,8.38
2021-04-21,9.628888
2021-04-22,7.8599997
2021-04-23,4.132222
2021-04-24,6.794444
2021-04-25,6.0622225
2021-04-26,3.0355556
2021-04-27,4.351111
2021-04-28,7.6922226
2021-04-29,10.685555
2021-04-30,13.511111
2021-05-01,10.427777
2021-05-02,11.004444
2021-05-03,7.523333
2021-05-04,8.794445
2021-05-05,13.676666
2021-05-06,7.744444
2021-05-07,10.421111
2021-05-08,7.846667
2021-05-09,10.95
2021-05-10,16.96889
2021-05-11,18.606667
2021-05-12,18.608889
2021-05-13,16.726665
2021-05-14,13.847777
2021-05-15,14.069999
2021-05-16,12.91
2021-05-17,11.741111
2021-05-18,11.78
2021-05-19,11.49
2021-05-20,12.222223
2021-05-21,12.018888
2021-05-22,12.42111
