time,FRK24
2021-01-01,9.309999
2021-01-02,10.322
2021-01-03,9.895999
2021-01-04,5.976
2021-01-05,4.5439997
2021-01-06,7.2399993
2021-01-07,7.172
2021-01-08,8.504
2021-01-09,7.6979995
2021-01-10,7.12
2021-01-11,6.6800003
2021-01-12,6.23
2021-01-13,5.7419996
2021-01-14,4.868
2021-01-15,5.562
2021-01-16,3.3019996
2021-01-17,1.636
2021-01-18,2.862
2021-01-19,3.884
2021-01-20,7.6659994
2021-01-21,12.898
2021-01-22,13.934
2021-01-23,10.224
2021-01-24,9.339999
2021-01-25,7.1980004
2021-01-26,4.886
2021-01-27,3.836
2021-01-28,6.0899997
2021-01-29,9.441999
2021-01-30,10.846
2021-01-31,9.076
2021-02-01,7.914
2021-02-02,10.981999
2021-02-03,13.639999
2021-02-04,12.33
2021-02-05,13.186
2021-02-06,12.912
2021-02-07,13.241999
2021-02-08,9.452
2021-02-09,9.092
2021-02-10,8.726
2021-02-11,11.634
2021-02-12,4.1419997
2021-02-13,1.39
2021-02-14,-0.70399994
2021-02-15,0.61800003
2021-02-16,2.3600001
2021-02-17,5.568
2021-02-18,7.4040003
2021-02-19,8.573999
2021-02-20,10.2039995
2021-02-21,10.921999
2021-02-22,11.818
2021-02-23,10.811999
2021-02-24,13.472
2021-02-25,13.962
2021-02-26,12.066
2021-02-27,9.145999
2021-02-28,8.33
2021-03-01,7.246
2021-03-02,8.796
2021-03-03,11.864
2021-03-04,8.79
2021-03-05,7.002
2021-03-06,4.7959995
2021-03-07,4.438
2021-03-08,7.544
2021-03-09,7.003999
2021-03-10,7.2
2021-03-11,7.146
2021-03-12,9.416
2021-03-13,11.364
2021-03-14,8.266
2021-03-15,7.181999
2021-03-16,6.6839995
2021-03-17,5.176
2021-03-18,4.302
2021-03-19,3.5239997
2021-03-20,4.556
2021-03-21,5.9579997
2021-03-22,5.118
2021-03-23,4.704
2021-03-24,6.764
2021-03-25,8.426
2021-03-26,9.384
2021-03-27,10.292
2021-03-28,11.5
2021-03-29,11.645999
2021-03-30,12.707999
2021-03-31,14.416
2021-04-01,17.706
2021-04-02,13.37
2021-04-03,12.707999
2021-04-04,8.889999
2021-04-05,7.882
2021-04-06,6.238
2021-04-07,5.1299996
2021-04-08,5.766
2021-04-09,7.4679995
2021-04-10,7.8440003
2021-04-11,10.693999
2021-04-12,11.836
2021-04-13,7.746
2021-04-14,6.544
2021-04-15,7.9639997
2021-04-16,8.694
2021-04-17,8.094
2021-04-18,8.586
2021-04-19,7.4059997
2021-04-20,8.59
2021-04-21,11.837999
2021-04-22,9.936
2021-04-23,11.292
2021-04-24,11.89
2021-04-25,12.304
2021-04-26,12.6
2021-04-27,12.9279995
2021-04-28,13.348
2021-04-29,16.25
2021-04-30,17.544
2021-05-01,17.273998
2021-05-02,16.053999
2021-05-03,11.99
2021-05-04,13.032
2021-05-05,13.617999
2021-05-06,14.294001
2021-05-07,14.941999
2021-05-08,13.476
2021-05-09,16.128
2021-05-10,15.979999
2021-05-11,16.592
2021-05-12,14.974001
2021-05-13,13.286
2021-05-14,12.867999
2021-05-15,12.839999
2021-05-16,15.1779995
2021-05-17,15.929998
2021-05-18,14.556
2021-05-19,13.472
2021-05-20,13.297999
2021-05-21,14.283999
2021-05-22,14.705999
2021-05-23,18.06
2021-05-24,19.28
2021-05-25,17.611998
2021-05-26,16.564001
2021-05-27,16.439999
2021-05-28,14.976
2021-05-29,15.831999
2021-05-30,14.31
2021-05-31,14.914
2021-06-01,13.997999
2021-06-02,17.216
2021-06-03,17.88
2021-06-04,18.318
2021-06-05,18.995998
2021-06-06,19.102
2021-06-07,16.8
2021-06-08,17.723999
2021-06-09,18.11
2021-06-10,18.758001
2021-06-11,18.852
2021-06-12,19.564
2021-06-13,18.407999
2021-06-14,18.822
2021-06-15,19.942
2021-06-16,19.55
2021-06-17,20.138
2021-06-18,20.98
2021-06-19,22.604
2021-06-20,23.64
2021-06-21,25.217999
2021-06-22,24.992
2021-06-23,25.44
2021-06-24,25.76
2021-06-25,24.085999
2021-06-26,23.133999
2021-06-27,23.508
2021-06-28,24.832
2021-06-29,25.085999
2021-06-30,23.792
2021-07-01,22.069998
2021-07-02,21.596
2021-07-03,22.194
2021-07-04,21.406
2021-07-05,20.987999
2021-07-06,22.31
2021-07-07,25.166
2021-07-08,26.52
2021-07-09,25.092
2021-07-10,22.824
2021-07-11,22.796
2021-07-12,22.876001
2021-07-13,23.974
2021-07-14,22.852
2021-07-15,22.927998
2021-07-16,19.641998
2021-07-17,18.654
2021-07-18,20.154001
2021-07-19,20.854
2021-07-20,21.644001
2021-07-21,22.112
2021-07-22,22.581999
2021-07-23,22.741999
2021-07-24,23.569998
2021-07-25,26.372
2021-07-26,27.378
2021-07-27,26.347998
2021-07-28,26.939999
2021-07-29,26.226002
2021-07-30,26.212
2021-07-31,26.768
2021-08-01,28.289999
2021-08-02,24.516
2021-08-03,24.095999
2021-08-04,26.661999
2021-08-05,23.802
2021-08-06,23.362
2021-08-07,24.754
2021-08-08,26.594
2021-08-09,27.194
2021-08-10,26.825998
2021-08-11,27.281998
2021-08-12,26.915997
2021-08-13,26.051998
2021-08-14,26.15
2021-08-15,26.394001
2021-08-16,26.756
2021-08-17,23.583998
2021-08-18,22.277998
2021-08-19,22.206
2021-08-20,22.264002
2021-08-21,23.518
2021-08-22,24.463999
2021-08-23,21.661999
2021-08-24,21.286
2021-08-25,20.464
2021-08-26,22.98
2021-08-27,20.845999
2021-08-28,19.172
2021-08-29,18.186
2021-08-30,19.105999
2021-08-31,19.369999
2021-09-01,20.144001
2021-09-02,21.564
2021-09-03,21.509998
2021-09-04,20.331999
2021-09-05,21.442
2021-09-06,21.499998
2021-09-07,21.803997
2021-09-08,19.814
2021-09-09,20.987999
2021-09-10,22.202
2021-09-11,21.502
2021-09-12,20.486
2021-09-13,20.854
2021-09-14,21.491999
2021-09-15,24.15
2021-09-16,21.262
2021-09-17,20.712
2021-09-18,21.539999
2021-09-19,21.23
2021-09-20,20.408
2021-09-21,17.391998
2021-09-22,16.501999
2021-09-23,17.366
2021-09-24,17.929998
2021-09-25,19.719997
2021-09-26,19.575998
2021-09-27,20.826
2021-09-28,20.067999
2021-09-29,20.9
2021-09-30,19.305998
2021-10-01,19.326
2021-10-02,19.046001
2021-10-03,20.446
2021-10-04,20.605999
2021-10-05,19.688
2021-10-06,18.854
2021-10-07,16.289999
2021-10-08,14.122
2021-10-09,13.325999
2021-10-10,14.014
2021-10-11,13.122
2021-10-12,12.926
2021-10-13,12.835999
2021-10-14,11.21
2021-10-15,12.492
2021-10-16,12.05
2021-10-17,14.874001
2021-10-18,15.487999
2021-10-19,15.022
2021-10-20,14.001999
2021-10-21,15.95
2021-10-22,17.376
2021-10-23,17.26
2021-10-24,16.578
2021-10-25,15.957998
2021-10-26,15.690001
2021-10-27,15.306
2021-10-28,15.073999
2021-10-29,15.357999
2021-10-30,15.507998
2021-10-31,16.869999
2021-11-01,15.6779995
2021-11-02,17.616
2021-11-03,17.806
2021-11-04,17.801998
2021-11-05,15.339999
2021-11-06,15.424001
2021-11-07,17.752
2021-11-08,15.016001
2021-11-09,15.219999
2021-11-10,16.282
