time,FRL02
2021-01-01,6.6659994
2021-01-02,2.5119998
2021-01-03,5.1229997
2021-01-04,7.697
2021-01-05,5.572
2021-01-06,3.6360002
2021-01-07,5.832
2021-01-08,2.7009997
2021-01-09,1.636
2021-01-10,0.318
2021-01-11,-0.89699996
2021-01-12,0.17100002
2021-01-13,0.197
2021-01-14,-0.516
2021-01-15,-3.227
2021-01-16,-5.7699995
2021-01-17,-10.026
2021-01-18,-7.4549994
2021-01-19,-11.698
2021-01-20,-4.6239996
2021-01-21,0.53400004
2021-01-22,2.4269998
2021-01-23,3.743
2021-01-24,6.7839994
2021-01-25,5.479
2021-01-26,2.0309997
2021-01-27,0.722
2021-01-28,0.10999999
2021-01-29,0.19599998
2021-01-30,3.089
2021-01-31,2.539
2021-02-01,-1.0459999
2021-02-02,-0.259
2021-02-03,2.2059999
2021-02-04,7.7669997
2021-02-05,4.814
2021-02-06,1.214
2021-02-07,-2.635
2021-02-08,-0.92999995
2021-02-09,4.716
2021-02-10,5.168
2021-02-11,3.051
2021-02-12,-4.845
2021-02-13,-7.1789994
2021-02-14,-3.69
2021-02-15,-2.291
2021-02-16,-6.2699995
2021-02-17,-6.052
2021-02-18,-1.6969999
2021-02-19,-6.318
2021-02-20,-1.875
2021-02-21,1.773
2021-02-22,1.532
2021-02-23,4.0829997
2021-02-24,2.4959998
2021-02-25,7.285
2021-02-26,8.875999
2021-02-27,6.338
2021-02-28,5.568
2021-03-01,3.2020001
2021-03-02,5.7039995
2021-03-03,6.7369995
2021-03-04,6.7299995
2021-03-05,7.6839995
2021-03-06,3.6449997
2021-03-07,0.87399995
2021-03-08,2.1759999
2021-03-09,0.866
2021-03-10,1.2190001
2021-03-11,-0.62200004
2021-03-12,1.25
2021-03-13,3.7870002
2021-03-14,5.526
2021-03-15,6.728999
2021-03-16,4.771
2021-03-17,3.6220002
2021-03-18,3.4019997
2021-03-19,2.704
2021-03-20,2.699
2021-03-21,2.449
2021-03-22,2.8799999
2021-03-23,2.641
2021-03-24,0.19000001
2021-03-25,3.0129998
2021-03-26,5.641
2021-03-27,6.903
2021-03-28,8.805
2021-03-29,7.278
2021-03-30,6.75
2021-03-31,6.9660006
2021-04-01,11.155
2021-04-02,10.45
2021-04-03,6.977
2021-04-04,6.9509993
2021-04-05,6.058
2021-04-06,8.782
2021-04-07,4.8659997
2021-04-08,3.9379997
2021-04-09,4.713
2021-04-10,6.475
2021-04-11,8.243
2021-04-12,10.236
2021-04-13,12.269
2021-04-14,9.893
2021-04-15,6.8389997
2021-04-16,7.04
2021-04-17,6.7300005
2021-04-18,8.768
2021-04-19,9.272
2021-04-20,10.421999
2021-04-21,10.889999
2021-04-22,11.594999
2021-04-23,10.827001
2021-04-24,8.297
2021-04-25,10.469999
2021-04-26,8.38
2021-04-27,6.7479997
2021-04-28,5.7979994
2021-04-29,11.002
2021-04-30,15.469
2021-05-01,16.954998
2021-05-02,20.957
2021-05-03,17.298
2021-05-04,11.745999
2021-05-05,16.411999
