time,FRY20
2021-01-01,0.8385
2021-01-02,3.28275
2021-01-03,1.004
2021-01-04,1.8025
2021-01-05,-2.40325
2021-01-06,-5.6699996
2021-01-07,-2.5475
2021-01-08,-4.9544997
2021-01-09,-2.56125
2021-01-10,-0.36624998
2021-01-11,1.0487499
2021-01-12,3.1854997
2021-01-13,-0.01800003
2021-01-14,0.13349995
2021-01-15,-4.0309997
2021-01-16,-12.031751
2021-01-17,-2.7315
2021-01-18,-6.1670003
2021-01-19,-6.0602503
2021-01-20,-3.618
2021-01-21,-1.5002499
2021-01-22,-6.1095
2021-01-23,-9.536
2021-01-24,-3.7324996
2021-01-25,-3.1317499
2021-01-26,-6.7869997
2021-01-27,-2.0467498
2021-01-28,0.7552499
2021-01-29,1.23725
2021-01-30,-1.7032499
2021-01-31,-0.627
2021-02-01,4.6355
2021-02-02,6.0777497
2021-02-03,4.6829996
2021-02-04,3.9822497
2021-02-05,0.633
2021-02-06,4.86425
2021-02-07,7.428
2021-02-08,1.55025
2021-02-09,5.55425
2021-02-10,2.60725
2021-02-11,2.6345
2021-02-12,-4.5115
2021-02-13,-13.565
2021-02-14,-12.44325
2021-02-15,-6.7725
2021-02-16,-2.7337499
2021-02-17,-1.2092499
2021-02-18,-6.1075
2021-02-19,-4.98475
2021-02-20,-8.6795
2021-02-21,-3.43675
2021-02-22,-4.22775
2021-02-23,9.040998
2021-02-24,5.4377494
2021-02-25,-0.17475
2021-02-26,3.01825
2021-02-27,-4.5525002
2021-02-28,-3.8434997
2021-03-01,-0.086500004
2021-03-02,1.9337499
2021-03-03,-0.9772499
2021-03-04,1.68825
2021-03-05,-1.161
2021-03-06,-4.1839995
2021-03-07,2.8507502
2021-03-08,0.13449998
2021-03-09,-2.4715
2021-03-10,-3.7004998
2021-03-11,-2.98575
2021-03-12,-7.3005
2021-03-13,-8.42675
2021-03-14,-5.4542494
2021-03-15,-3.5352502
2021-03-16,-3.3337502
2021-03-17,2.59475
2021-03-18,-1.981
2021-03-19,-4.27025
2021-03-20,-7.5104995
2021-03-21,-3.2072499
2021-03-22,-4.19625
2021-03-23,-8.91
2021-03-24,-6.106
2021-03-25,-5.4562497
2021-03-26,-2.9929998
2021-03-27,-3.8152497
2021-03-28,-8.36675
2021-03-29,-4.2302504
2021-03-30,-3.4765
2021-03-31,-0.7165
2021-04-01,0.86625004
2021-04-02,-0.29399997
2021-04-03,-1.65525
2021-04-04,-2.777
2021-04-05,4.0439997
2021-04-06,0.805
2021-04-07,1.4719999
2021-04-08,2.6915
2021-04-09,1.8139999
2021-04-10,-1.20125
2021-04-11,0.23975006
2021-04-12,5.58425
2021-04-13,-1.4914999
2021-04-14,-1.03225
2021-04-15,2.4535
2021-04-16,6.3785
2021-04-17,9.460249
2021-04-18,8.199249
2021-04-19,9.242999
2021-04-20,5.97125
2021-04-21,6.9005
2021-04-22,3.2714996
2021-04-23,2.427
2021-04-24,4.95925
2021-04-25,8.386999
2021-04-26,9.452
2021-04-27,2.74175
2021-04-28,9.3025
2021-04-29,11.470749
2021-04-30,7.82725
2021-05-01,11.255249
2021-05-02,8.68175
2021-05-03,11.773748
2021-05-04,10.7305
2021-05-05,4.51575
2021-05-06,6.4285
2021-05-07,7.9027495
2021-05-08,7.0454993
2021-05-09,12.53875
2021-05-10,7.6155
2021-05-11,10.275999
2021-05-12,9.322749
2021-05-13,11.775
2021-05-14,10.810249
2021-05-15,10.809999
2021-05-16,10.813499
2021-05-17,9.43725
2021-05-18,8.348249
2021-05-19,7.6879997
2021-05-20,8.5565
2021-05-21,13.952499
2021-05-22,13.294751
2021-05-23,9.252749
2021-05-24,12.78275
2021-05-25,11.1345
2021-05-26,8.355249
2021-05-27,11.160749
2021-05-28,7.6497498
2021-05-29,8.69175
2021-05-30,3.2494998
2021-05-31,7.333
2021-06-01,9.32325
2021-06-02,13.456999
2021-06-03,12.988251
2021-06-04,16.08825
2021-06-05,10.656749
2021-06-06,8.79675
2021-06-07,5.1169996
2021-06-08,9.15925
2021-06-09,12.3395
2021-06-10,11.535001
2021-06-11,11.799749
2021-06-12,11.348249
2021-06-13,7.4122496
2021-06-14,15.1145
2021-06-15,16.91
2021-06-16,15.42
2021-06-17,13.80025
2021-06-18,18.234999
2021-06-19,19.583248
2021-06-20,23.8065
2021-06-21,20.82175
2021-06-22,20.241
2021-06-23,16.25075
2021-06-24,14.569
2021-06-25,12.653749
2021-06-26,11.95525
2021-06-27,15.619249
2021-06-28,14.24825
2021-06-29,16.33725
2021-06-30,14.5955
2021-07-01,17.39975
2021-07-02,16.994251
2021-07-03,18.51125
2021-07-04,20.278
2021-07-05,17.44175
2021-07-06,19.101248
2021-07-07,21.400751
2021-07-08,21.051748
2021-07-09,16.42625
2021-07-10,17.550999
2021-07-11,16.87925
2021-07-12,21.04825
2021-07-13,22.139
2021-07-14,17.5795
2021-07-15,19.268
2021-07-16,15.316
2021-07-17,17.071499
2021-07-18,21.171
2021-07-19,17.409
2021-07-20,19.620998
2021-07-21,17.841501
2021-07-22,12.1119995
2021-07-23,10.74825
2021-07-24,15.2335
2021-07-25,15.513499
2021-07-26,22.8525
2021-07-27,23.6
2021-07-28,18.757252
2021-07-29,13.75625
2021-07-30,15.606
2021-07-31,18.929249
2021-08-01,17.8285
2021-08-02,17.758251
2021-08-03,17.119999
2021-08-04,17.07225
2021-08-05,19.23075
2021-08-06,21.02525
2021-08-07,25.945248
2021-08-08,22.387
2021-08-09,20.5515
2021-08-10,16.9855
2021-08-11,15.414499
2021-08-12,17.39175
2021-08-13,18.451748
2021-08-14,15.797499
2021-08-15,17.00075
2021-08-16,18.120499
2021-08-17,15.182001
2021-08-18,15.69325
2021-08-19,16.2875
2021-08-20,17.4275
2021-08-21,17.195248
2021-08-22,18.28075
