time,HR032
2021-01-01,1.1279999
2021-01-02,2.7979999
2021-01-03,1.234
2021-01-04,0.714
2021-01-05,-1.1120001
2021-01-06,-3.334
2021-01-07,-2.4259999
2021-01-08,-3.148
2021-01-09,0.8659999
2021-01-10,3.4499996
2021-01-11,2.282
2021-01-12,2.95
2021-01-13,2.4099998
2021-01-14,3.1439998
2021-01-15,-0.51199996
2021-01-16,-7.8380003
2021-01-17,1.032
2021-01-18,-2.1299999
2021-01-19,-4.5839996
2021-01-20,-2.438
2021-01-21,-0.22999997
2021-01-22,-5.9919996
2021-01-23,-8.55
2021-01-24,-4.764
2021-01-25,-3.2839997
2021-01-26,-2.642
2021-01-27,0.12400005
2021-01-28,3.5119998
2021-01-29,1.8519999
2021-01-30,1.148
2021-01-31,0.26599997
2021-02-01,7.254
2021-02-02,8.07
2021-02-03,7.9619994
2021-02-04,6.13
2021-02-05,4.4
2021-02-06,6.922
2021-02-07,6.9899993
2021-02-08,5.5619993
2021-02-09,7.5959997
2021-02-10,5.818
2021-02-11,4.926
2021-02-12,0.5719999
2021-02-13,-6.8599997
2021-02-14,-5.2
2021-02-15,-0.99799997
2021-02-16,2.5879998
2021-02-17,1.516
2021-02-18,-4.822
2021-02-19,-0.846
2021-02-20,-3.038
2021-02-21,-1.432
2021-02-22,-2.708
2021-02-23,8.23
2021-02-24,6.7599998
2021-02-25,-0.03400001
2021-02-26,1.446
2021-02-27,-2.166
2021-02-28,-1.2179999
2021-03-01,1.7259998
2021-03-02,2.44
2021-03-03,0.61
2021-03-04,2.142
2021-03-05,0.17000003
2021-03-06,0.09999998
2021-03-07,5.582
2021-03-08,0.14399998
2021-03-09,-0.65999997
2021-03-10,1.226
2021-03-11,2.1739998
2021-03-12,-2.914
2021-03-13,-3.706
2021-03-14,-0.656
2021-03-15,-0.89
2021-03-16,0.9620001
2021-03-17,6.9799995
2021-03-18,3.6399999
2021-03-19,-0.316
2021-03-20,-3.5760002
2021-03-21,-0.17999998
2021-03-22,0.44800004
2021-03-23,-1.7779999
2021-03-24,0.178
2021-03-25,-1.338
2021-03-26,-0.14799997
2021-03-27,-2.35
2021-03-28,-3.6599998
2021-03-29,-0.532
2021-03-30,1.0139999
2021-03-31,3.1399999
2021-04-01,5.104
2021-04-02,2.426
