time,ITC4D
2021-01-01,6.7725
2021-01-02,7.83
2021-01-03,5.645
2021-01-04,5.2225003
2021-01-05,3.7025
2021-01-06,1.0649999
2021-01-07,2.0125
2021-01-08,1.3625
2021-01-09,4.95
2021-01-10,5.1275
2021-01-11,4.41
2021-01-12,5.87
2021-01-13,7.5649996
2021-01-14,7.3425
2021-01-15,4.7149997
2021-01-16,-1.3199999
2021-01-17,5.295
2021-01-18,4.35
2021-01-19,0.17999998
2021-01-20,0.03500001
2021-01-21,3.4275
2021-01-22,0.36999995
2021-01-23,-2.4
2021-01-24,1.3774998
2021-01-25,2.2975
2021-01-26,2.5775
2021-01-27,5.2349997
2021-01-28,6.7725
2021-01-29,5.4825
2021-01-30,5.685
2021-01-31,5.2324996
2021-02-01,9.124999
2021-02-02,9.6775
2021-02-03,10.8275
2021-02-04,9.0275
2021-02-05,7.709999
2021-02-06,8.5925
2021-02-07,8.67
2021-02-08,8.612499
2021-02-09,10.407499
2021-02-10,8.884999
2021-02-11,6.3650002
2021-02-12,4.0125
2021-02-13,-1.9674999
2021-02-14,-0.10750008
2021-02-15,2.2075
2021-02-16,5.215
2021-02-17,4.2775
2021-02-18,-1.06
2021-02-19,1.5374999
2021-02-20,0.29249996
2021-02-21,2.62
2021-02-22,2.77
2021-02-23,11.699999
2021-02-24,10.01
2021-02-25,3.5874999
2021-02-26,5.9325
2021-02-27,2.8775
2021-02-28,2.2975
2021-03-01,2.905
2021-03-02,4.1724997
2021-03-03,2.4424999
2021-03-04,5.7999997
2021-03-05,4.33
2021-03-06,4.4300003
2021-03-07,7.9624996
2021-03-08,5.095
2021-03-09,3.9025
2021-03-10,5.5149994
2021-03-11,6.285
2021-03-12,1.0425001
2021-03-13,0.22750008
2021-03-14,3.0774999
2021-03-15,3.7849998
2021-03-16,5.6775
2021-03-17,9.4625
2021-03-18,6.9449997
2021-03-19,3.8274999
2021-03-20,0.71500003
2021-03-21,3.7299998
2021-03-22,5.6525
2021-03-23,3.2949998
2021-03-24,4.0874996
2021-03-25,2.52
2021-03-26,3.3075
2021-03-27,1.4975
2021-03-28,0.10500002
2021-03-29,3.1374998
2021-03-30,4.5125
2021-03-31,5.67
2021-04-01,7.1475
2021-04-02,5.2775
2021-04-03,6.5425
2021-04-04,7.2200003
2021-04-05,11.7
2021-04-06,8.5025
2021-04-07,12.11
