time,ITF61
2021-01-01,0.32
2021-01-02,-0.13
2021-01-03,1.6366667
2021-01-04,2.26
2021-01-05,2.7033331
2021-01-06,2.0433333
2021-01-07,-1.3733333
2021-01-08,-0.096666664
2021-01-09,0.14666666
2021-01-10,1.7566667
2021-01-11,5.386667
2021-01-12,5.4933333
2021-01-13,4.1
2021-01-14,6.116667
2021-01-15,1.66
2021-01-16,5.693333
2021-01-17,5.7066665
2021-01-18,5.5
2021-01-19,7.9666667
2021-01-20,7.6166663
2021-01-21,3.0033333
2021-01-22,1.6866666
2021-01-23,0.50666666
2021-01-24,-1.3633333
2021-01-25,0.093333334
2021-01-26,2.7833335
2021-01-27,6.386667
2021-01-28,6.6
2021-01-29,7.883333
2021-01-30,4.3466663
2021-01-31,0.5933333
2021-02-01,2.6299999
2021-02-02,6.043333
2021-02-03,7.4300003
2021-02-04,6.4666667
2021-02-05,5.486666
2021-02-06,3.3366663
2021-02-07,1.9899999
2021-02-08,0.59666663
2021-02-09,-0.60999995
2021-02-10,-0.68
2021-02-11,-1.86
2021-02-12,0.07333332
2021-02-13,-0.09333333
2021-02-14,4.6433334
2021-02-15,8.343333
2021-02-16,8.733333
2021-02-17,7.383333
2021-02-18,6.383333
2021-02-19,6.0699997
2021-02-20,8.94
2021-02-21,8.073333
2021-02-22,7.2099996
2021-02-23,7.3466663
2021-02-24,9.716666
2021-02-25,7.306667
2021-02-26,4.6999993
2021-02-27,5.6999993
2021-02-28,4.5333333
2021-03-01,3.6766665
2021-03-02,3.3100002
2021-03-03,3.2366667
2021-03-04,3.8933332
2021-03-05,2.7399998
2021-03-06,1.64
2021-03-07,1.56
2021-03-08,4.0933332
2021-03-09,5.77
2021-03-10,7.7533326
2021-03-11,7.3699994
2021-03-12,5.5699997
2021-03-13,4.9566665
2021-03-14,5.52
2021-03-15,8.066667
2021-03-16,8.62
2021-03-17,5.586666
2021-03-18,6.22
2021-03-19,7.646666
2021-03-20,7.58
2021-03-21,6.9233336
2021-03-22,5.66
2021-03-23,7.633333
2021-03-24,8.273334
2021-03-25,7.506666
2021-03-26,7.403333
2021-03-27,4.98
2021-03-28,8.936667
2021-03-29,10.986667
2021-03-30,10.516665
2021-03-31,10.643333
2021-04-01,8.336666
2021-04-02,5.3466663
2021-04-03,5.2766666
2021-04-04,6.0499997
2021-04-05,4.026666
2021-04-06,2.3799999
2021-04-07,2.9666665
2021-04-08,6.43
2021-04-09,4.836666
2021-04-10,2.1533334
2021-04-11,2.573333
2021-04-12,3.2633333
2021-04-13,4.9266667
2021-04-14,5.353333
2021-04-15,5.3233333
2021-04-16,4.8766665
2021-04-17,5.226667
2021-04-18,6.816667
2021-04-19,7.93
2021-04-20,8.566666
2021-04-21,9.126666
2021-04-22,6.533333
2021-04-23,8.61
2021-04-24,9.103333
2021-04-25,7.273333
2021-04-26,6.8366666
2021-04-27,7.85
2021-04-28,7.136667
2021-04-29,4.9500003
2021-04-30,5.41
2021-05-01,4.623333
2021-05-02,5.4
2021-05-03,7.4133334
2021-05-04,6.9566665
2021-05-05,4.66
2021-05-06,5.0166664
2021-05-07,5.2833333
2021-05-08,8.3
2021-05-09,10.596667
2021-05-10,10.746666
2021-05-11,8.863333
2021-05-12,8.166667
2021-05-13,9.316667
2021-05-14,9.740001
2021-05-15,9.573333
2021-05-16,9.38
2021-05-17,9.776666
2021-05-18,9.663333
2021-05-19,9.316667
2021-05-20,9.066667
2021-05-21,9.513332
2021-05-22,8.326667
2021-05-23,7.786667
2021-05-24,8.016666
2021-05-25,9.363334
2021-05-26,8.923333
2021-05-27,9.496667
2021-05-28,11.66
2021-05-29,14.073333
2021-05-30,14.206666
2021-05-31,14.23
2021-06-01,15.926666
2021-06-02,15.893333
2021-06-03,13.976666
2021-06-04,11.356667
2021-06-05,12.653333
2021-06-06,13.919999
2021-06-07,12.856667
2021-06-08,13.363334
2021-06-09,14.483333
2021-06-10,16.256666
2021-06-11,15.829999
2021-06-12,13.943334
2021-06-13,16.166666
2021-06-14,14.993333
2021-06-15,12.916667
2021-06-16,14.616666
2021-06-17,13.113332
2021-06-18,11.709999
2021-06-19,12.47
2021-06-20,13.036667
2021-06-21,12.240001
2021-06-22,11.093333
2021-06-23,11.36
2021-06-24,14.503333
2021-06-25,11.296666
2021-06-26,12.8533325
2021-06-27,14.28
2021-06-28,14.756667
2021-06-29,14.886666
2021-06-30,13.106667
2021-07-01,13.136666
2021-07-02,15.176666
2021-07-03,16.51
2021-07-04,15.773334
2021-07-05,14.136666
2021-07-06,13.299999
2021-07-07,15.123333
2021-07-08,14.63
2021-07-09,14.839999
2021-07-10,15.276666
2021-07-11,15.09
2021-07-12,15.373333
2021-07-13,15.876666
2021-07-14,15.856667
2021-07-15,16.066666
2021-07-16,17.019999
2021-07-17,19.12
2021-07-18,19.953333
2021-07-19,20.256666
