time,ITG19
2021-01-01,1.3533334
2021-01-02,1.2800001
2021-01-03,2.7133331
2021-01-04,3.04
2021-01-05,2.45
2021-01-06,2.3866665
2021-01-07,-0.79333335
2021-01-08,-0.07666666
2021-01-09,1.4833332
2021-01-10,1.9966666
2021-01-11,5.636667
2021-01-12,4.3133335
2021-01-13,1.6133333
2021-01-14,2.1966665
2021-01-15,0.28
2021-01-16,3.64
2021-01-17,5.1233335
2021-01-18,4.2866664
2021-01-19,7.7833333
2021-01-20,9.38
2021-01-21,3.783333
2021-01-22,3.2766666
2021-01-23,1.2366666
2021-01-24,-0.9966666
2021-01-25,0.83666664
2021-01-26,1.68
2021-01-27,5.266667
2021-01-28,6.31
2021-01-29,7.7233334
2021-01-30,3.0233333
2021-01-31,0.65666664
2021-02-01,3.0833333
2021-02-02,2.71
2021-02-03,6.91
2021-02-04,4.94
2021-02-05,7.1299996
2021-02-06,5.363333
2021-02-07,1.4433333
2021-02-08,-0.48999998
2021-02-09,-0.42666665
2021-02-10,-0.15666665
2021-02-11,-2.1233332
2021-02-12,-0.8633333
2021-02-13,-1.16
2021-02-14,0.94666666
2021-02-15,7.033333
2021-02-16,8.813333
2021-02-17,8.746667
2021-02-18,8.48
2021-02-19,6.513333
2021-02-20,11.063333
2021-02-21,10.24
2021-02-22,8.589999
2021-02-23,8.586667
2021-02-24,13.996666
2021-02-25,10.113334
2021-02-26,6.533333
2021-02-27,6.1766663
2021-02-28,6.133333
2021-03-01,3.4966667
2021-03-02,4.423333
2021-03-03,3.3933334
2021-03-04,5.2466664
2021-03-05,4.6499996
2021-03-06,3.5266666
2021-03-07,4.7166667
2021-03-08,5.6266665
2021-03-09,7.366667
2021-03-10,7.736666
2021-03-11,9.083333
2021-03-12,6.5166664
2021-03-13,5.986666
2021-03-14,6.77
2021-03-15,8.896667
2021-03-16,10.43
2021-03-17,8.296666
2021-03-18,8.19
2021-03-19,7.806667
2021-03-20,9.099999
2021-03-21,8.223332
2021-03-22,7.0066667
2021-03-23,7.8233333
2021-03-24,9.61
2021-03-25,9.206666
2021-03-26,9.61
2021-03-27,5.963333
2021-03-28,11.066666
2021-03-29,14.076667
2021-03-30,13.276668
2021-03-31,15.176666
2021-04-01,8.0
2021-04-02,7.22
2021-04-03,6.8933334
2021-04-04,7.786667
2021-04-05,4.3999996
2021-04-06,2.9233334
2021-04-07,2.8566666
2021-04-08,7.7533336
2021-04-09,6.5499997
2021-04-10,4.5533333
2021-04-11,3.68
2021-04-12,4.52
2021-04-13,5.5466666
2021-04-14,6.183333
2021-04-15,5.64
2021-04-16,5.523333
2021-04-17,6.4666667
2021-04-18,7.273333
2021-04-19,8.883334
2021-04-20,9.646667
2021-04-21,9.61
2021-04-22,7.0833335
2021-04-23,8.95
2021-04-24,9.423332
2021-04-25,7.136667
2021-04-26,7.6766663
