time,ITG2D
2021-01-01,1.29
2021-01-02,1.31
2021-01-03,2.53
2021-01-04,2.98
2021-01-05,2.51
2021-01-06,2.29
2021-01-07,-1.43
2021-01-08,-0.049999997
2021-01-09,1.88
2021-01-10,1.92
2021-01-11,5.33
2021-01-12,4.91
2021-01-13,2.04
2021-01-14,2.45
2021-01-15,0.28
2021-01-16,3.3999999
2021-01-17,5.3399997
2021-01-18,4.02
2021-01-19,8.25
2021-01-20,9.88
2021-01-21,3.81
2021-01-22,3.47
2021-01-23,1.01
2021-01-24,-1.26
2021-01-25,0.44
2021-01-26,1.41
2021-01-27,5.5099998
2021-01-28,7.41
2021-01-29,8.32
2021-01-30,3.24
2021-01-31,0.45999998
2021-02-01,2.8999999
2021-02-02,2.9099998
2021-02-03,7.2799997
2021-02-04,5.06
2021-02-05,7.2799997
2021-02-06,5.1099997
2021-02-07,1.0699999
2021-02-08,-0.59999996
2021-02-09,-0.32999998
2021-02-10,-0.45
2021-02-11,-1.9599999
2021-02-12,-1.18
2021-02-13,-1.41
2021-02-14,1.1899999
2021-02-15,7.35
2021-02-16,8.91
2021-02-17,8.45
2021-02-18,9.0199995
2021-02-19,6.5699997
2021-02-20,11.3
2021-02-21,10.349999
2021-02-22,8.73
2021-02-23,8.86
2021-02-24,13.559999
2021-02-25,9.96
2021-02-26,6.3199997
2021-02-27,5.7799997
2021-02-28,5.79
2021-03-01,3.04
2021-03-02,4.42
2021-03-03,4.0899997
2021-03-04,5.02
2021-03-05,4.5499997
2021-03-06,2.9199998
2021-03-07,4.47
2021-03-08,5.5699997
2021-03-09,6.72
2021-03-10,7.7799997
2021-03-11,9.29
2021-03-12,6.42
2021-03-13,6.1299996
2021-03-14,6.6099997
2021-03-15,9.03
2021-03-16,10.62
2021-03-17,8.07
2021-03-18,7.85
2021-03-19,7.62
2021-03-20,8.86
2021-03-21,8.24
2021-03-22,6.66
2021-03-23,7.8199997
2021-03-24,9.62
2021-03-25,8.99
2021-03-26,9.349999
2021-03-27,5.81
2021-03-28,10.98
2021-03-29,14.139999
