time,ITG2E
2021-01-01,0.72999996
2021-01-02,1.11
2021-01-03,2.1399999
2021-01-04,2.75
2021-01-05,2.3999999
2021-01-06,1.99
2021-01-07,-1.28
2021-01-08,-0.28
2021-01-09,1.55
2021-01-10,1.5
2021-01-11,4.99
2021-01-12,5.39
2021-01-13,2.9299998
2021-01-14,3.06
2021-01-15,0.17
2021-01-16,3.12
2021-01-17,5.17
2021-01-18,4.1
2021-01-19,8.48
2021-01-20,9.76
2021-01-21,3.98
2021-01-22,3.1899998
2021-01-23,0.69
2021-01-24,-1.37
2021-01-25,0.13
2021-01-26,2.06
2021-01-27,5.62
2021-01-28,8.03
2021-01-29,8.29
2021-01-30,3.6599998
2021-01-31,0.37
2021-02-01,2.97
2021-02-02,4.48
2021-02-03,7.68
2021-02-04,5.31
2021-02-05,7.44
2021-02-06,4.58
2021-02-07,1.02
2021-02-08,-0.65999997
2021-02-09,-0.42999998
2021-02-10,-0.56
2021-02-11,-2.1
2021-02-12,-0.82
2021-02-13,-1.39
2021-02-14,1.36
2021-02-15,7.5
2021-02-16,8.889999
2021-02-17,8.429999
2021-02-18,8.76
2021-02-19,6.3399997
2021-02-20,10.82
2021-02-21,10.309999
2021-02-22,8.599999
2021-02-23,8.87
2021-02-24,13.19
2021-02-25,9.67
2021-02-26,6.3599997
2021-02-27,5.38
2021-02-28,5.62
2021-03-01,3.1599998
2021-03-02,4.64
2021-03-03,4.52
2021-03-04,4.73
2021-03-05,4.25
2021-03-06,2.45
2021-03-07,3.6999998
2021-03-08,5.47
2021-03-09,6.43
2021-03-10,7.5499997
2021-03-11,9.55
2021-03-12,6.67
2021-03-13,6.33
2021-03-14,6.68
2021-03-15,9.32
2021-03-16,9.969999
2021-03-17,7.64
2021-03-18,7.24
2021-03-19,7.45
2021-03-20,8.63
2021-03-21,7.99
2021-03-22,6.44
2021-03-23,7.6299996
2021-03-24,9.48
2021-03-25,8.86
2021-03-26,9.16
2021-03-27,5.92
2021-03-28,10.639999
2021-03-29,13.29
2021-03-30,13.23
2021-03-31,15.57
2021-04-01,8.84
2021-04-02,7.19
2021-04-03,6.8399997
2021-04-04,7.41
2021-04-05,4.79
2021-04-06,3.33
2021-04-07,2.45
2021-04-08,7.4199996
2021-04-09,6.67
2021-04-10,4.2599998
2021-04-11,3.9299998
2021-04-12,4.44
2021-04-13,5.6
2021-04-14,6.31
2021-04-15,5.13
2021-04-16,5.1099997
2021-04-17,5.81
2021-04-18,6.8599997
2021-04-19,8.29
2021-04-20,9.98
2021-04-21,9.44
2021-04-22,6.6
2021-04-23,8.849999
2021-04-24,9.179999
2021-04-25,7.3199997
2021-04-26,7.27
2021-04-27,8.21
2021-04-28,8.26
2021-04-29,5.49
2021-04-30,6.3199997
2021-05-01,6.45
2021-05-02,7.16
2021-05-03,7.74
2021-05-04,8.17
2021-05-05,6.41
2021-05-06,6.3199997
2021-05-07,7.8399997
2021-05-08,9.62
2021-05-09,15.19
2021-05-10,12.62
2021-05-11,10.59
2021-05-12,11.4
2021-05-13,12.0199995
2021-05-14,9.8
2021-05-15,10.0
2021-05-16,11.11
2021-05-17,11.82
2021-05-18,10.99
2021-05-19,11.509999
2021-05-20,8.78
2021-05-21,11.04
2021-05-22,10.13
2021-05-23,8.55
2021-05-24,9.41
2021-05-25,10.49
2021-05-26,10.51
2021-05-27,12.23
2021-05-28,13.71
2021-05-29,16.029999
2021-05-30,12.799999
2021-05-31,14.57
2021-06-01,16.6
2021-06-02,18.199999
2021-06-03,17.859999
2021-06-04,14.429999
2021-06-05,15.16
2021-06-06,16.789999
2021-06-07,17.43
2021-06-08,16.55
2021-06-09,17.57
2021-06-10,18.869999
2021-06-11,18.84
2021-06-12,16.24
2021-06-13,18.14
2021-06-14,19.609999
2021-06-15,15.889999
2021-06-16,19.89
2021-06-17,17.74
2021-06-18,14.639999
2021-06-19,13.74
2021-06-20,13.37
2021-06-21,12.2
2021-06-22,13.509999
2021-06-23,13.88
2021-06-24,16.869999
2021-06-25,15.089999
2021-06-26,15.25
2021-06-27,16.06
2021-06-28,14.799999
2021-06-29,15.74
2021-06-30,14.45
2021-07-01,15.559999
2021-07-02,17.72
2021-07-03,18.789999
2021-07-04,18.039999
2021-07-05,16.51
2021-07-06,15.889999
2021-07-07,17.68
2021-07-08,18.05
2021-07-09,17.9
2021-07-10,17.76
2021-07-11,16.89
2021-07-12,17.09
2021-07-13,18.42
2021-07-14,18.55
2021-07-15,17.99
2021-07-16,19.17
2021-07-17,21.609999
2021-07-18,22.81
2021-07-19,22.51
2021-07-20,22.39
2021-07-21,21.75
2021-07-22,21.689999
2021-07-23,18.869999
2021-07-24,18.24
2021-07-25,18.24
2021-07-26,19.98
2021-07-27,19.88
2021-07-28,17.35
2021-07-29,16.3
2021-07-30,15.679999
2021-07-31,17.14
2021-08-01,15.96
2021-08-02,15.599999
2021-08-03,15.7
2021-08-04,16.619999
2021-08-05,16.539999
2021-08-06,17.74
2021-08-07,16.08
2021-08-08,16.609999
2021-08-09,16.619999
2021-08-10,17.32
2021-08-11,16.91
2021-08-12,16.97
2021-08-13,17.9
2021-08-14,18.039999
2021-08-15,17.449999
2021-08-16,15.45
2021-08-17,15.089999
2021-08-18,17.1
2021-08-19,16.74
2021-08-20,18.0
2021-08-21,18.0
2021-08-22,17.92
2021-08-23,17.67
2021-08-24,16.17
2021-08-25,16.58
2021-08-26,15.9
2021-08-27,14.309999
2021-08-28,15.69
2021-08-29,14.83
2021-08-30,15.759999
2021-08-31,14.69
2021-09-01,15.139999
2021-09-02,15.95
2021-09-03,15.94
2021-09-04,15.92
2021-09-05,18.359999
2021-09-06,20.05
2021-09-07,21.31
2021-09-08,21.35
2021-09-09,20.22
2021-09-10,19.99
2021-09-11,18.48
2021-09-12,15.38
2021-09-13,15.719999
2021-09-14,16.32
2021-09-15,16.71
2021-09-16,16.52
2021-09-17,15.66
2021-09-18,17.32
2021-09-19,16.75
2021-09-20,15.339999
2021-09-21,15.13
2021-09-22,15.07
2021-09-23,16.44
2021-09-24,16.38
2021-09-25,18.63
2021-09-26,17.449999
2021-09-27,15.58
2021-09-28,13.78
2021-09-29,11.34
2021-09-30,11.73
2021-10-01,13.95
2021-10-02,10.2
2021-10-03,11.5199995
2021-10-04,12.469999
2021-10-05,11.2
2021-10-06,12.889999
2021-10-07,15.65
2021-10-08,15.37
2021-10-09,15.19
2021-10-10,14.48
2021-10-11,11.42
2021-10-12,11.99
2021-10-13,12.79
2021-10-14,12.69
2021-10-15,10.969999
2021-10-16,10.65
2021-10-17,12.67
2021-10-18,12.799999
2021-10-19,16.74
2021-10-20,14.67
2021-10-21,8.76
2021-10-22,9.21
2021-10-23,9.87
2021-10-24,11.88
2021-10-25,12.0
2021-10-26,11.44
2021-10-27,14.96
2021-10-28,14.25
2021-10-29,12.639999
2021-10-30,10.41
2021-10-31,9.33
2021-11-01,10.23
2021-11-02,7.31
2021-11-03,6.02
2021-11-04,6.94
2021-11-05,6.29
2021-11-06,10.429999
2021-11-07,10.349999
2021-11-08,7.56
2021-11-09,11.509999
2021-11-10,11.42
2021-11-11,10.429999
2021-11-12,11.07
2021-11-13,11.83
2021-11-14,10.309999
2021-11-15,9.73
2021-11-16,8.53
2021-11-17,9.139999
2021-11-18,9.87
2021-11-19,11.37
2021-11-20,10.25
2021-11-21,6.5899997
2021-11-22,5.14
2021-11-23,4.73
2021-11-24,6.22
2021-11-25,3.8999999
2021-11-26,5.13
2021-11-27,2.8999999
2021-11-28,0.51
2021-11-29,-0.42
2021-11-30,7.5699997
2021-12-01,7.97
2021-12-02,2.6399999
2021-12-03,3.8799999
2021-12-04,5.5899997
2021-12-05,4.98
2021-12-06,2.6299999
2021-12-07,3.05
2021-12-08,5.35
2021-12-09,5.31
2021-12-10,5.1099997
2021-12-11,4.4
2021-12-12,10.66
2021-12-13,10.559999
2021-12-14,9.65
2021-12-15,9.82
2021-12-16,8.62
2021-12-17,6.22
2021-12-18,5.7799997
2021-12-19,3.37
2021-12-20,4.5099998
2021-12-21,3.6599998
2021-12-22,0.58
2021-12-23,5.8199997
2021-12-24,6.7599998
2021-12-25,5.67
2021-12-26,4.97
2021-12-27,6.47
2021-12-28,8.639999
2021-12-29,8.44
2021-12-30,11.559999
2021-12-31,12.71
