time,ITG2G
2021-01-01,-0.049999997
2021-01-02,1.2774999
2021-01-03,1.9424999
2021-01-04,2.9125
2021-01-05,2.435
2021-01-06,1.8449999
2021-01-07,-0.98499995
2021-01-08,-0.24749999
2021-01-09,1.095
2021-01-10,1.3475
2021-01-11,4.9725
2021-01-12,6.1375
2021-01-13,3.5925
2021-01-14,4.99
2021-01-15,0.66999996
2021-01-16,3.43
2021-01-17,4.9674997
2021-01-18,4.2625
2021-01-19,8.42
2021-01-20,9.467499
2021-01-21,4.475
2021-01-22,2.875
2021-01-23,0.81
2021-01-24,-1.25
2021-01-25,0.3025
2021-01-26,2.195
2021-01-27,5.9375
2021-01-28,8.3325
2021-01-29,8.474999
2021-01-30,4.2425003
2021-01-31,0.47999996
2021-02-01,2.8100002
2021-02-02,6.0274997
2021-02-03,8.1775
2021-02-04,5.4725
2021-02-05,7.4049997
2021-02-06,4.4375
2021-02-07,1.51
2021-02-08,-0.98249996
2021-02-09,-0.735
2021-02-10,-0.405
2021-02-11,-2.1299999
2021-02-12,-0.8875
2021-02-13,-1.3199999
2021-02-14,1.19
2021-02-15,7.445
2021-02-16,8.9275
2021-02-17,8.2925
2021-02-18,8.5025
2021-02-19,6.15
2021-02-20,10.835
2021-02-21,10.6625
2021-02-22,8.372499
2021-02-23,8.695
2021-02-24,13.3125
2021-02-25,10.065
2021-02-26,6.1575
2021-02-27,5.4049997
2021-02-28,5.27
2021-03-01,4.085
2021-03-02,5.1225
2021-03-03,5.1475
2021-03-04,4.87
2021-03-05,4.245
2021-03-06,2.3
2021-03-07,3.0425
2021-03-08,5.34
2021-03-09,6.4025
2021-03-10,7.2675
2021-03-11,9.425
2021-03-12,6.9424996
2021-03-13,6.5775
2021-03-14,6.6975
2021-03-15,9.3825
2021-03-16,9.6625
2021-03-17,7.24
2021-03-18,6.7
2021-03-19,7.6299996
2021-03-20,8.04
2021-03-21,8.0075
2021-03-22,6.125
2021-03-23,7.4175
2021-03-24,9.139999
2021-03-25,8.505
2021-03-26,9.315
2021-03-27,6.0525
2021-03-28,10.379999
2021-03-29,12.99
2021-03-30,12.942499
2021-03-31,15.012499
2021-04-01,9.607499
2021-04-02,7.24
2021-04-03,6.4825
2021-04-04,7.6524997
2021-04-05,5.37
2021-04-06,3.4724998
2021-04-07,2.4075
2021-04-08,7.1000004
2021-04-09,7.035
2021-04-10,4.79
2021-04-11,3.835
2021-04-12,4.1949997
2021-04-13,5.6150002
2021-04-14,6.2774997
2021-04-15,4.9825
2021-04-16,4.9424996
2021-04-17,5.7174997
2021-04-18,6.7374997
2021-04-19,8.605
2021-04-20,9.759999
2021-04-21,9.1875
2021-04-22,6.5899997
2021-04-23,8.807501
2021-04-24,9.0225
2021-04-25,7.5724998
2021-04-26,7.2074995
2021-04-27,8.157499
2021-04-28,8.115
2021-04-29,5.59
2021-04-30,6.5825
2021-05-01,6.165
2021-05-02,7.3599997
2021-05-03,8.32
2021-05-04,8.947499
2021-05-05,6.605
2021-05-06,6.5575
2021-05-07,8.105
2021-05-08,9.947499
2021-05-09,15.05
2021-05-10,12.5375
2021-05-11,10.7575
2021-05-12,11.577499
2021-05-13,11.83
2021-05-14,9.9475
2021-05-15,10.549999
2021-05-16,11.0525
2021-05-17,12.195
2021-05-18,10.75
2021-05-19,12.0225
2021-05-20,9.355
2021-05-21,10.855
2021-05-22,10.522499
2021-05-23,8.639999
2021-05-24,9.455
2021-05-25,10.525
2021-05-26,10.495
2021-05-27,12.1875
2021-05-28,13.3775
2021-05-29,15.91
2021-05-30,13.1925
2021-05-31,14.7225
2021-06-01,16.7975
2021-06-02,18.5775
2021-06-03,18.035
2021-06-04,14.455
2021-06-05,15.202499
2021-06-06,16.789999
2021-06-07,17.2775
2021-06-08,16.2925
2021-06-09,17.252499
2021-06-10,18.829998
2021-06-11,19.06
2021-06-12,16.72
2021-06-13,18.322498
2021-06-14,20.012499
2021-06-15,16.557499
2021-06-16,19.974998
2021-06-17,18.519999
2021-06-18,14.69
2021-06-19,13.615
2021-06-20,13.95
2021-06-21,12.164999
2021-06-22,13.629999
2021-06-23,13.8475
2021-06-24,16.454998
2021-06-25,16.2225
2021-06-26,16.02
2021-06-27,16.4225
2021-06-28,15.5275
2021-06-29,15.9225
2021-06-30,14.7875
2021-07-01,15.68
2021-07-02,17.955
2021-07-03,18.767498
2021-07-04,18.3125
2021-07-05,16.6525
2021-07-06,15.7425
2021-07-07,17.602499
2021-07-08,17.797499
2021-07-09,17.6875
2021-07-10,16.855
2021-07-11,16.689999
2021-07-12,17.2325
2021-07-13,18.5225
2021-07-14,18.5875
2021-07-15,17.814999
2021-07-16,18.7325
2021-07-17,21.154999
2021-07-18,22.5275
2021-07-19,22.8375
2021-07-20,22.63
2021-07-21,22.0225
2021-07-22,21.755
2021-07-23,19.775
2021-07-24,18.595
2021-07-25,18.44
2021-07-26,19.9525
2021-07-27,19.832499
2021-07-28,17.5975
2021-07-29,16.815
2021-07-30,16.2675
2021-07-31,17.057499
2021-08-01,16.07
2021-08-02,15.450001
2021-08-03,15.737499
2021-08-04,16.42
2021-08-05,16.555
2021-08-06,17.705
2021-08-07,16.0425
2021-08-08,16.52
2021-08-09,16.57
2021-08-10,17.55
2021-08-11,16.8675
2021-08-12,17.43
2021-08-13,17.7275
2021-08-14,18.0875
2021-08-15,17.735
2021-08-16,15.2575
2021-08-17,15.04
2021-08-18,17.557499
2021-08-19,16.762499
2021-08-20,17.7575
2021-08-21,17.96
2021-08-22,17.6975
2021-08-23,17.654999
2021-08-24,16.34
2021-08-25,16.4825
2021-08-26,16.0625
2021-08-27,14.4675
2021-08-28,15.4275
2021-08-29,14.942499
2021-08-30,15.769999
2021-08-31,15.23
2021-09-01,15.684999
2021-09-02,16.145
2021-09-03,16.4175
2021-09-04,16.265
2021-09-05,18.5775
2021-09-06,19.9
2021-09-07,21.2625
2021-09-08,21.337502
2021-09-09,19.875
2021-09-10,19.6875
2021-09-11,18.34
2021-09-12,15.602499
2021-09-13,15.8175
2021-09-14,16.942501
2021-09-15,16.9225
2021-09-16,16.3925
2021-09-17,15.847499
2021-09-18,17.6175
2021-09-19,16.8375
2021-09-20,14.9225
2021-09-21,14.8875
2021-09-22,15.17
2021-09-23,16.18
2021-09-24,16.5325
2021-09-25,17.7825
2021-09-26,17.1275
2021-09-27,15.5125
2021-09-28,13.8675
2021-09-29,11.617498
2021-09-30,11.87
2021-10-01,14.2575
2021-10-02,10.3225
2021-10-03,11.825
2021-10-04,12.5525
2021-10-05,11.6275
2021-10-06,12.61
2021-10-07,15.18
2021-10-08,15.164999
2021-10-09,14.414999
2021-10-10,13.83
2021-10-11,11.184999
2021-10-12,11.945
2021-10-13,12.73
2021-10-14,12.4775
2021-10-15,11.122499
2021-10-16,11.277499
2021-10-17,12.620001
2021-10-18,12.9125
2021-10-19,17.125
2021-10-20,14.6725
2021-10-21,9.134999
2021-10-22,9.127501
2021-10-23,10.0625
2021-10-24,12.0025
2021-10-25,12.0725
2021-10-26,11.36
2021-10-27,14.795
2021-10-28,13.735
2021-10-29,12.304999
2021-10-30,10.822499
2021-10-31,9.5725
2021-11-01,10.16
2021-11-02,7.0649996
2021-11-03,5.4125
2021-11-04,6.7324996
2021-11-05,5.99
2021-11-06,10.145
2021-11-07,10.077499
2021-11-08,7.1475
