time,ITG2H
2021-01-01,0.7925
2021-01-02,1.385
2021-01-03,2.315
2021-01-04,2.8899999
2021-01-05,2.5099998
2021-01-06,2.0175
2021-01-07,-1.0374999
2021-01-08,-0.3375
2021-01-09,1.3449999
2021-01-10,1.585
2021-01-11,4.9775
2021-01-12,5.2875
2021-01-13,2.3975
2021-01-14,2.765
2021-01-15,0.08
2021-01-16,3.1125
2021-01-17,4.9849997
2021-01-18,4.0625
2021-01-19,8.342501
2021-01-20,9.762501
2021-01-21,3.9574997
2021-01-22,2.9475
2021-01-23,0.8025
2021-01-24,-1.3149999
2021-01-25,0.27999997
2021-01-26,1.9825
2021-01-27,5.5849996
2021-01-28,7.5774994
2021-01-29,8.2525
2021-01-30,3.5375
2021-01-31,0.18249999
2021-02-01,3.055
2021-02-02,4.3525
2021-02-03,7.5175
2021-02-04,5.2475
2021-02-05,7.455
2021-02-06,4.8675
2021-02-07,1.01
2021-02-08,-0.8075
2021-02-09,-0.52750003
2021-02-10,-0.42999998
2021-02-11,-1.9425
2021-02-12,-1.015
2021-02-13,-1.855
2021-02-14,0.9225
2021-02-15,7.3375
2021-02-16,8.7775
2021-02-17,8.445
2021-02-18,8.605
2021-02-19,6.2375
2021-02-20,10.7
2021-02-21,10.2725
2021-02-22,8.4725
2021-02-23,8.822499
2021-02-24,13.399999
2021-02-25,9.7075
2021-02-26,6.2974997
2021-02-27,5.4649997
2021-02-28,5.56
2021-03-01,3.1524997
2021-03-02,4.6025
2021-03-03,4.3399997
2021-03-04,4.8374996
2021-03-05,4.34
2021-03-06,2.695
2021-03-07,3.8075
2021-03-08,5.4374995
2021-03-09,6.6174994
2021-03-10,7.5099998
2021-03-11,9.459999
2021-03-12,6.6524997
2021-03-13,6.1924996
2021-03-14,6.7599993
2021-03-15,9.135
2021-03-16,9.88
2021-03-17,7.6799994
2021-03-18,7.345
2021-03-19,7.5699997
2021-03-20,8.53
2021-03-21,7.8149996
2021-03-22,6.35
2021-03-23,7.4024997
2021-03-24,9.352499
2021-03-25,8.75
2021-03-26,9.345
2021-03-27,5.9174995
2021-03-28,10.775
2021-03-29,13.4625
2021-03-30,13.13
2021-03-31,15.295
2021-04-01,8.7225
2021-04-02,6.9649997
2021-04-03,6.7149997
2021-04-04,7.4375
2021-04-05,4.62
2021-04-06,3.2425
