time,ITH54
2021-01-01,1.8419998
2021-01-02,-0.001999998
2021-01-03,0.804
2021-01-04,0.9499999
2021-01-05,1.614
2021-01-06,-0.33599997
2021-01-07,-0.87399995
2021-01-08,-0.91800004
2021-01-09,-1.79
2021-01-10,1.9880002
2021-01-11,5.402
2021-01-12,0.646
2021-01-13,-0.66999996
2021-01-14,1.992
2021-01-15,1.45
2021-01-16,3.7219996
2021-01-17,3.284
2021-01-18,3.954
2021-01-19,-0.174
2021-01-20,-0.26200002
2021-01-21,1.3499999
2021-01-22,1.8059998
2021-01-23,-1.334
2021-01-24,-2.006
2021-01-25,0.94799995
2021-01-26,0.56600004
2021-01-27,1.5020001
2021-01-28,1.3199999
2021-01-29,2.2920003
2021-01-30,0.47200003
2021-01-31,-0.9
2021-02-01,0.538
2021-02-02,0.62399995
2021-02-03,2.1439998
2021-02-04,1.4619999
2021-02-05,2.6
2021-02-06,1.346
2021-02-07,0.36200005
2021-02-08,-0.40399998
2021-02-09,-1.6579998
2021-02-10,-1.9860001
2021-02-11,-6.074
2021-02-12,-2.9
2021-02-13,-0.15799999
2021-02-14,1.7400001
2021-02-15,6.026
2021-02-16,7.9740005
2021-02-17,4.236
2021-02-18,5.6740003
2021-02-19,5.542
2021-02-20,7.776
2021-02-21,7.5620003
2021-02-22,5.532
2021-02-23,5.1979995
2021-02-24,8.485999
2021-02-25,5.928
2021-02-26,5.144
2021-02-27,6.5479994
2021-02-28,5.6559997
2021-03-01,5.18
2021-03-02,2.6239998
2021-03-03,2.0
2021-03-04,2.842
2021-03-05,2.1079998
2021-03-06,1.1719999
2021-03-07,4.8599997
2021-03-08,7.2559996
2021-03-09,6.838
2021-03-10,5.942
2021-03-11,6.108
2021-03-12,3.94
2021-03-13,3.3860002
2021-03-14,4.682
2021-03-15,5.0719995
2021-03-16,7.7179995
2021-03-17,7.356
2021-03-18,8.887999
2021-03-19,6.384
2021-03-20,7.3879995
2021-03-21,6.0099998
2021-03-22,6.4160004
2021-03-23,7.9059997
2021-03-24,6.6799994
2021-03-25,6.8799996
2021-03-26,6.4440002
2021-03-27,3.588
2021-03-28,7.6439996
2021-03-29,11.401999
2021-03-30,11.535999
2021-03-31,6.8020005
2021-04-01,4.174
2021-04-02,3.382
2021-04-03,5.892
2021-04-04,6.12
2021-04-05,0.35
2021-04-06,0.8579999
2021-04-07,1.094
2021-04-08,4.968
2021-04-09,2.722
2021-04-10,0.80799997
2021-04-11,0.13799998
2021-04-12,2.2020001
2021-04-13,2.026
2021-04-14,3.3439999
2021-04-15,3.412
2021-04-16,5.2279997
2021-04-17,5.518
2021-04-18,5.3
2021-04-19,9.006
2021-04-20,7.5939994
2021-04-21,4.1899996
2021-04-22,5.012
2021-04-23,6.582
2021-04-24,5.9419994
2021-04-25,4.436
2021-04-26,6.0
2021-04-27,5.322
2021-04-28,5.25
2021-04-29,3.3860002
2021-04-30,4.0699997
2021-05-01,3.586
2021-05-02,4.624
2021-05-03,3.5979996
2021-05-04,5.618
2021-05-05,4.402
2021-05-06,3.6
2021-05-07,4.9020004
2021-05-08,4.2799997
2021-05-09,7.6699996
2021-05-10,9.86
2021-05-11,9.818
2021-05-12,7.0399995
2021-05-13,6.5959997
2021-05-14,7.2580004
