time,ITI1A
2021-01-01,12.089168
2021-01-02,9.163334
2021-01-03,11.179166
2021-01-04,11.634999
2021-01-05,12.43
2021-01-06,11.700001
2021-01-07,11.633332
2021-01-08,7.825834
2021-01-09,4.4466667
2021-01-10,4.225
2021-01-11,4.0033336
2021-01-12,4.6225
2021-01-13,4.168333
2021-01-14,0.5108333
2021-01-15,1.2883333
2021-01-16,1.1325
2021-01-17,-0.17166667
2021-01-18,0.6166666
2021-01-19,-0.046666663
2021-01-20,-0.5516666
2021-01-21,2.873333
2021-01-22,6.991667
2021-01-23,8.939166
2021-01-24,12.178332
2021-01-25,10.8
2021-01-26,5.870833
2021-01-27,3.9124997
2021-01-28,4.2891665
2021-01-29,3.7416666
2021-01-30,8.615833
2021-01-31,8.256667
2021-02-01,7.7649994
2021-02-02,6.795
2021-02-03,8.587501
2021-02-04,9.820833
2021-02-05,10.4475
2021-02-06,10.369166
2021-02-07,8.311667
2021-02-08,12.176666
2021-02-09,13.809166
2021-02-10,13.364166
2021-02-11,14.371666
2021-02-12,5.415833
2021-02-13,1.4491667
2021-02-14,-1.2708334
2021-02-15,0.86833334
2021-02-16,-0.67
2021-02-17,-1.5300001
2021-02-18,5.1183333
2021-02-19,3.243333
2021-02-20,3.0066664
2021-02-21,4.1749997
2021-02-22,3.3174999
2021-02-23,6.115
2021-02-24,6.004167
2021-02-25,7.6608334
2021-02-26,10.664166
2021-02-27,10.594166
2021-02-28,9.380834
2021-03-01,5.255833
2021-03-02,6.8608336
2021-03-03,7.039167
2021-03-04,9.240833
2021-03-05,11.518333
2021-03-06,9.169999
2021-03-07,3.8358333
2021-03-08,7.086666
2021-03-09,6.950833
2021-03-10,5.77
2021-03-11,6.0191665
2021-03-12,4.6408334
2021-03-13,7.443333
2021-03-14,9.121666
2021-03-15,10.6675005
2021-03-16,9.726666
2021-03-17,7.036667
2021-03-18,7.4149995
2021-03-19,7.5625
2021-03-20,5.2908335
2021-03-21,7.905
2021-03-22,7.023333
2021-03-23,5.725
2021-03-24,3.078333
2021-03-25,3.9199998
2021-03-26,6.4016666
2021-03-27,7.556667
2021-03-28,10.807499
2021-03-29,9.433333
2021-03-30,7.433333
2021-03-31,7.0399995
2021-04-01,9.483333
2021-04-02,11.8949995
2021-04-03,12.069165
2021-04-04,10.202499
2021-04-05,8.445
2021-04-06,12.535
2021-04-07,10.423333
2021-04-08,6.8141665
2021-04-09,6.9433327
2021-04-10,7.8666663
2021-04-11,9.248333
2021-04-12,11.581666
2021-04-13,15.966666
2021-04-14,10.656667
2021-04-15,9.32
2021-04-16,9.301666
2021-04-17,9.059167
2021-04-18,11.276666
2021-04-19,11.865001
2021-04-20,12.721667
2021-04-21,12.539166
2021-04-22,12.583333
2021-04-23,15.180833
2021-04-24,12.536667
