time,ITI21
2021-01-01,11.316999
2021-01-02,8.539
2021-01-03,10.556
2021-01-04,11.261999
2021-01-05,10.903999
2021-01-06,10.120001
2021-01-07,11.102
2021-01-08,6.392
2021-01-09,2.962
2021-01-10,3.051
2021-01-11,3.4229999
2021-01-12,4.614
2021-01-13,3.609
2021-01-14,0.858
2021-01-15,0.504
2021-01-16,0.28500003
2021-01-17,-0.765
2021-01-18,-0.18699998
2021-01-19,-0.6089999
2021-01-20,-0.96599996
2021-01-21,2.2789998
2021-01-22,6.119
2021-01-23,8.287001
2021-01-24,11.330999
2021-01-25,10.2630005
2021-01-26,5.0569997
2021-01-27,3.5209994
2021-01-28,3.4959998
2021-01-29,3.3049998
2021-01-30,7.599
2021-01-31,7.345
2021-02-01,6.731
2021-02-02,5.9509993
2021-02-03,8.509999
2021-02-04,9.087
2021-02-05,8.925001
2021-02-06,8.776
2021-02-07,7.1299987
2021-02-08,11.2
2021-02-09,13.028
2021-02-10,12.521
2021-02-11,13.212
2021-02-12,3.432
2021-02-13,-0.27199998
2021-02-14,-1.675
2021-02-15,-0.07999999
2021-02-16,-1.732
2021-02-17,-2.9459996
2021-02-18,3.9900002
2021-02-19,2.006
2021-02-20,1.783
2021-02-21,3.4440002
2021-02-22,2.3700001
2021-02-23,6.1460004
2021-02-24,5.659
2021-02-25,7.804
2021-02-26,10.950999
2021-02-27,10.556
2021-02-28,8.543
2021-03-01,4.143
2021-03-02,5.647
2021-03-03,5.96
2021-03-04,8.587
2021-03-05,10.751999
2021-03-06,7.8550005
2021-03-07,2.808
2021-03-08,5.8580003
2021-03-09,5.525
2021-03-10,4.5230002
2021-03-11,4.438
2021-03-12,3.0579998
2021-03-13,5.7139997
2021-03-14,7.0869994
2021-03-15,9.835
2021-03-16,8.684
2021-03-17,6.0059996
2021-03-18,5.8389997
2021-03-19,6.016
2021-03-20,4.347
2021-03-21,6.3479996
2021-03-22,5.7489996
2021-03-23,4.462
2021-03-24,1.8839998
2021-03-25,2.8939996
2021-03-26,5.3759995
2021-03-27,6.47
2021-03-28,9.786
2021-03-29,8.729
2021-03-30,6.23
2021-03-31,5.9989996
2021-04-01,9.045
2021-04-02,11.4939995
2021-04-03,10.692999
2021-04-04,9.06
2021-04-05,7.2400002
2021-04-06,11.344
2021-04-07,9.11
2021-04-08,5.6769996
2021-04-09,5.661
2021-04-10,6.3799996
2021-04-11,7.6119995
2021-04-12,10.302
2021-04-13,14.343
2021-04-14,10.065
2021-04-15,7.9979997
2021-04-16,7.7839994
2021-04-17,7.648
2021-04-18,9.992
2021-04-19,10.73
2021-04-20,11.17
2021-04-21,11.477
2021-04-22,11.557001
2021-04-23,13.895999
2021-04-24,11.229001
2021-04-25,11.754
2021-04-26,13.67
2021-04-27,14.873999
2021-04-28,12.417
2021-04-29,13.330999
2021-04-30,16.486998
2021-05-01,19.036
2021-05-02,21.498997
2021-05-03,20.316
2021-05-04,14.94
2021-05-05,16.351
2021-05-06,16.021
2021-05-07,17.327
2021-05-08,16.595999
2021-05-09,12.566999
2021-05-10,12.62
2021-05-11,14.7630005
2021-05-12,13.530001
2021-05-13,14.033
2021-05-14,14.970999
2021-05-15,15.722
2021-05-16,15.214999
2021-05-17,16.529
2021-05-18,15.823999
2021-05-19,16.576
2021-05-20,15.491999
2021-05-21,15.219
2021-05-22,16.154001
2021-05-23,20.678
2021-05-24,20.153
2021-05-25,20.344
2021-05-26,19.366001
2021-05-27,19.185001
2021-05-28,17.265
2021-05-29,18.675
2021-05-30,17.180998
2021-05-31,14.68
2021-06-01,12.92
2021-06-02,14.425
2021-06-03,14.789999
2021-06-04,17.026
2021-06-05,17.469
2021-06-06,17.967001
2021-06-07,19.144001
2021-06-08,19.09
2021-06-09,19.918
2021-06-10,20.157999
2021-06-11,20.235998
2021-06-12,19.391998
2021-06-13,18.818998
2021-06-14,16.236
2021-06-15,17.953
2021-06-16,19.995998
2021-06-17,18.956
2021-06-18,20.132
2021-06-19,19.522
2021-06-20,20.251999
2021-06-21,21.485998
2021-06-22,22.052
2021-06-23,23.033998
2021-06-24,24.215
2021-06-25,26.182999
2021-06-26,25.598
2021-06-27,24.481998
2021-06-28,23.916998
2021-06-29,25.213001
2021-06-30,25.998999
2021-07-01,25.223001
2021-07-02,22.491001
2021-07-03,20.98
2021-07-04,19.881
2021-07-05,22.022997
2021-07-06,23.515
2021-07-07,22.758999
2021-07-08,22.380001
2021-07-09,23.568
2021-07-10,25.469
2021-07-11,25.454
2021-07-12,22.775
2021-07-13,24.456
2021-07-14,25.925
2021-07-15,27.342
2021-07-16,26.194998
2021-07-17,24.973001
2021-07-18,25.551998
2021-07-19,25.565998
2021-07-20,24.997
2021-07-21,22.537998
2021-07-22,22.894001
2021-07-23,22.254
2021-07-24,21.588001
2021-07-25,23.157001
2021-07-26,23.68
2021-07-27,27.275
2021-07-28,27.91
2021-07-29,28.202002
2021-07-30,26.388998
2021-07-31,27.394999
2021-08-01,27.373999
2021-08-02,30.554998
2021-08-03,26.265997
2021-08-04,26.66
2021-08-05,29.003
2021-08-06,26.654999
2021-08-07,22.48
2021-08-08,23.831999
2021-08-09,26.388
2021-08-10,27.564999
2021-08-11,26.625
2021-08-12,26.317999
2021-08-13,24.026999
2021-08-14,23.678999
2021-08-15,23.554
2021-08-16,24.697998
2021-08-17,27.023998
2021-08-18,23.325
2021-08-19,21.063
2021-08-20,20.269001
2021-08-21,22.901999
2021-08-22,22.356998
2021-08-23,23.449
2021-08-24,24.847998
2021-08-25,25.109
2021-08-26,22.622
2021-08-27,22.632
2021-08-28,21.937
2021-08-29,22.702
2021-08-30,21.952
2021-08-31,19.431
2021-09-01,19.903
2021-09-02,20.362
2021-09-03,18.178
2021-09-04,20.065998
2021-09-05,21.747
2021-09-06,19.825
2021-09-07,19.021
2021-09-08,18.296001
2021-09-09,18.715
2021-09-10,19.239
2021-09-11,20.414
2021-09-12,20.020998
2021-09-13,19.890999
2021-09-14,20.914999
2021-09-15,21.977001
2021-09-16,21.712
2021-09-17,24.057999
2021-09-18,23.135998
2021-09-19,21.846003
2021-09-20,19.999998
2021-09-21,16.486
2021-09-22,12.776
2021-09-23,13.13
2021-09-24,13.372
2021-09-25,17.407999
2021-09-26,18.964
2021-09-27,19.567999
2021-09-28,18.079998
2021-09-29,15.983
2021-09-30,16.115
2021-10-01,16.008999
2021-10-02,14.293001
2021-10-03,12.856
2021-10-04,14.575
2021-10-05,13.727
2021-10-06,12.85
2021-10-07,14.845999
2021-10-08,14.311
2021-10-09,13.561999
2021-10-10,13.959002
2021-10-11,13.225
2021-10-12,13.455999
2021-10-13,13.559
2021-10-14,10.625999
2021-10-15,11.455
2021-10-16,12.058999
2021-10-17,13.458
2021-10-18,13.192999
2021-10-19,12.751
2021-10-20,12.397001
2021-10-21,13.256999
2021-10-22,16.048
2021-10-23,16.006
2021-10-24,13.228999
2021-10-25,9.345
2021-10-26,11.108999
2021-10-27,10.599
2021-10-28,11.386
2021-10-29,12.72
2021-10-30,12.876999
2021-10-31,11.998
2021-11-01,12.826999
2021-11-02,14.004
2021-11-03,14.004999
2021-11-04,17.485998
2021-11-05,20.321
2021-11-06,16.907001
2021-11-07,14.296
2021-11-08,14.746999
2021-11-09,12.789
2021-11-10,7.1519995
2021-11-11,8.860999
2021-11-12,8.931999
2021-11-13,10.395999
2021-11-14,13.297999
2021-11-15,10.816
2021-11-16,10.696999
2021-11-17,8.570001
2021-11-18,7.4179993
2021-11-19,8.128
2021-11-20,10.592999
2021-11-21,8.895999
2021-11-22,10.609
2021-11-23,9.327
2021-11-24,7.1850004
2021-11-25,7.714999
2021-11-26,7.5379996
2021-11-27,12.695001
2021-11-28,12.393
2021-11-29,12.124998
2021-11-30,5.7939997
2021-12-01,5.7599993
2021-12-02,6.366
2021-12-03,9.641
2021-12-04,7.2869997
2021-12-05,6.567
2021-12-06,6.942
2021-12-07,9.948999
2021-12-08,8.471999
2021-12-09,7.517999
2021-12-10,11.424
2021-12-11,9.83
2021-12-12,11.9
2021-12-13,8.907999
2021-12-14,7.6349998
2021-12-15,4.6629996
2021-12-16,2.287
2021-12-17,4.666
2021-12-18,2.589
2021-12-19,2.198
2021-12-20,3.0540001
2021-12-21,2.2700002
2021-12-22,-0.62399995
2021-12-23,-1.2809999
2021-12-24,3.0579998
2021-12-25,9.006
2021-12-26,8.963
2021-12-27,7.832
2021-12-28,4.909
2021-12-29,4.806
2021-12-30,5.6390004
2021-12-31,3.939
