time,LI000
2021-01-01,0.71999997
2021-01-02,3.05
2021-01-03,3.1799998
2021-01-04,4.0299997
2021-01-05,3.1
2021-01-06,3.9299998
2021-01-07,1.6999999
2021-01-08,-0.34
2021-01-09,0.47
2021-01-10,0.14999999
2021-01-11,4.7799997
2021-01-12,7.17
2021-01-13,4.2
2021-01-14,5.66
2021-01-15,2.05
2021-01-16,2.6699998
2021-01-17,5.39
2021-01-18,4.7
2021-01-19,8.28
2021-01-20,9.05
2021-01-21,5.73
2021-01-22,3.1
2021-01-23,2.27
2021-01-24,-0.31
2021-01-25,1.5699999
2021-01-26,2.52
2021-01-27,6.19
2021-01-28,8.7699995
2021-01-29,9.17
2021-01-30,5.2
2021-01-31,2.36
2021-02-01,3.6299999
2021-02-02,7.12
2021-02-03,8.7699995
2021-02-04,5.71
2021-02-05,8.25
2021-02-06,5.5899997
2021-02-07,2.04
2021-02-08,-1.7099999
2021-02-09,-1.01
2021-02-10,-0.42999998
2021-02-11,-2.1399999
2021-02-12,-1.01
2021-02-13,-1.35
2021-02-14,1.3399999
2021-02-15,7.14
2021-02-16,8.679999
2021-02-17,9.0199995
2021-02-18,8.72
2021-02-19,6.8199997
2021-02-20,11.7
2021-02-21,11.83
2021-02-22,9.21
2021-02-23,10.059999
2021-02-24,12.86
2021-02-25,10.7699995
2021-02-26,6.6
2021-02-27,5.96
2021-02-28,5.93
2021-03-01,5.8599997
2021-03-02,6.0099998
2021-03-03,5.46
2021-03-04,5.24
2021-03-05,4.0699997
2021-03-06,2.96
2021-03-07,3.1399999
2021-03-08,4.36
2021-03-09,7.2799997
2021-03-10,6.39
2021-03-11,9.969999
2021-03-12,7.23
2021-03-13,7.72
2021-03-14,6.8799996
2021-03-15,8.95
2021-03-16,8.2699995
2021-03-17,7.3999996
2021-03-18,6.39
2021-03-19,7.46
2021-03-20,6.47
2021-03-21,8.099999
2021-03-22,6.58
2021-03-23,6.98
2021-03-24,8.09
2021-03-25,8.47
2021-03-26,9.99
2021-03-27,6.75
2021-03-28,9.969999
2021-03-29,12.95
2021-03-30,12.91
2021-03-31,14.41
2021-04-01,10.139999
2021-04-02,7.27
2021-04-03,7.0899997
2021-04-04,8.29
2021-04-05,5.91
2021-04-06,3.23
2021-04-07,2.76
2021-04-08,7.22
2021-04-09,8.22
2021-04-10,6.44
2021-04-11,4.89
2021-04-12,4.13
2021-04-13,5.21
2021-04-14,5.91
2021-04-15,5.35
2021-04-16,5.39
2021-04-17,6.2799997
2021-04-18,6.97
2021-04-19,8.74
2021-04-20,9.29
2021-04-21,8.76
2021-04-22,7.29
2021-04-23,8.45
2021-04-24,9.309999
2021-04-25,8.0
2021-04-26,7.69
2021-04-27,7.87
2021-04-28,8.47
2021-04-29,7.3799996
2021-04-30,7.3599997
2021-05-01,7.0699997
2021-05-02,7.74
2021-05-03,8.94
2021-05-04,10.75
2021-05-05,7.8999996
2021-05-06,6.3199997
2021-05-07,8.16
2021-05-08,11.41
2021-05-09,15.429999
2021-05-10,13.88
2021-05-11,11.96
2021-05-12,12.33
2021-05-13,12.219999
2021-05-14,10.12
2021-05-15,10.79
2021-05-16,11.23
2021-05-17,12.469999
2021-05-18,10.929999
2021-05-19,12.5199995
2021-05-20,10.12
2021-05-21,11.48
2021-05-22,11.38
2021-05-23,9.36
2021-05-24,10.82
2021-05-25,10.599999
2021-05-26,10.42
2021-05-27,12.469999
2021-05-28,13.32
2021-05-29,14.92
2021-05-30,13.34
2021-05-31,15.37
2021-06-01,17.279999
2021-06-02,19.35
2021-06-03,18.81
2021-06-04,14.719999
2021-06-05,15.69
2021-06-06,16.18
2021-06-07,17.029999
2021-06-08,16.96
2021-06-09,17.66
2021-06-10,18.84
2021-06-11,19.109999
2021-06-12,18.21
2021-06-13,18.939999
2021-06-14,20.98
2021-06-15,18.21
2021-06-16,20.939999
2021-06-17,19.529999
2021-06-18,15.92
2021-06-19,14.04
2021-06-20,14.95
2021-06-21,12.679999
2021-06-22,14.29
2021-06-23,13.58
2021-06-24,14.79
2021-06-25,17.35
2021-06-26,17.13
2021-06-27,17.609999
2021-06-28,17.08
2021-06-29,16.19
2021-06-30,14.86
2021-07-01,15.11
2021-07-02,18.43
2021-07-03,18.449999
2021-07-04,18.08
2021-07-05,17.13
2021-07-06,16.49
2021-07-07,16.8
2021-07-08,17.14
2021-07-09,17.92
2021-07-10,16.27
2021-07-11,16.3
2021-07-12,17.51
2021-07-13,18.38
2021-07-14,18.31
2021-07-15,17.88
2021-07-16,17.89
2021-07-17,19.81
2021-07-18,21.74
2021-07-19,22.09
2021-07-20,22.14
2021-07-21,22.1
2021-07-22,20.77
2021-07-23,18.49
2021-07-24,19.38
2021-07-25,18.77
2021-07-26,19.47
2021-07-27,19.02
2021-07-28,18.63
2021-07-29,17.19
2021-07-30,16.73
2021-07-31,17.449999
2021-08-01,16.55
2021-08-02,15.65
2021-08-03,16.3
2021-08-04,16.32
2021-08-05,17.21
2021-08-06,18.22
2021-08-07,16.73
2021-08-08,16.81
2021-08-09,17.16
2021-08-10,17.76
2021-08-11,17.18
2021-08-12,18.42
2021-08-13,17.71
2021-08-14,18.77
2021-08-15,18.619999
2021-08-16,15.53
2021-08-17,14.349999
2021-08-18,18.21
2021-08-19,17.17
2021-08-20,17.3
2021-08-21,18.15
2021-08-22,17.65
2021-08-23,17.6
2021-08-24,17.58
2021-08-25,17.35
2021-08-26,16.52
2021-08-27,15.969999
2021-08-28,16.199999
2021-08-29,15.54
2021-08-30,16.08
2021-08-31,16.85
2021-09-01,16.55
2021-09-02,17.289999
2021-09-03,17.71
2021-09-04,16.76
2021-09-05,18.96
2021-09-06,19.949999
2021-09-07,21.5
2021-09-08,21.88
2021-09-09,20.23
2021-09-10,19.67
2021-09-11,18.71
2021-09-12,16.35
2021-09-13,16.47
2021-09-14,17.949999
2021-09-15,17.49
2021-09-16,16.75
2021-09-17,17.27
2021-09-18,18.65
2021-09-19,17.619999
2021-09-20,16.19
2021-09-21,15.089999
2021-09-22,15.639999
2021-09-23,16.22
2021-09-24,17.41
2021-09-25,17.15
2021-09-26,17.18
2021-09-27,16.449999
2021-09-28,14.5
2021-09-29,12.67
2021-09-30,11.509999
2021-10-01,15.589999
2021-10-02,11.19
2021-10-03,13.2699995
2021-10-04,13.59
2021-10-05,13.049999
2021-10-06,12.92
2021-10-07,13.79
2021-10-08,15.099999
2021-10-09,13.07
2021-10-10,12.849999
2021-10-11,12.0
2021-10-12,11.67
2021-10-13,11.929999
2021-10-14,13.0
2021-10-15,12.09
2021-10-16,11.46
2021-10-17,12.79
2021-10-18,13.09
2021-10-19,18.26
2021-10-20,16.119999
2021-10-21,9.929999
2021-10-22,8.72
2021-10-23,10.849999
2021-10-24,12.219999
2021-10-25,12.83
2021-10-26,11.91
2021-10-27,14.74
2021-10-28,13.32
2021-10-29,13.08
2021-10-30,11.53
2021-10-31,10.3
2021-11-01,10.929999
2021-11-02,7.81
2021-11-03,6.33
2021-11-04,8.03
2021-11-05,6.83
2021-11-06,9.95
2021-11-07,10.42
2021-11-08,7.35
2021-11-09,11.48
2021-11-10,11.389999
2021-11-11,11.929999
2021-11-12,10.719999
2021-11-13,11.67
2021-11-14,11.54
2021-11-15,10.17
2021-11-16,8.75
2021-11-17,9.429999
2021-11-18,8.7
2021-11-19,10.809999
2021-11-20,9.809999
2021-11-21,7.5099998
2021-11-22,7.04
2021-11-23,5.8199997
2021-11-24,5.16
2021-11-25,5.5099998
2021-11-26,5.08
2021-11-27,3.4299998
2021-11-28,2.12
2021-11-29,1.1899999
2021-11-30,7.0499997
2021-12-01,9.74
2021-12-02,3.4099998
2021-12-03,4.18
2021-12-04,5.5499997
2021-12-05,5.65
2021-12-06,4.21
2021-12-07,4.29
2021-12-08,6.19
2021-12-09,6.12
2021-12-10,5.52
2021-12-11,4.3199997
2021-12-12,10.5199995
2021-12-13,10.28
2021-12-14,10.05
2021-12-15,10.389999
2021-12-16,9.57
2021-12-17,7.77
2021-12-18,7.3599997
2021-12-19,4.96
2021-12-20,5.9
2021-12-21,4.31
2021-12-22,1.29
2021-12-23,5.67
2021-12-24,7.87
2021-12-25,7.0
2021-12-26,7.25
2021-12-27,7.9199996
2021-12-28,9.87
2021-12-29,10.2699995
2021-12-30,12.55
2021-12-31,13.139999
