time,LT025
2021-01-01,0.90999997
2021-01-02,3.22
2021-01-03,3.61
2021-01-04,4.44
2021-01-05,3.3899999
2021-01-06,4.22
2021-01-07,1.37
2021-01-08,-0.03
2021-01-09,0.45
2021-01-10,0.26
2021-01-11,4.8599997
2021-01-12,7.7599998
2021-01-13,4.52
2021-01-14,6.52
2021-01-15,2.05
2021-01-16,2.77
2021-01-17,5.54
2021-01-18,4.46
2021-01-19,8.23
2021-01-20,9.15
2021-01-21,5.77
2021-01-22,3.62
2021-01-23,2.27
2021-01-24,-0.089999996
2021-01-25,2.2
2021-01-26,2.9199998
2021-01-27,6.41
2021-01-28,9.13
2021-01-29,9.2
2021-01-30,5.7799997
2021-01-31,2.3799999
2021-02-01,3.9199998
2021-02-02,7.5899997
2021-02-03,8.8
2021-02-04,5.97
2021-02-05,8.49
2021-02-06,5.8199997
2021-02-07,2.45
2021-02-08,-1.78
2021-02-09,-1.13
2021-02-10,-0.31
2021-02-11,-2.37
2021-02-12,-0.81
2021-02-13,-1.9699999
2021-02-14,1.38
2021-02-15,7.0499997
2021-02-16,8.62
2021-02-17,9.09
2021-02-18,8.91
2021-02-19,7.0299997
2021-02-20,11.7
2021-02-21,11.86
2021-02-22,9.71
2021-02-23,10.05
2021-02-24,13.259999
2021-02-25,10.55
2021-02-26,6.92
2021-02-27,5.92
2021-02-28,6.0299997
2021-03-01,6.22
2021-03-02,6.0
2021-03-03,5.97
2021-03-04,5.5899997
2021-03-05,4.39
2021-03-06,2.9399998
2021-03-07,3.1
2021-03-08,3.97
2021-03-09,7.1099997
2021-03-10,6.2799997
2021-03-11,9.639999
2021-03-12,7.35
2021-03-13,7.7599998
2021-03-14,6.8199997
2021-03-15,9.059999
2021-03-16,8.33
2021-03-17,7.37
2021-03-18,6.47
2021-03-19,7.2799997
2021-03-20,6.3799996
2021-03-21,8.07
2021-03-22,6.81
2021-03-23,6.91
2021-03-24,8.139999
2021-03-25,8.5
2021-03-26,9.87
2021-03-27,7.0099998
2021-03-28,9.92
2021-03-29,12.42
2021-03-30,13.049999
2021-03-31,14.389999
2021-04-01,10.57
2021-04-02,7.49
2021-04-03,7.0099998
2021-04-04,7.87
2021-04-05,6.19
2021-04-06,3.54
2021-04-07,2.74
2021-04-08,6.8799996
2021-04-09,8.29
2021-04-10,6.5499997
2021-04-11,5.35
2021-04-12,4.19
2021-04-13,5.31
2021-04-14,5.83
2021-04-15,5.4
2021-04-16,5.5499997
2021-04-17,6.43
2021-04-18,7.12
2021-04-19,8.36
2021-04-20,9.33
2021-04-21,8.809999
2021-04-22,7.5499997
2021-04-23,8.62
2021-04-24,9.599999
2021-04-25,8.2
2021-04-26,7.71
2021-04-27,7.83
2021-04-28,8.51
2021-04-29,7.58
2021-04-30,7.5499997
2021-05-01,7.2999997
2021-05-02,7.71
2021-05-03,8.889999
2021-05-04,10.65
2021-05-05,8.179999
2021-05-06,6.5899997
2021-05-07,8.139999
2021-05-08,11.599999
2021-05-09,15.349999
2021-05-10,13.67
2021-05-11,11.84
2021-05-12,12.139999
2021-05-13,12.04
2021-05-14,10.2699995
2021-05-15,11.04
2021-05-16,11.25
2021-05-17,12.53
2021-05-18,11.15
2021-05-19,12.469999
2021-05-20,10.19
2021-05-21,11.65
2021-05-22,11.5199995
2021-05-23,9.42
2021-05-24,10.95
2021-05-25,10.71
2021-05-26,10.74
2021-05-27,12.67
2021-05-28,13.37
2021-05-29,14.929999
2021-05-30,13.59
2021-05-31,15.46
2021-06-01,17.55
2021-06-02,19.38
2021-06-03,18.47
2021-06-04,14.5
2021-06-05,15.639999
2021-06-06,16.18
2021-06-07,16.56
2021-06-08,16.68
2021-06-09,17.43
2021-06-10,18.51
2021-06-11,18.83
2021-06-12,18.19
2021-06-13,18.98
2021-06-14,20.789999
2021-06-15,18.38
2021-06-16,20.93
2021-06-17,19.789999
2021-06-18,16.13
2021-06-19,14.139999
2021-06-20,15.339999
2021-06-21,13.009999
2021-06-22,14.23
2021-06-23,13.71
2021-06-24,14.509999
2021-06-25,17.19
2021-06-26,16.699999
2021-06-27,17.449999
2021-06-28,17.109999
2021-06-29,16.22
2021-06-30,14.889999
2021-07-01,15.2699995
2021-07-02,18.26
2021-07-03,18.32
2021-07-04,18.01
2021-07-05,16.9
2021-07-06,16.43
2021-07-07,16.289999
2021-07-08,17.109999
2021-07-09,17.9
2021-07-10,16.0
2021-07-11,16.19
2021-07-12,17.49
2021-07-13,18.27
2021-07-14,18.59
2021-07-15,17.869999
2021-07-16,17.83
2021-07-17,19.73
2021-07-18,21.59
2021-07-19,21.93
2021-07-20,22.109999
2021-07-21,22.22
