time,LU000
2021-01-01,-0.52
2021-01-02,2.82
2021-01-03,2.8333333
2021-01-04,2.7233334
2021-01-05,2.8100002
2021-01-06,2.4233332
2021-01-07,-2.3899999
2021-01-08,-0.25333333
2021-01-09,0.38333333
2021-01-10,0.81333333
2021-01-11,5.7166667
2021-01-12,8.336666
2021-01-13,6.97
2021-01-14,9.036667
2021-01-15,1.7933334
2021-01-16,4.5166664
2021-01-17,5.94
2021-01-18,5.146667
2021-01-19,9.61
2021-01-20,9.759999
2021-01-21,4.986666
2021-01-22,3.7466667
2021-01-23,1.5099999
2021-01-24,-0.29333332
2021-01-25,1.3
2021-01-26,3.2299998
2021-01-27,8.123333
2021-01-28,10.153334
2021-01-29,9.586666
2021-01-30,6.1433334
2021-01-31,0.89333326
2021-02-01,3.0233333
2021-02-02,8.16
2021-02-03,8.136666
2021-02-04,6.863333
2021-02-05,7.2066665
2021-02-06,3.78
2021-02-07,2.6633332
2021-02-08,0.7
2021-02-09,-0.42
2021-02-10,0.11333334
2021-02-11,-1.8133332
2021-02-12,0.95
2021-02-13,-1.36
2021-02-14,3.33
2021-02-15,8.57
2021-02-16,9.973333
2021-02-17,8.243333
2021-02-18,9.0199995
2021-02-19,7.2166667
2021-02-20,11.283333
2021-02-21,10.256667
2021-02-22,9.116666
2021-02-23,8.463333
2021-02-24,12.703334
2021-02-25,9.076667
2021-02-26,5.7599998
2021-02-27,5.613333
2021-02-28,6.2000003
2021-03-01,5.6966667
2021-03-02,4.2333336
2021-03-03,6.206667
2021-03-04,5.65
2021-03-05,3.95
2021-03-06,2.4033334
2021-03-07,1.8433332
2021-03-08,3.993333
2021-03-09,5.013333
2021-03-10,8.346667
2021-03-11,9.283334
2021-03-12,7.0833335
2021-03-13,6.86
2021-03-14,6.953333
2021-03-15,9.649999
2021-03-16,9.826667
2021-03-17,6.4066663
2021-03-18,6.1800003
2021-03-19,8.846665
2021-03-20,7.293333
2021-03-21,8.413333
2021-03-22,6.123333
2021-03-23,7.31
2021-03-24,8.74
2021-03-25,7.4466667
2021-03-26,9.3133335
2021-03-27,7.1
2021-03-28,10.176667
2021-03-29,12.126666
2021-03-30,12.186666
2021-03-31,13.799999
2021-04-01,10.723332
2021-04-02,7.386667
2021-04-03,5.773333
2021-04-04,6.58
2021-04-05,6.3333335
2021-04-06,2.5533333
2021-04-07,2.2033331
2021-04-08,6.31
2021-04-09,6.563333
2021-04-10,5.9433327
2021-04-11,4.1
2021-04-12,4.5399995
2021-04-13,6.0033336
2021-04-14,6.5533333
2021-04-15,5.0333333
