time,LV006
2021-01-01,-1.4457142
2021-01-02,2.172857
2021-01-03,2.1014285
2021-01-04,2.56
2021-01-05,2.5057144
2021-01-06,2.1271427
2021-01-07,-2.3185713
2021-01-08,-0.5385714
2021-01-09,-0.13285713
2021-01-10,0.9457143
2021-01-11,5.327143
2021-01-12,8.187142
2021-01-13,6.3485713
2021-01-14,9.112857
2021-01-15,1.1800001
2021-01-16,4.2314286
2021-01-17,5.4357142
2021-01-18,4.428571
2021-01-19,8.761429
2021-01-20,9.744286
2021-01-21,4.8685713
2021-01-22,3.2542856
2021-01-23,1.2571428
2021-01-24,-0.29714283
2021-01-25,0.55428565
2021-01-26,2.5571425
2021-01-27,7.5485716
2021-01-28,10.037142
2021-01-29,9.462858
2021-01-30,5.555714
2021-01-31,0.47285715
2021-02-01,2.3785713
2021-02-02,7.345714
2021-02-03,8.245714
2021-02-04,5.8628573
2021-02-05,6.798571
2021-02-06,3.0985713
2021-02-07,2.5085714
2021-02-08,-0.3457143
2021-02-09,-0.63285714
2021-02-10,-0.14999999
2021-02-11,-1.9271429
2021-02-12,0.08714286
2021-02-13,-1.6342857
2021-02-14,2.0171428
2021-02-15,7.7157145
2021-02-16,9.662857
2021-02-17,8.4728565
2021-02-18,8.952857
2021-02-19,6.508571
2021-02-20,10.765714
2021-02-21,10.347143
2021-02-22,8.6285715
2021-02-23,7.602857
2021-02-24,12.627143
2021-02-25,9.358572
2021-02-26,5.8499994
2021-02-27,5.672857
2021-02-28,6.1485715
2021-03-01,5.785714
2021-03-02,4.342857
2021-03-03,6.1199994
2021-03-04,4.8328576
2021-03-05,3.912857
2021-03-06,2.3799999
2021-03-07,2.2385714
2021-03-08,4.41
2021-03-09,5.527143
2021-03-10,7.635714
2021-03-11,9.1757145
2021-03-12,6.897143
2021-03-13,7.0214286
2021-03-14,6.5499997
2021-03-15,9.735715
2021-03-16,10.428572
2021-03-17,6.4928565
2021-03-18,6.4814286
2021-03-19,8.221428
2021-03-20,7.3171425
2021-03-21,8.435714
2021-03-22,6.465714
2021-03-23,7.0
2021-03-24,8.258571
2021-03-25,7.1414285
2021-03-26,9.04
2021-03-27,6.6085715
2021-03-28,9.901428
2021-03-29,12.389999
2021-03-30,12.085714
2021-03-31,14.002856
2021-04-01,10.501428
2021-04-02,7.0799994
2021-04-03,5.84
2021-04-04,6.758571
2021-04-05,6.4971423
2021-04-06,2.5357144
2021-04-07,1.6657143
2021-04-08,6.468571
2021-04-09,7.0242853
2021-04-10,5.3185716
2021-04-11,4.108571
2021-04-12,4.62
2021-04-13,5.837143
2021-04-14,6.6885715
2021-04-15,4.7471423
2021-04-16,4.5099998
2021-04-17,5.77
2021-04-18,7.115714
2021-04-19,8.081428
2021-04-20,9.135715
2021-04-21,9.927142
2021-04-22,7.8142858
2021-04-23,9.108571
2021-04-24,9.974286
2021-04-25,8.477142
2021-04-26,7.1914287
2021-04-27,8.04
2021-04-28,6.931428
2021-04-29,5.548571
2021-04-30,6.3114285
2021-05-01,5.6242857
2021-05-02,6.93
2021-05-03,7.747143
2021-05-04,9.524285
2021-05-05,6.4057136
2021-05-06,6.5542855
2021-05-07,7.6385713
2021-05-08,10.105714
2021-05-09,14.195714
2021-05-10,12.0128565
2021-05-11,10.287142
2021-05-12,10.877143
2021-05-13,10.820001
2021-05-14,10.921428
2021-05-15,11.185715
2021-05-16,10.328572
2021-05-17,12.367142
2021-05-18,10.422857
2021-05-19,11.731429
2021-05-20,9.792857
2021-05-21,10.137143
2021-05-22,11.305715
2021-05-23,8.214285
2021-05-24,8.622857
2021-05-25,10.384286
2021-05-26,10.591429
2021-05-27,12.08
2021-05-28,13.098572
2021-05-29,16.057142
2021-05-30,13.415715
2021-05-31,14.8242855
2021-06-01,17.522856
2021-06-02,18.472857
2021-06-03,15.315713
2021-06-04,14.650001
2021-06-05,14.339999
2021-06-06,16.87143
2021-06-07,16.03857
2021-06-08,14.935715
2021-06-09,15.801429
2021-06-10,18.344286
2021-06-11,18.449999
2021-06-12,17.039999
2021-06-13,18.710001
2021-06-14,19.265715
2021-06-15,17.494286
2021-06-16,18.545715
2021-06-17,18.697144
2021-06-18,14.264285
2021-06-19,12.861428
2021-06-20,14.098572
2021-06-21,12.3242855
2021-06-22,13.2771435
2021-06-23,13.434285
2021-06-24,15.602857
2021-06-25,15.884286
2021-06-26,14.365714
2021-06-27,16.114285
2021-06-28,16.005713
2021-06-29,15.784286
2021-06-30,15.795713
2021-07-01,17.259998
2021-07-02,17.69
2021-07-03,17.741428
2021-07-04,17.279999
2021-07-05,15.599999
2021-07-06,14.849999
2021-07-07,16.734285
2021-07-08,17.192858
2021-07-09,16.495714
2021-07-10,15.484285
2021-07-11,14.251428
2021-07-12,16.825714
2021-07-13,17.887142
2021-07-14,18.465714
2021-07-15,17.699999
2021-07-16,19.178572
2021-07-17,21.399998
2021-07-18,22.387142
2021-07-19,23.009998
2021-07-20,23.311428
2021-07-21,22.782856
2021-07-22,22.67
2021-07-23,20.964285
2021-07-24,18.338572
2021-07-25,18.341427
2021-07-26,19.16
2021-07-27,18.63
2021-07-28,16.679998
2021-07-29,16.015715
2021-07-30,15.854285
2021-07-31,16.707142
2021-08-01,16.054285
2021-08-02,15.457143
2021-08-03,14.872857
2021-08-04,16.45857
2021-08-05,15.452857
2021-08-06,17.27
2021-08-07,15.485713
2021-08-08,15.451429
2021-08-09,16.027142
2021-08-10,16.54143
2021-08-11,16.369999
2021-08-12,17.13857
2021-08-13,16.405714
2021-08-14,16.985714
2021-08-15,17.19
2021-08-16,15.114285
2021-08-17,15.758571
2021-08-18,17.231428
2021-08-19,16.365713
2021-08-20,17.03143
2021-08-21,17.762857
2021-08-22,17.84
2021-08-23,16.829998
2021-08-24,16.355715
2021-08-25,16.065714
2021-08-26,16.91
2021-08-27,13.282857
2021-08-28,14.664285
2021-08-29,14.198571
2021-08-30,15.011428
2021-08-31,14.808572
2021-09-01,15.318571
2021-09-02,15.904286
2021-09-03,16.984285
2021-09-04,15.861428
2021-09-05,18.768572
2021-09-06,20.29714
2021-09-07,21.70143
2021-09-08,21.050001
2021-09-09,18.395716
2021-09-10,18.23
2021-09-11,17.967142
2021-09-12,14.931428
