time,ME000
2021-01-01,2.1285713
2021-01-02,3.3899999
2021-01-03,2.5771427
2021-01-04,3.2728572
2021-01-05,3.6257138
2021-01-06,4.2914286
2021-01-07,1.6471428
2021-01-08,2.422857
2021-01-09,1.5299997
2021-01-10,2.6514285
2021-01-11,6.848571
2021-01-12,9.367143
2021-01-13,9.307143
2021-01-14,9.995713
2021-01-15,5.6528573
2021-01-16,7.1842856
2021-01-17,7.52
2021-01-18,7.241428
2021-01-19,10.614286
2021-01-20,9.8
2021-01-21,6.2157145
2021-01-22,4.765714
2021-01-23,3.6257145
2021-01-24,2.715714
2021-01-25,3.5642855
2021-01-26,5.3642855
2021-01-27,10.037142
2021-01-28,11.32
2021-01-29,10.841428
2021-01-30,9.172857
2021-01-31,6.344285
2021-02-01,6.4642863
2021-02-02,9.53
2021-02-03,8.784286
2021-02-04,9.379999
2021-02-05,7.8199997
2021-02-06,5.23
2021-02-07,3.8042858
2021-02-08,1.8814285
2021-02-09,0.44571427
2021-02-10,0.75285715
2021-02-11,0.8385714
2021-02-12,3.1842859
2021-02-13,2.93
2021-02-14,6.8328567
2021-02-15,10.407144
2021-02-16,10.26
2021-02-17,9.241429
2021-02-18,8.721429
2021-02-19,8.797143
2021-02-20,10.931428
2021-02-21,9.628571
2021-02-22,8.54
2021-02-23,9.79
2021-02-24,11.858572
2021-02-25,8.904286
2021-02-26,6.357143
2021-02-27,6.737143
2021-02-28,7.169999
2021-03-01,6.5442853
2021-03-02,6.7114286
2021-03-03,8.188572
2021-03-04,7.4185715
2021-03-05,5.5114284
2021-03-06,3.9571424
2021-03-07,2.937143
2021-03-08,3.932857
2021-03-09,5.238571
2021-03-10,9.027143
2021-03-11,9.461428
2021-03-12,7.1585717
2021-03-13,6.9900002
2021-03-14,7.9942856
2021-03-15,10.647142
2021-03-16,11.197143
2021-03-17,8.681428
2021-03-18,7.5099998
2021-03-19,9.418571
2021-03-20,7.8542857
2021-03-21,8.887143
2021-03-22,7.72
2021-03-23,8.431429
2021-03-24,9.747142
2021-03-25,8.698571
2021-03-26,9.462857
2021-03-27,7.7342863
2021-03-28,9.952857
2021-03-29,12.634286
2021-03-30,14.070001
2021-03-31,13.2228565
2021-04-01,13.945715
2021-04-02,9.88
2021-04-03,7.8785715
2021-04-04,7.4957137
2021-04-05,7.574285
2021-04-06,5.0828567
2021-04-07,5.15
2021-04-08,7.5800004
2021-04-09,7.1542854
2021-04-10,8.147142
2021-04-11,5.452857
2021-04-12,6.4228563
2021-04-13,7.1742854
2021-04-14,7.397143
2021-04-15,6.948571
2021-04-16,7.257142
2021-04-17,7.5842853
2021-04-18,7.984285
2021-04-19,8.46
2021-04-20,10.644285
2021-04-21,11.151428
2021-04-22,9.602858
2021-04-23,11.212857
2021-04-24,12.2228565
2021-04-25,10.37
2021-04-26,9.589998
2021-04-27,9.147142
2021-04-28,8.977143
2021-04-29,8.011429
2021-04-30,6.768571
2021-05-01,6.7914286
2021-05-02,7.6714287
2021-05-03,8.612857
2021-05-04,9.93
2021-05-05,8.214285
2021-05-06,8.421429
2021-05-07,7.227143
2021-05-08,11.097143
2021-05-09,12.791429
2021-05-10,11.421428
2021-05-11,10.594286
2021-05-12,11.08
2021-05-13,9.651428
2021-05-14,11.045714
2021-05-15,10.928572
2021-05-16,11.635714
2021-05-17,10.935714
2021-05-18,10.735715
2021-05-19,11.561429
2021-05-20,11.667143
2021-05-21,10.504286
2021-05-22,10.632857
2021-05-23,8.645714
2021-05-24,8.931428
2021-05-25,10.651429
2021-05-26,11.2628565
2021-05-27,10.531428
2021-05-28,13.724286
2021-05-29,15.765714
2021-05-30,15.371429
2021-05-31,15.161429
2021-06-01,17.624285
2021-06-02,16.584284
2021-06-03,14.047143
2021-06-04,11.64857
2021-06-05,13.051428
2021-06-06,14.512857
2021-06-07,13.604286
2021-06-08,13.734285
2021-06-09,14.674286
2021-06-10,16.267141
2021-06-11,16.27
2021-06-12,15.948571
2021-06-13,17.33
2021-06-14,17.289999
2021-06-15,14.988571
2021-06-16,15.292857
2021-06-17,15.315713
2021-06-18,14.944284
2021-06-19,14.237143
2021-06-20,15.058572
2021-06-21,13.1614275
2021-06-22,13.428571
2021-06-23,14.457144
2021-06-24,15.621428
2021-06-25,14.89857
2021-06-26,13.192857
2021-06-27,14.57857
2021-06-28,15.798572
2021-06-29,15.882857
2021-06-30,16.618572
2021-07-01,16.465714
2021-07-02,14.897142
2021-07-03,16.485714
2021-07-04,16.155714
2021-07-05,14.035714
2021-07-06,13.891428
2021-07-07,15.468572
2021-07-08,15.59857
2021-07-09,15.041428
2021-07-10,15.582856
2021-07-11,14.261429
2021-07-12,15.525714
2021-07-13,17.422857
2021-07-14,17.647142
2021-07-15,18.184286
2021-07-16,18.538572
2021-07-17,20.585714
2021-07-18,20.428572
2021-07-19,21.255713
2021-07-20,20.949999
2021-07-21,21.199999
2021-07-22,22.23714
2021-07-23,20.059998
2021-07-24,18.057142
2021-07-25,18.630001
2021-07-26,17.315714
2021-07-27,17.347141
2021-07-28,16.274286
2021-07-29,15.932857
2021-07-30,15.441429
2021-07-31,16.531427
2021-08-01,16.092855
2021-08-02,13.981428
2021-08-03,14.597143
2021-08-04,15.564285
2021-08-05,16.114285
2021-08-06,16.205715
2021-08-07,15.305715
2021-08-08,15.572856
2021-08-09,15.895714
2021-08-10,16.017141
2021-08-11,16.182858
2021-08-12,16.277142
2021-08-13,16.598572
2021-08-14,16.664286
2021-08-15,16.165714
2021-08-16,15.112856
2021-08-17,15.565714
2021-08-18,15.682857
2021-08-19,16.411427
2021-08-20,17.77
2021-08-21,17.035715
2021-08-22,16.62857
2021-08-23,16.78143
2021-08-24,16.802856
2021-08-25,16.871428
2021-08-26,16.73
2021-08-27,15.838572
2021-08-28,16.042858
2021-08-29,16.464285
2021-08-30,15.978572
2021-08-31,15.88857
2021-09-01,15.482857
2021-09-02,15.557143
2021-09-03,16.348572
2021-09-04,16.751429
2021-09-05,17.662857
2021-09-06,20.085712
2021-09-07,21.672855
2021-09-08,19.121428
2021-09-09,18.217144
2021-09-10,17.341429
2021-09-11,16.422855
2021-09-12,15.084285
2021-09-13,15.628571
2021-09-14,16.984285
2021-09-15,15.845713
2021-09-16,15.5957155
2021-09-17,16.414286
2021-09-18,16.192856
2021-09-19,14.7300005
2021-09-20,14.131429
2021-09-21,14.705714
2021-09-22,14.962857
2021-09-23,15.387143
2021-09-24,15.7371435
2021-09-25,16.085714
2021-09-26,16.33
2021-09-27,13.842856
2021-09-28,13.321428
2021-09-29,11.707143
2021-09-30,12.628571
2021-10-01,14.504285
2021-10-02,11.504286
2021-10-03,12.308572
2021-10-04,12.861428
2021-10-05,12.76
2021-10-06,13.297143
2021-10-07,16.305714
2021-10-08,16.34857
2021-10-09,15.077143
2021-10-10,14.775714
2021-10-11,12.165713
2021-10-12,12.219999
2021-10-13,12.844285
2021-10-14,12.928572
2021-10-15,12.72857
2021-10-16,13.537141
2021-10-17,14.389999
2021-10-18,14.059999
2021-10-19,16.532856
2021-10-20,14.489999
2021-10-21,10.338571
2021-10-22,9.285714
2021-10-23,11.112857
2021-10-24,13.727142
2021-10-25,14.268571
2021-10-26,13.037142
2021-10-27,15.327143
2021-10-28,14.345714
2021-10-29,12.954286
2021-10-30,10.811429
2021-10-31,11.674285
2021-11-01,10.729999
2021-11-02,8.395714
2021-11-03,7.238571
2021-11-04,7.998572
2021-11-05,8.171428
2021-11-06,10.3242855
2021-11-07,11.422857
2021-11-08,10.372857
2021-11-09,13.548572
2021-11-10,12.181428
2021-11-11,11.261429
2021-11-12,11.965714
2021-11-13,12.284286
2021-11-14,12.082857
2021-11-15,10.8242855
2021-11-16,10.94
2021-11-17,11.181428
2021-11-18,11.082857
2021-11-19,11.192858
2021-11-20,10.248571
2021-11-21,7.714286
2021-11-22,6.6242857
2021-11-23,6.8285713
2021-11-24,6.9471426
2021-11-25,6.767143
2021-11-26,7.234285
2021-11-27,5.3499994
2021-11-28,4.998571
2021-11-29,5.0
2021-11-30,9.94
2021-12-01,9.205714
2021-12-02,5.5342855
2021-12-03,7.1485715
2021-12-04,7.265714
2021-12-05,6.6028566
2021-12-06,7.474285
2021-12-07,7.8714285
2021-12-08,5.908571
2021-12-09,7.3514285
2021-12-10,8.052857
2021-12-11,7.998571
2021-12-12,11.937142
2021-12-13,10.784286
2021-12-14,10.219999
2021-12-15,10.2699995
2021-12-16,9.164285
2021-12-17,9.18
2021-12-18,8.151428
2021-12-19,6.867143
2021-12-20,6.1214285
2021-12-21,6.778571
2021-12-22,6.0214286
2021-12-23,9.704286
2021-12-24,9.974284
2021-12-25,11.068571
2021-12-26,11.192857
2021-12-27,10.04
2021-12-28,10.4657135
2021-12-29,10.769999
2021-12-30,12.834285
2021-12-31,13.39857
