time,MK006
2021-01-01,1.3199999
2021-01-02,-1.85
2021-01-03,0.62749994
2021-01-04,1.4649999
2021-01-05,1.6899999
2021-01-06,0.94500005
2021-01-07,-2.105
2021-01-08,-0.8375
2021-01-09,-3.375
2021-01-10,1.56
2021-01-11,5.08
2021-01-12,1.4074999
2021-01-13,-0.37
2021-01-14,2.81
2021-01-15,0.45
2021-01-16,4.115
2021-01-17,3.7274997
2021-01-18,3.8825
2021-01-19,3.44
2021-01-20,2.0175
2021-01-21,1.7024999
2021-01-22,1.905
2021-01-23,-1.8874999
2021-01-24,-2.36
2021-01-25,0.049999997
2021-01-26,0.8874999
2021-01-27,3.0774999
2021-01-28,2.5575
2021-01-29,3.1625
2021-01-30,1.7724999
2021-01-31,-0.6525
2021-02-01,0.5175
2021-02-02,1.2874999
2021-02-03,2.665
2021-02-04,3.4049997
2021-02-05,2.9624999
2021-02-06,2.165
2021-02-07,-0.072500005
2021-02-08,-1.0625
2021-02-09,-1.0975
2021-02-10,-1.995
2021-02-11,-1.9199998
2021-02-12,-1.7225
2021-02-13,-0.975
2021-02-14,2.0125
2021-02-15,6.7074995
2021-02-16,7.4775
2021-02-17,5.085
2021-02-18,5.2099996
2021-02-19,5.2
2021-02-20,8.205
2021-02-21,7.0924997
2021-02-22,5.2349997
2021-02-23,5.2125
2021-02-24,7.7549996
2021-02-25,5.53
2021-02-26,3.49
2021-02-27,6.1099997
2021-02-28,5.2875
2021-03-01,4.2925
2021-03-02,2.9275002
2021-03-03,0.91999996
2021-03-04,2.5749998
2021-03-05,1.9275
2021-03-06,1.395
2021-03-07,3.975
2021-03-08,5.9399996
2021-03-09,6.165
2021-03-10,6.3974996
2021-03-11,5.305
2021-03-12,3.81
2021-03-13,3.225
2021-03-14,4.3575
2021-03-15,6.1075
2021-03-16,8.925
2021-03-17,6.4674997
2021-03-18,7.8849998
2021-03-19,7.9099994
2021-03-20,7.88
2021-03-21,6.2325
2021-03-22,5.31
2021-03-23,7.0499997
2021-03-24,6.365
2021-03-25,6.6775002
2021-03-26,6.08
2021-03-27,3.5
2021-03-28,7.6549997
2021-03-29,10.217501
2021-03-30,9.78
2021-03-31,7.9125
2021-04-01,5.125
2021-04-02,4.0525
2021-04-03,5.5125
2021-04-04,5.325
2021-04-05,1.6825
2021-04-06,0.99749994
2021-04-07,1.2774999
2021-04-08,4.5074997
2021-04-09,3.1349998
2021-04-10,0.16499999
2021-04-11,0.82
2021-04-12,1.6099999
2021-04-13,2.7925
2021-04-14,4.3849998
2021-04-15,4.9449997
2021-04-16,4.4275
2021-04-17,5.0249996
2021-04-18,5.16
2021-04-19,8.929999
2021-04-20,7.9325
2021-04-21,6.9275
2021-04-22,5.7275
2021-04-23,6.8199997
2021-04-24,8.134999
2021-04-25,5.9574995
2021-04-26,5.6074996
2021-04-27,6.08
2021-04-28,5.3549995
2021-04-29,3.385
2021-04-30,4.4174995
2021-05-01,3.5299997
2021-05-02,4.215
2021-05-03,4.2
2021-05-04,5.305
2021-05-05,5.6375
2021-05-06,2.46
2021-05-07,4.665
2021-05-08,5.265
2021-05-09,8.845
2021-05-10,9.8725
2021-05-11,10.049999
2021-05-12,7.6775
2021-05-13,6.6775002
2021-05-14,8.04
2021-05-15,7.7700005
2021-05-16,8.595
2021-05-17,8.9275
2021-05-18,8.035
2021-05-19,7.6225
2021-05-20,7.6699996
2021-05-21,8.932499
2021-05-22,6.7825003
2021-05-23,5.7149997
2021-05-24,7.2324996
2021-05-25,7.882499
2021-05-26,9.2575
2021-05-27,9.67
2021-05-28,9.287499
2021-05-29,13.5075
2021-05-30,12.879999
2021-05-31,12.557499
2021-06-01,13.804999
2021-06-02,13.445
2021-06-03,13.032499
2021-06-04,12.309999
2021-06-05,11.657499
2021-06-06,13.4625
2021-06-07,12.8675
2021-06-08,13.4625
2021-06-09,14.869999
2021-06-10,15.4125
2021-06-11,14.334999
2021-06-12,12.679999
2021-06-13,15.724999
2021-06-14,13.164999
2021-06-15,10.947499
2021-06-16,13.79
2021-06-17,13.322499
2021-06-18,9.9625
2021-06-19,11.8
2021-06-20,12.79
2021-06-21,11.7925
2021-06-22,10.0475
2021-06-23,12.5275
2021-06-24,15.674999
2021-06-25,11.1325
2021-06-26,11.4325
2021-06-27,13.514999
2021-06-28,14.535
2021-06-29,15.1725
2021-06-30,13.327499
2021-07-01,12.6525
2021-07-02,13.84
2021-07-03,14.474999
2021-07-04,15.9425
2021-07-05,14.049999
2021-07-06,11.705
2021-07-07,14.482499
2021-07-08,12.952499
2021-07-09,14.8475
2021-07-10,14.8175
2021-07-11,15.974999
2021-07-12,15.9375
2021-07-13,15.66
2021-07-14,16.0
2021-07-15,16.5875
2021-07-16,17.1925
2021-07-17,18.390001
2021-07-18,17.4225
2021-07-19,17.842499
2021-07-20,18.187498
2021-07-21,19.164999
2021-07-22,18.505
2021-07-23,18.525
2021-07-24,16.395
2021-07-25,14.639999
2021-07-26,15.445
2021-07-27,15.804999
2021-07-28,14.7775
2021-07-29,14.532499
2021-07-30,14.61
2021-07-31,13.889999
2021-08-01,12.697499
2021-08-02,10.754999
2021-08-03,12.424999
2021-08-04,14.247499
2021-08-05,14.394999
2021-08-06,14.6425
2021-08-07,13.882501
2021-08-08,14.5275
2021-08-09,13.842499
2021-08-10,14.23
2021-08-11,13.827499
2021-08-12,12.5925
2021-08-13,14.032499
2021-08-14,13.775
2021-08-15,13.3025
2021-08-16,13.665
2021-08-17,14.9574995
2021-08-18,14.809999
2021-08-19,13.1925
2021-08-20,13.76
2021-08-21,15.422499
2021-08-22,15.955
2021-08-23,15.635
2021-08-24,15.620001
2021-08-25,15.635
2021-08-26,14.4025
2021-08-27,13.327499
2021-08-28,12.049999
2021-08-29,12.1925
2021-08-30,13.0475
2021-08-31,12.715
2021-09-01,12.905
2021-09-02,12.76
2021-09-03,11.93
2021-09-04,12.775
2021-09-05,13.595
2021-09-06,16.02
2021-09-07,17.8725
2021-09-08,17.414999
2021-09-09,15.5175
2021-09-10,15.4875
2021-09-11,15.25
2021-09-12,11.0824995
2021-09-13,11.874999
2021-09-14,13.16
2021-09-15,13.495
2021-09-16,12.725
2021-09-17,14.275
2021-09-18,12.9025
2021-09-19,12.997499
2021-09-20,9.9625
2021-09-21,12.41
2021-09-22,14.5425
2021-09-23,13.179999
2021-09-24,14.615
2021-09-25,14.827499
2021-09-26,15.3875
2021-09-27,10.987499
2021-09-28,8.9725
2021-09-29,7.985
2021-09-30,8.445
2021-10-01,10.3575
2021-10-02,8.2475
2021-10-03,8.1325
2021-10-04,9.662499
2021-10-05,6.8349996
2021-10-06,8.9275
2021-10-07,12.9675
2021-10-08,14.92
2021-10-09,13.5824995
2021-10-10,9.184999
2021-10-11,9.987499
2021-10-12,10.209999
2021-10-13,11.2575
2021-10-14,11.2675
2021-10-15,6.8574996
2021-10-16,6.5525
2021-10-17,11.005
2021-10-18,12.3225
2021-10-19,13.102501
2021-10-20,10.15
2021-10-21,5.7174997
2021-10-22,8.094999
2021-10-23,8.287499
2021-10-24,11.795
2021-10-25,9.605
2021-10-26,8.742499
2021-10-27,13.125
2021-10-28,11.622499
2021-10-29,9.495
2021-10-30,7.6974998
2021-10-31,5.66
2021-11-01,6.6975
2021-11-02,6.0449996
2021-11-03,4.7374997
2021-11-04,4.2474995
2021-11-05,5.865
2021-11-06,10.307499
2021-11-07,8.067499
2021-11-08,7.2099996
2021-11-09,10.0275
2021-11-10,6.4875
2021-11-11,6.75
2021-11-12,9.235
2021-11-13,8.6475
2021-11-14,6.6074996
2021-11-15,9.084999
2021-11-16,6.99
2021-11-17,5.875
2021-11-18,10.3025
2021-11-19,11.8949995
2021-11-20,9.6825
2021-11-21,4.8124995
2021-11-22,2.705
2021-11-23,5.24
2021-11-24,5.2725
2021-11-25,2.3425002
2021-11-26,3.9524999
2021-11-27,1.7425001
2021-11-28,0.69
2021-11-29,1.4699999
2021-11-30,6.4
2021-12-01,4.9199996
2021-12-02,1.28
2021-12-03,3.2824998
2021-12-04,3.06
2021-12-05,3.275
2021-12-06,1.6075
2021-12-07,2.0249999
2021-12-08,3.6375
2021-12-09,2.0974998
2021-12-10,2.2649999
2021-12-11,4.1625
2021-12-12,6.8324995
2021-12-13,4.9525003
2021-12-14,5.175
2021-12-15,8.04
2021-12-16,7.4224997
2021-12-17,4.9525
2021-12-18,2.6374998
2021-12-19,1.9524999
2021-12-20,3.695
2021-12-21,1.81
2021-12-22,1.6999999
2021-12-23,3.85
2021-12-24,4.475
2021-12-25,1.8675
2021-12-26,2.48
2021-12-27,4.2925
2021-12-28,4.455
2021-12-29,3.7424998
2021-12-30,9.129999
2021-12-31,9.402499
