time,MT001
2021-01-01,2.854
2021-01-02,1.8399999
2021-01-03,0.83000004
2021-01-04,1.832
2021-01-05,2.8539999
2021-01-06,1.39
2021-01-07,0.376
2021-01-08,0.91999996
2021-01-09,-1.328
2021-01-10,2.2680001
2021-01-11,6.6940002
2021-01-12,5.014
2021-01-13,5.696
2021-01-14,7.6099997
2021-01-15,4.178
2021-01-16,5.3459997
2021-01-17,4.528
2021-01-18,5.4799995
2021-01-19,6.5839996
2021-01-20,4.0439997
2021-01-21,3.4
2021-01-22,1.806
2021-01-23,0.362
2021-01-24,0.45999998
2021-01-25,0.82800007
2021-01-26,3.4299998
2021-01-27,6.754
2021-01-28,7.578
2021-01-29,6.9919996
2021-01-30,3.712
2021-01-31,3.3240001
2021-02-01,3.442
2021-02-02,4.8359995
2021-02-03,6.6619997
2021-02-04,7.082
2021-02-05,5.628
2021-02-06,5.394
2021-02-07,3.1
2021-02-08,2.1419997
2021-02-09,0.9539999
2021-02-10,0.39000002
2021-02-11,0.712
2021-02-12,2.4659998
2021-02-13,2.684
2021-02-14,6.9199996
2021-02-15,8.851999
2021-02-16,9.662
2021-02-17,7.368
2021-02-18,5.918
2021-02-19,7.753999
2021-02-20,9.275999
2021-02-21,8.728001
2021-02-22,6.6080003
2021-02-23,8.469999
2021-02-24,10.1779995
2021-02-25,6.9439993
2021-02-26,5.9700003
2021-02-27,6.62
2021-02-28,6.8120003
2021-03-01,4.8339996
2021-03-02,4.428
2021-03-03,3.7919998
2021-03-04,4.674
2021-03-05,4.5080004
2021-03-06,3.492
2021-03-07,3.9880002
2021-03-08,6.9199996
2021-03-09,8.252
2021-03-10,8.775999
2021-03-11,6.5199995
2021-03-12,5.622
2021-03-13,4.848
2021-03-14,6.764
2021-03-15,9.190001
2021-03-16,10.6380005
2021-03-17,6.864
2021-03-18,9.0720005
2021-03-19,9.042
2021-03-20,8.792
2021-03-21,8.29
2021-03-22,8.226
2021-03-23,9.375999
2021-03-24,7.2979994
2021-03-25,8.91
2021-03-26,6.3380003
2021-03-27,5.8339996
2021-03-28,9.657999
2021-03-29,12.7699995
2021-03-30,13.007998
2021-03-31,9.832
2021-04-01,7.9899993
2021-04-02,6.8479996
2021-04-03,6.456
2021-04-04,6.192
2021-04-05,3.7379997
