time,NL113
2021-01-01,3.11
2021-01-02,1.912
2021-01-03,1.6159999
2021-01-04,2.892
2021-01-05,3.468
2021-01-06,1.466
2021-01-07,1.058
2021-01-08,1.4779999
2021-01-09,0.18400003
2021-01-10,3.2539997
2021-01-11,6.4659996
2021-01-12,4.738
2021-01-13,5.57
2021-01-14,7.264
2021-01-15,4.4339995
2021-01-16,6.328
2021-01-17,5.0080004
2021-01-18,5.2979994
2021-01-19,5.062
2021-01-20,3.1319997
2021-01-21,3.1720002
2021-01-22,2.208
2021-01-23,0.326
2021-01-24,0.302
2021-01-25,0.276
2021-01-26,3.204
2021-01-27,5.9839997
2021-01-28,7.172
2021-01-29,6.3919997
2021-01-30,3.7099998
2021-01-31,2.43
2021-02-01,2.7680001
2021-02-02,3.2039998
2021-02-03,4.798
2021-02-04,5.83
2021-02-05,5.3259993
2021-02-06,4.632
2021-02-07,2.546
2021-02-08,1.8879999
2021-02-09,0.70199996
2021-02-10,-0.23999998
2021-02-11,0.322
2021-02-12,2.8379998
2021-02-13,2.804
2021-02-14,6.41
2021-02-15,9.507999
2021-02-16,9.164
2021-02-17,6.3
2021-02-18,5.836
2021-02-19,7.2120004
2021-02-20,8.792
2021-02-21,8.394
2021-02-22,6.752
2021-02-23,8.97
2021-02-24,9.573999
2021-02-25,6.471999
2021-02-26,6.424
2021-02-27,7.7439995
2021-02-28,6.7559996
2021-03-01,5.064
2021-03-02,4.108
2021-03-03,3.7580001
2021-03-04,4.512
2021-03-05,3.7599998
2021-03-06,3.6799998
2021-03-07,4.388
2021-03-08,7.235999
2021-03-09,7.634
2021-03-10,7.872
2021-03-11,5.8819995
2021-03-12,5.0899997
2021-03-13,4.2879996
2021-03-14,6.186
2021-03-15,8.208
2021-03-16,9.376
2021-03-17,6.21
2021-03-18,8.228
2021-03-19,8.018
2021-03-20,8.098001
2021-03-21,8.221999
2021-03-22,8.16
2021-03-23,9.21
2021-03-24,7.1939993
2021-03-25,8.755999
2021-03-26,5.398
2021-03-27,4.9940004
2021-03-28,9.205999
2021-03-29,11.864
2021-03-30,12.746
2021-03-31,9.07
2021-04-01,7.2039995
2021-04-02,6.592
2021-04-03,6.9380007
2021-04-04,5.832
2021-04-05,2.8939998
2021-04-06,2.744
2021-04-07,4.344
2021-04-08,6.824
2021-04-09,4.632
2021-04-10,2.52
2021-04-11,2.2419999
2021-04-12,4.414
2021-04-13,6.258
2021-04-14,5.9299994
2021-04-15,7.088
2021-04-16,7.134
2021-04-17,8.353999
2021-04-18,8.39
2021-04-19,9.309999
2021-04-20,8.955999
2021-04-21,7.588
2021-04-22,8.843999
2021-04-23,7.9339995
2021-04-24,10.445999
2021-04-25,8.625999
2021-04-26,8.103999
2021-04-27,8.95
2021-04-28,7.322
2021-04-29,6.1260004
2021-04-30,5.6840005
2021-05-01,5.046
2021-05-02,5.7739997
2021-05-03,8.106
