time,NO092
2021-01-01,-1.4891667
2021-01-02,-1.0033333
2021-01-03,-0.23166668
2021-01-04,-0.32333335
2021-01-05,0.83666664
2021-01-06,1.1433333
2021-01-07,-0.29583332
2021-01-08,-0.55916667
2021-01-09,-1.7424998
2021-01-10,-2.415
2021-01-11,-1.9724998
2021-01-12,-2.1908333
2021-01-13,-1.3675
2021-01-14,-3.4374998
2021-01-15,-8.300834
2021-01-16,-10.412499
2021-01-17,-16.8575
2021-01-18,-15.608334
2021-01-19,-12.013332
2021-01-20,-6.3416667
2021-01-21,1.9
2021-01-22,3.4641669
2021-01-23,1.8108333
2021-01-24,2.285
2021-01-25,-0.28666666
2021-01-26,-0.46
2021-01-27,-0.7225
2021-01-28,-1.4766668
2021-01-29,-3.1825
2021-01-30,-3.9174998
2021-01-31,-4.021666
2021-02-01,-6.7466664
2021-02-02,-4.2833333
2021-02-03,0.09916667
2021-02-04,-3.3958333
2021-02-05,-7.879999
2021-02-06,-11.0824995
2021-02-07,-16.398333
2021-02-08,-12.904166
2021-02-09,-9.293333
2021-02-10,-11.571667
2021-02-11,-11.398334
2021-02-12,-12.219167
2021-02-13,-7.1941667
2021-02-14,-1.9566668
2021-02-15,-4.7450004
2021-02-16,-5.200833
2021-02-17,-4.57
2021-02-18,-10.039166
2021-02-19,-8.649166
2021-02-20,-0.45499995
2021-02-21,2.2208333
2021-02-22,3.0849998
2021-02-23,1.8216666
2021-02-24,5.8458333
2021-02-25,6.955833
2021-02-26,5.8025
2021-02-27,3.4883335
2021-02-28,2.165
2021-03-01,2.6166668
2021-03-02,3.466667
2021-03-03,1.7066668
2021-03-04,1.3433332
2021-03-05,-1.485
2021-03-06,-1.6649998
2021-03-07,0.23416668
2021-03-08,-1.8841667
2021-03-09,-3.6266663
2021-03-10,-2.391667
2021-03-11,-2.3258333
2021-03-12,3.4058332
2021-03-13,3.2499998
2021-03-14,4.1691666
2021-03-15,2.6233332
2021-03-16,2.5091665
2021-03-17,1.2625
2021-03-18,-0.0066666654
2021-03-19,-1.7366666
2021-03-20,-3.344166
2021-03-21,-0.120833315
2021-03-22,0.77000004
