time,NO0A2
2021-01-01,-0.5871429
2021-01-02,0.18714285
2021-01-03,0.58285713
2021-01-04,1.0814285
2021-01-05,2.2842858
2021-01-06,1.812857
2021-01-07,0.015714288
2021-01-08,0.34999996
2021-01-09,-0.1157143
2021-01-10,0.74571425
2021-01-11,0.021428572
2021-01-12,0.25714284
2021-01-13,-0.4857143
2021-01-14,-0.44
2021-01-15,-2.4514287
2021-01-16,-1.9742857
2021-01-17,-7.5657144
2021-01-18,-7.825714
2021-01-19,-4.782857
2021-01-20,1.0242857
2021-01-21,4.0457144
2021-01-22,4.955714
2021-01-23,1.2571429
2021-01-24,1.7971429
2021-01-25,0.7157143
2021-01-26,0.5142857
2021-01-27,0.08571427
2021-01-28,-0.047142856
2021-01-29,-0.31142858
2021-01-30,-1.1714286
2021-01-31,-1.5671428
2021-02-01,-3.3514287
2021-02-02,-2.2414286
2021-02-03,0.10428572
2021-02-04,-0.41571423
2021-02-05,-3.8699996
2021-02-06,-5.1557136
2021-02-07,-9.059999
2021-02-08,-9.242857
2021-02-09,-6.9457135
2021-02-10,-8.058572
2021-02-11,-6.165714
2021-02-12,-5.7699995
2021-02-13,-1.1485714
2021-02-14,-0.2042857
2021-02-15,-3.47
2021-02-16,-3.5657141
2021-02-17,-1.4685714
2021-02-18,-2.632857
2021-02-19,-1.3928572
2021-02-20,2.35
2021-02-21,3.5371425
2021-02-22,3.8471427
2021-02-23,4.5114284
2021-02-24,7.9199996
2021-02-25,9.001429
2021-02-26,6.342857
2021-02-27,4.35
2021-02-28,2.7057145
2021-03-01,3.2028568
2021-03-02,3.1014285
2021-03-03,2.1014285
2021-03-04,1.422857
2021-03-05,-0.21285716
2021-03-06,-0.18999997
2021-03-07,1.3299999
2021-03-08,-0.031428568
2021-03-09,-1.542857
2021-03-10,-0.74428564
2021-03-11,-0.5642857
2021-03-12,4.274286
2021-03-13,4.824285
2021-03-14,3.3628573
2021-03-15,3.4771426
2021-03-16,2.0114286
2021-03-17,1.8857144
2021-03-18,1.0157143
2021-03-19,-0.6828571
2021-03-20,-1.2371429
2021-03-21,2.7185712
2021-03-22,2.6771429
2021-03-23,4.278571
2021-03-24,4.7114286
2021-03-25,6.3285713
2021-03-26,6.23
2021-03-27,8.53
2021-03-28,5.734286
2021-03-29,7.6314282
2021-03-30,11.348572
2021-03-31,11.194285
2021-04-01,7.9485707
2021-04-02,3.7914288
2021-04-03,3.3885713
2021-04-04,3.6642857
2021-04-05,2.6771429
2021-04-06,2.0028572
2021-04-07,2.5671427
2021-04-08,4.08
2021-04-09,5.8314285
2021-04-10,4.8685713
2021-04-11,8.542857
2021-04-12,8.0199995
2021-04-13,4.4357142
2021-04-14,3.4614284
2021-04-15,3.4714284
2021-04-16,4.788571
2021-04-17,5.5285716
2021-04-18,7.838572
2021-04-19,7.5299997
2021-04-20,7.607143
2021-04-21,7.914286
2021-04-22,4.96
2021-04-23,4.8285713
2021-04-24,4.5342855
2021-04-25,2.66
2021-04-26,2.3385713
2021-04-27,4.3885713
2021-04-28,5.4300003
2021-04-29,9.139999
2021-04-30,6.6971426
2021-05-01,4.04
2021-05-02,5.5557137
2021-05-03,6.444286
2021-05-04,7.262857
2021-05-05,9.948571
2021-05-06,7.0499997
2021-05-07,5.768571
2021-05-08,6.247143
2021-05-09,11.104286
2021-05-10,17.581427
2021-05-11,19.414286
2021-05-12,18.602858
2021-05-13,14.94
2021-05-14,11.851428
2021-05-15,9.748571
2021-05-16,12.394285
2021-05-17,12.320001
2021-05-18,12.288571
2021-05-19,11.984285
2021-05-20,11.157143
2021-05-21,11.781427
2021-05-22,11.995714
2021-05-23,10.897143
2021-05-24,11.977142
2021-05-25,13.274285
2021-05-26,10.644285
2021-05-27,10.992857
2021-05-28,10.252858
2021-05-29,10.190001
2021-05-30,10.9657135
2021-05-31,11.352857
2021-06-01,12.421428
2021-06-02,15.432856
2021-06-03,14.647142
2021-06-04,15.86
2021-06-05,16.22
2021-06-06,15.3
2021-06-07,15.47857
2021-06-08,16.70143
2021-06-09,17.001429
2021-06-10,16.87
2021-06-11,17.707142
2021-06-12,16.205713
2021-06-13,15.081429
2021-06-14,15.53
2021-06-15,16.444286
2021-06-16,14.897141
2021-06-17,18.944286
2021-06-18,22.925716
2021-06-19,24.908571
2021-06-20,25.785715
2021-06-21,26.155714
2021-06-22,23.411428
2021-06-23,18.960001
2021-06-24,17.675714
2021-06-25,18.538572
2021-06-26,17.455713
2021-06-27,17.795713
2021-06-28,18.28
2021-06-29,19.068571
