time,PL21A
2021-01-01,2.2814286
2021-01-02,4.022857
2021-01-03,1.7942857
2021-01-04,1.5321429
2021-01-05,-0.88642853
2021-01-06,-4.2049994
2021-01-07,-2.1971428
2021-01-08,-3.355
2021-01-09,0.33357143
2021-01-10,1.237857
2021-01-11,1.9142857
2021-01-12,3.345
2021-01-13,2.8121428
2021-01-14,3.207857
2021-01-15,-0.39142856
2021-01-16,-9.434999
2021-01-17,0.18999997
2021-01-18,-2.1264284
2021-01-19,-3.6921427
2021-01-20,-1.2335714
2021-01-21,1.3007143
2021-01-22,-4.747143
2021-01-23,-9.21
2021-01-24,-3.7085712
2021-01-25,-3.0885713
2021-01-26,-4.5442853
2021-01-27,0.09071428
2021-01-28,2.682857
2021-01-29,2.957143
2021-01-30,0.92142856
2021-01-31,1.0442857
2021-02-01,7.211429
2021-02-02,8.729286
2021-02-03,8.386428
2021-02-04,6.6014285
2021-02-05,3.8885713
2021-02-06,7.106429
2021-02-07,8.256429
2021-02-08,4.8335714
2021-02-09,7.4471426
2021-02-10,4.4792857
2021-02-11,2.5164282
2021-02-12,-3.0385716
2021-02-13,-10.578572
2021-02-14,-9.349999
2021-02-15,-3.9978573
2021-02-16,1.635
2021-02-17,2.9542859
2021-02-18,-4.817143
2021-02-19,-1.6107142
2021-02-20,-4.964286
2021-02-21,-1.4757143
2021-02-22,-1.9842856
2021-02-23,11.757142
2021-02-24,8.622144
2021-02-25,0.5807142
2021-02-26,3.7735715
2021-02-27,-3.1135714
2021-02-28,-3.1957142
2021-03-01,1.0921428
2021-03-02,2.7528572
2021-03-03,0.63714284
2021-03-04,3.1464286
2021-03-05,0.12071429
2021-03-06,-1.4828571
2021-03-07,6.588571
2021-03-08,2.1192856
2021-03-09,0.36071426
2021-03-10,1.1328571
2021-03-11,1.9085715
2021-03-12,-3.5092854
2021-03-13,-5.0814285
2021-03-14,-2.2757144
2021-03-15,-2.2035716
2021-03-16,-0.6478571
2021-03-17,5.562143
2021-03-18,1.8814286
2021-03-19,-1.2871428
2021-03-20,-5.6042857
2021-03-21,-0.5142857
2021-03-22,-0.71857136
2021-03-23,-5.403571
2021-03-24,-1.9842856
2021-03-25,-2.767857
2021-03-26,-1.0421429
2021-03-27,-3.297857
2021-03-28,-6.9435706
2021-03-29,-2.2235713
2021-03-30,-0.70071423
2021-03-31,1.6335714
2021-04-01,3.0392854
2021-04-02,1.0642856
2021-04-03,1.0892857
2021-04-04,0.5135714
2021-04-05,8.021428
2021-04-06,2.7414284
2021-04-07,5.468571
2021-04-08,7.1292853
2021-04-09,5.380714
2021-04-10,1.8814286
2021-04-11,3.0878568
2021-04-12,7.3114285
2021-04-13,-1.0785714
2021-04-14,0.33071426
2021-04-15,4.9049997
2021-04-16,9.232142
2021-04-17,13.662857
2021-04-18,12.67
2021-04-19,13.856429
2021-04-20,10.815714
