time,PT186
2021-01-01,12.889999
2021-01-02,10.256666
2021-01-03,11.179999
2021-01-04,12.806666
2021-01-05,10.959999
2021-01-06,9.103333
2021-01-07,10.7699995
2021-01-08,8.023334
2021-01-09,5.81
2021-01-10,5.1066666
2021-01-11,6.1766663
2021-01-12,8.626666
2021-01-13,7.19
2021-01-14,4.8033333
2021-01-15,3.293333
2021-01-16,4.463333
2021-01-17,3.2133331
2021-01-18,2.6666667
2021-01-19,0.5533333
2021-01-20,-0.77666664
2021-01-21,-0.07999999
2021-01-22,7.0966663
2021-01-23,8.876666
2021-01-24,12.523334
2021-01-25,11.896667
2021-01-26,7.3999996
2021-01-27,7.5400004
2021-01-28,6.486666
2021-01-29,4.08
2021-01-30,7.9233327
2021-01-31,9.23
2021-02-01,5.433333
2021-02-02,5.866667
2021-02-03,7.1200004
2021-02-04,8.83
2021-02-05,7.536667
2021-02-06,7.9599996
2021-02-07,7.103333
2021-02-08,9.233334
2021-02-09,13.433333
2021-02-10,12.446667
2021-02-11,12.493333
2021-02-12,7.2999997
2021-02-13,
2021-02-14,
2021-02-15,2.1399999
2021-02-16,-1.0566667
2021-02-17,-3.793333
2021-02-18,3.4733334
2021-02-19,-0.1
2021-02-20,-1.0033333
2021-02-21,3.3933334
2021-02-22,2.6466665
2021-02-23,5.3033333
2021-02-24,4.2233334
2021-02-25,7.2299995
2021-02-26,11.693333
2021-02-27,10.933333
2021-02-28,8.73
2021-03-01,3.3466666
2021-03-02,5.1666665
2021-03-03,3.43
2021-03-04,8.686667
2021-03-05,10.656667
2021-03-06,8.55
2021-03-07,2.0033333
2021-03-08,6.2999997
2021-03-09,5.8799996
2021-03-10,4.85
2021-03-11,3.8499997
2021-03-12,1.0466666
2021-03-13,3.263333
2021-03-14,4.923333
2021-03-15,10.776666
2021-03-16,9.59
2021-03-17,7.2099996
2021-03-18,6.42
2021-03-19,6.936666
2021-03-20,6.1166663
2021-03-21,6.513333
2021-03-22,7.5400004
2021-03-23,5.853333
2021-03-24,2.1866667
2021-03-25,3.1866665
2021-03-26,6.3199997
2021-03-27,7.056666
2021-03-28,8.543333
2021-03-29,7.6800003
2021-03-30,6.1266665
2021-03-31,5.513333
2021-04-01,9.136666
2021-04-02,11.576667
2021-04-03,9.463333
2021-04-04,10.023334
2021-04-05,7.5066667
2021-04-06,12.333333
2021-04-07,11.826667
2021-04-08,7.593333
2021-04-09,6.513334
2021-04-10,6.9533334
2021-04-11,6.316666
2021-04-12,7.5499997
2021-04-13,12.496666
2021-04-14,11.983333
2021-04-15,9.866666
2021-04-16,9.86
2021-04-17,9.183333
2021-04-18,12.453334
2021-04-19,13.313333
2021-04-20,12.973332
2021-04-21,12.546666
2021-04-22,12.29
2021-04-23,13.663333
2021-04-24,12.396667
2021-04-25,11.8
2021-04-26,13.313334
2021-04-27,13.536667
2021-04-28,11.116666
2021-04-29,13.3
2021-04-30,15.443333
2021-05-01,18.233332
2021-05-02,20.306665
2021-05-03,22.029999
2021-05-04,16.006666
2021-05-05,16.026667
2021-05-06,15.826667
2021-05-07,16.029999
2021-05-08,17.48
2021-05-09,13.4766655
2021-05-10,10.603333
2021-05-11,13.839999
2021-05-12,12.696666
2021-05-13,14.336667
2021-05-14,16.699999
2021-05-15,16.849998
2021-05-16,15.886666
2021-05-17,17.823334
2021-05-18,16.406666
2021-05-19,16.066668
2021-05-20,16.866667
2021-05-21,17.11
2021-05-22,17.033333
2021-05-23,18.63
2021-05-24,17.986666
2021-05-25,17.413332
2021-05-26,18.86
2021-05-27,20.193335
2021-05-28,18.996666
2021-05-29,19.83
2021-05-30,18.606667
2021-05-31,15.756667
2021-06-01,13.243333
2021-06-02,14.759999
2021-06-03,15.446667
2021-06-04,16.869999
2021-06-05,17.33
2021-06-06,16.606667
2021-06-07,17.923334
2021-06-08,18.64
2021-06-09,19.803331
2021-06-10,20.183332
2021-06-11,20.206667
2021-06-12,19.576666
2021-06-13,19.463333
2021-06-14,17.673332
2021-06-15,18.83
2021-06-16,19.336664
2021-06-17,18.29
2021-06-18,19.586668
2021-06-19,18.94
2021-06-20,20.326666
2021-06-21,21.586664
2021-06-22,21.116667
2021-06-23,21.286667
2021-06-24,23.556665
2021-06-25,24.653334
2021-06-26,25.089998
2021-06-27,23.923332
2021-06-28,23.043333
2021-06-29,23.883331
2021-06-30,24.623331
2021-07-01,24.37
2021-07-02,24.393333
2021-07-03,22.72
2021-07-04,21.113333
2021-07-05,22.876665
2021-07-06,22.793333
2021-07-07,22.26
2021-07-08,22.063334
2021-07-09,21.756666
2021-07-10,25.0
2021-07-11,26.126665
2021-07-12,23.08
2021-07-13,23.443335
2021-07-14,24.039999
2021-07-15,26.96
2021-07-16,26.166666
2021-07-17,26.44
2021-07-18,26.916666
2021-07-19,27.803331
2021-07-20,26.32
2021-07-21,23.906668
2021-07-22,22.57
2021-07-23,20.65
2021-07-24,22.756666
2021-07-25,23.809998
2021-07-26,24.01333
2021-07-27,26.326666
2021-07-28,27.366667
2021-07-29,27.406668
2021-07-30,25.363333
2021-07-31,26.11
2021-08-01,25.163332
2021-08-02,29.983332
2021-08-03,26.123331
2021-08-04,25.663332
2021-08-05,27.723333
2021-08-06,28.253332
2021-08-07,23.9
2021-08-08,23.199999
2021-08-09,25.503332
2021-08-10,26.836664
2021-08-11,26.269999
2021-08-12,26.183332
2021-08-13,23.793333
2021-08-14,23.226667
2021-08-15,22.603333
2021-08-16,24.449999
2021-08-17,25.126665
2021-08-18,24.143333
2021-08-19,22.166666
2021-08-20,20.283333
2021-08-21,22.97
2021-08-22,21.9
2021-08-23,21.156668
2021-08-24,23.199999
2021-08-25,25.656668
2021-08-26,23.519999
2021-08-27,24.033333
2021-08-28,22.076666
2021-08-29,24.566666
2021-08-30,23.669998
2021-08-31,21.980001
2021-09-01,21.349998
2021-09-02,20.339998
2021-09-03,17.383331
2021-09-04,20.289999
2021-09-05,20.933332
2021-09-06,18.193333
2021-09-07,17.57
2021-09-08,17.623333
2021-09-09,19.253334
2021-09-10,19.063332
2021-09-11,20.9
2021-09-12,20.85
2021-09-13,20.406668
2021-09-14,21.253332
2021-09-15,21.863333
2021-09-16,21.233334
2021-09-17,20.66
2021-09-18,22.769999
2021-09-19,21.89
2021-09-20,19.876665
2021-09-21,16.846666
2021-09-22,13.033333
2021-09-23,13.009999
2021-09-24,13.356667
2021-09-25,15.726666
2021-09-26,16.933332
2021-09-27,17.376667
2021-09-28,17.463333
2021-09-29,14.733334
2021-09-30,15.533333
2021-10-01,14.959999
2021-10-02,15.283333
2021-10-03,13.353333
2021-10-04,14.983334
2021-10-05,13.903333
2021-10-06,12.78
2021-10-07,14.256667
2021-10-08,15.086666
2021-10-09,16.836666
2021-10-10,14.71
2021-10-11,14.36
2021-10-12,15.293334
2021-10-13,15.856667
2021-10-14,13.446667
2021-10-15,14.386666
2021-10-16,14.463333
2021-10-17,15.033333
2021-10-18,14.896667
2021-10-19,11.893333
2021-10-20,13.236667
2021-10-21,13.829999
2021-10-22,16.796667
2021-10-23,16.373333
2021-10-24,14.05
2021-10-25,10.206666
2021-10-26,11.476666
2021-10-27,11.6033325
2021-10-28,12.959999
2021-10-29,15.126666
2021-10-30,13.726666
2021-10-31,13.400001
2021-11-01,16.636665
2021-11-02,16.796667
2021-11-03,16.03
2021-11-04,16.566666
2021-11-05,20.64
2021-11-06,18.143333
2021-11-07,14.193334
2021-11-08,15.906667
2021-11-09,15.159999
2021-11-10,7.9933333
2021-11-11,9.356667
2021-11-12,10.556666
2021-11-13,12.1433325
2021-11-14,14.86
2021-11-15,12.336666
2021-11-16,13.006667
2021-11-17,9.053333
2021-11-18,8.156667
2021-11-19,8.613334
2021-11-20,10.563333
2021-11-21,10.1866665
2021-11-22,13.779999
2021-11-23,9.726666
2021-11-24,7.47
2021-11-25,8.616666
2021-11-26,6.7099996
2021-11-27,11.983333
2021-11-28,11.37
2021-11-29,14.849999
2021-11-30,9.2
2021-12-01,7.3466663
2021-12-02,5.9533334
2021-12-03,10.27
2021-12-04,10.793332
2021-12-05,8.636666
2021-12-06,10.233334
2021-12-07,15.5199995
2021-12-08,13.836667
2021-12-09,11.433333
2021-12-10,15.383332
2021-12-11,13.779999
