time,RO122
2021-01-01,-0.235
2021-01-02,2.705
2021-01-03,0.047500014
2021-01-04,-1.015
2021-01-05,-4.4925
2021-01-06,-8.372499
2021-01-07,-5.115
2021-01-08,-6.4974995
2021-01-09,-2.9699998
2021-01-10,0.535
2021-01-11,1.665
2021-01-12,2.4474998
2021-01-13,0.0074999705
2021-01-14,0.6
2021-01-15,-2.77
2021-01-16,-15.634999
2021-01-17,-1.885
2021-01-18,-5.535
2021-01-19,-5.6925
2021-01-20,-0.2625
2021-01-21,2.05
2021-01-22,-8.4574995
2021-01-23,
2021-01-24,-8.0975
2021-01-25,-8.12
2021-01-26,-9.74
2021-01-27,-4.25
2021-01-28,0.08750002
2021-01-29,0.7925
2021-01-30,-2.19
2021-01-31,-0.53499997
2021-02-01,6.6674995
2021-02-02,8.684999
2021-02-03,7.4925
2021-02-04,4.45
2021-02-05,1.5049999
2021-02-06,6.7974997
2021-02-07,8.32
2021-02-08,1.3975
2021-02-09,4.5299997
2021-02-10,0.46
2021-02-11,-0.3025
2021-02-12,-7.5975
2021-02-13,-16.825
2021-02-14,-15.164999
2021-02-15,-7.7924995
2021-02-16,
2021-02-17,4.2574997
2021-02-18,-7.385
2021-02-19,
2021-02-20,-6.2999997
2021-02-21,-3.11
2021-02-22,-3.22
2021-02-23,13.959999
2021-02-24,9.317499
2021-02-25,
2021-02-26,1.385
2021-02-27,-8.7
2021-02-28,-7.015
2021-03-01,-0.03499999
2021-03-02,2.09
2021-03-03,-0.415
2021-03-04,1.2125
2021-03-05,-3.205
2021-03-06,-5.975
2021-03-07,
2021-03-08,0.5
2021-03-09,-1.49
2021-03-10,-0.6375
2021-03-11,0.635
2021-03-12,
2021-03-13,-8.405
2021-03-14,-5.2174997
2021-03-15,-6.4674997
2021-03-16,-4.7999997
2021-03-17,3.85
2021-03-18,-0.60249996
2021-03-19,-4.9825
2021-03-20,-11.202499
2021-03-21,-2.3774998
2021-03-22,-4.2725
2021-03-23,
2021-03-24,-4.73
2021-03-25,-6.27
2021-03-26,-4.2825
2021-03-27,-7.0775003
2021-03-28,-12.664999
2021-03-29,-6.325
2021-03-30,-4.3525
2021-03-31,-1.5225
2021-04-01,-1.1075
2021-04-02,-3.4424999
2021-04-03,-2.8100002
2021-04-04,-4.7349997
2021-04-05,
2021-04-06,-1.7249999
2021-04-07,1.25
2021-04-08,
2021-04-09,3.7149997
2021-04-10,-0.70750004
2021-04-11,1.5974998
2021-04-12,7.0750003
2021-04-13,
2021-04-14,-5.1549997
2021-04-15,1.1624999
2021-04-16,7.2199993
2021-04-17,13.504999
2021-04-18,10.82
2021-04-19,11.95
2021-04-20,7.5574994
2021-04-21,
2021-04-22,2.1149998
2021-04-23,0.5575
2021-04-24,5.3025002
2021-04-25,10.349999
2021-04-26,
2021-04-27,2.73
2021-04-28,12.4574995
2021-04-29,14.277499
2021-04-30,8.8375
2021-05-01,11.415
2021-05-02,9.022499
2021-05-03,9.0425
2021-05-04,12.3375
2021-05-05,4.2799997
2021-05-06,
2021-05-07,9.377501
2021-05-08,
2021-05-09,16.815
2021-05-10,11.48
2021-05-11,12.0199995
2021-05-12,14.37
2021-05-13,
2021-05-14,12.8
2021-05-15,
2021-05-16,12.44
2021-05-17,9.442499
2021-05-18,9.1075
2021-05-19,8.254999
2021-05-20,
2021-05-21,17.2475
2021-05-22,15.65
2021-05-23,8.907499
2021-05-24,13.225
2021-05-25,
2021-05-26,6.7174997
2021-05-27,9.545
2021-05-28,5.8424997
2021-05-29,7.0975
2021-05-30,
2021-05-31,10.23
2021-06-01,13.724999
2021-06-02,15.984999
2021-06-03,14.66
2021-06-04,19.210001
2021-06-05,11.599999
2021-06-06,
2021-06-07,3.92
2021-06-08,9.1925
2021-06-09,12.355
2021-06-10,11.357499
2021-06-11,10.874999
2021-06-12,10.709999
2021-06-13,6.6
2021-06-14,
2021-06-15,18.732498
2021-06-16,17.43
2021-06-17,15.952499
2021-06-18,21.1575
2021-06-19,22.707499
2021-06-20,27.83
2021-06-21,22.910002
2021-06-22,21.98
2021-06-23,18.1175
2021-06-24,13.287498
2021-06-25,10.557499
2021-06-26,9.9625
2021-06-27,15.3575
2021-06-28,15.407499
2021-06-29,17.0575
2021-06-30,15.075
2021-07-01,18.082499
2021-07-02,
2021-07-03,
2021-07-04,22.455
2021-07-05,17.5375
2021-07-06,18.967499
2021-07-07,22.93
2021-07-08,24.102497
2021-07-09,18.967499
2021-07-10,17.127499
2021-07-11,15.262499
2021-07-12,22.494999
2021-07-13,25.2625
2021-07-14,17.67
2021-07-15,18.925
2021-07-16,
2021-07-17,16.775
2021-07-18,22.1875
2021-07-19,16.06
2021-07-20,19.9175
2021-07-21,18.994999
2021-07-22,12.7375
2021-07-23,11.782499
2021-07-24,14.9175005
2021-07-25,15.352501
2021-07-26,23.712498
2021-07-27,23.0625
2021-07-28,18.61
2021-07-29,11.309999
2021-07-30,14.775
2021-07-31,19.9875
2021-08-01,19.36
2021-08-02,15.672499
2021-08-03,18.755
2021-08-04,19.1775
2021-08-05,20.27
2021-08-06,20.509998
2021-08-07,28.904999
2021-08-08,24.567501
2021-08-09,
2021-08-10,16.475
2021-08-11,15.1
2021-08-12,17.44
2021-08-13,21.2375
2021-08-14,18.295
2021-08-15,20.4
2021-08-16,18.99
2021-08-17,13.724999
2021-08-18,14.682499
2021-08-19,16.35
2021-08-20,20.935
2021-08-21,19.14
2021-08-22,21.762499
2021-08-23,16.1675
2021-08-24,14.992498
2021-08-25,20.779999
2021-08-26,24.0525
2021-08-27,
2021-08-28,18.2
2021-08-29,15.174999
2021-08-30,18.1675
2021-08-31,20.150002
2021-09-01,12.7425
2021-09-02,7.089999
2021-09-03,13.2725
2021-09-04,8.0625
2021-09-05,10.93
2021-09-06,
2021-09-07,12.0025
2021-09-08,9.355
2021-09-09,9.3525
2021-09-10,13.474999
2021-09-11,11.224999
2021-09-12,11.7675
2021-09-13,15.532499
2021-09-14,16.07
2021-09-15,15.2275
2021-09-16,15.907499
2021-09-17,13.412499
2021-09-18,13.6325
2021-09-19,
2021-09-20,
2021-09-21,12.469999
2021-09-22,
2021-09-23,
2021-09-24,11.237499
2021-09-25,11.339999
2021-09-26,8.3925
2021-09-27,11.025
2021-09-28,9.112499
2021-09-29,10.975
2021-09-30,8.245
2021-10-01,2.0299997
2021-10-02,5.3125
2021-10-03,8.9075
2021-10-04,12.1449995
2021-10-05,3.395
2021-10-06,-1.79
2021-10-07,-5.8675003
2021-10-08,
2021-10-09,-6.0299997
2021-10-10,-0.9675
2021-10-11,-0.71
2021-10-12,-1.0425
2021-10-13,-1.145
2021-10-14,2.5625
2021-10-15,6.665
2021-10-16,6.22
2021-10-17,11.605
2021-10-18,
2021-10-19,7.535
2021-10-20,9.8075
2021-10-21,
2021-10-22,-0.2625
2021-10-23,2.13
2021-10-24,6.545
2021-10-25,
2021-10-26,10.1325
2021-10-27,
2021-10-28,9.815
2021-10-29,9.889999
2021-10-30,15.4574995
2021-10-31,11.907499
2021-11-01,14.6375
2021-11-02,11.785
2021-11-03,6.09
2021-11-04,-2.2124999
2021-11-05,0.64
