time,SE313
2021-01-01,0.65999997
2021-01-02,3.37
2021-01-03,2.74
2021-01-04,3.62
2021-01-05,2.6799998
2021-01-06,3.77
2021-01-07,0.59999996
2021-01-08,0.48
2021-01-09,0.53
2021-01-10,0.14999999
2021-01-11,5.0
2021-01-12,8.21
2021-01-13,5.46
2021-01-14,9.0199995
2021-01-15,2.31
2021-01-16,3.6499999
2021-01-17,5.94
2021-01-18,4.4
2021-01-19,8.63
2021-01-20,9.28
2021-01-21,6.0299997
2021-01-22,3.9599998
2021-01-23,1.86
2021-01-24,-0.59999996
2021-01-25,2.19
2021-01-26,2.21
2021-01-27,6.8599997
2021-01-28,10.219999
2021-01-29,9.809999
2021-01-30,6.43
2021-01-31,2.44
2021-02-01,3.6
2021-02-02,7.7599998
2021-02-03,8.82
2021-02-04,6.06
2021-02-05,8.349999
2021-02-06,5.35
2021-02-07,2.46
2021-02-08,-1.53
2021-02-09,-0.84
2021-02-10,0.29
2021-02-11,-1.81
2021-02-12,0.03
2021-02-13,-1.6899999
2021-02-14,1.93
2021-02-15,7.47
2021-02-16,8.66
2021-02-17,8.95
2021-02-18,8.74
2021-02-19,7.0099998
2021-02-20,11.559999
2021-02-21,11.509999
2021-02-22,8.79
2021-02-23,9.139999
2021-02-24,12.96
2021-02-25,9.84
2021-02-26,6.45
2021-02-27,5.95
2021-02-28,5.81
2021-03-01,6.68
2021-03-02,6.1
2021-03-03,6.22
2021-03-04,5.85
2021-03-05,4.33
2021-03-06,2.7
2021-03-07,3.11
2021-03-08,3.86
2021-03-09,6.5299997
2021-03-10,6.5299997
2021-03-11,9.49
2021-03-12,7.2599998
2021-03-13,7.49
2021-03-14,6.79
2021-03-15,9.58
2021-03-16,9.82
2021-03-17,7.68
2021-03-18,6.5499997
2021-03-19,8.48
2021-03-20,6.02
2021-03-21,8.66
2021-03-22,7.31
2021-03-23,6.7599998
2021-03-24,8.139999
2021-03-25,7.56
2021-03-26,9.87
2021-03-27,6.99
2021-03-28,9.679999
2021-03-29,12.71
2021-03-30,12.53
2021-03-31,13.679999
2021-04-01,11.48
2021-04-02,7.8599997
2021-04-03,7.1099997
2021-04-04,7.5899997
2021-04-05,6.85
2021-04-06,3.4199998
2021-04-07,2.36
2021-04-08,6.67
2021-04-09,7.98
2021-04-10,6.66
2021-04-11,5.27
2021-04-12,4.29
2021-04-13,5.3599997
2021-04-14,6.6099997
2021-04-15,5.23
2021-04-16,5.2599998
2021-04-17,6.56
2021-04-18,6.81
2021-04-19,8.44
2021-04-20,9.7
2021-04-21,9.76
2021-04-22,7.71
2021-04-23,9.41
2021-04-24,9.929999
2021-04-25,8.42
2021-04-26,7.99
2021-04-27,7.74
2021-04-28,8.7
2021-04-29,7.3999996
2021-04-30,7.7799997
2021-05-01,6.89
2021-05-02,7.6
2021-05-03,8.78
2021-05-04,10.9
2021-05-05,8.07
2021-05-06,6.75
2021-05-07,8.33
2021-05-08,11.679999
2021-05-09,15.48
2021-05-10,13.24
2021-05-11,10.98
2021-05-12,12.509999
2021-05-13,11.73
2021-05-14,10.51
2021-05-15,11.23
2021-05-16,10.94
2021-05-17,12.799999
2021-05-18,11.28
2021-05-19,12.38
2021-05-20,10.09
2021-05-21,11.28
2021-05-22,11.599999
2021-05-23,8.87
2021-05-24,10.54
2021-05-25,10.9
2021-05-26,11.04
2021-05-27,12.719999
2021-05-28,13.74
2021-05-29,15.82
2021-05-30,14.33
2021-05-31,15.639999
2021-06-01,17.51
2021-06-02,19.109999
2021-06-03,18.26
2021-06-04,14.42
2021-06-05,15.179999
2021-06-06,16.33
2021-06-07,16.33
2021-06-08,16.48
2021-06-09,17.029999
2021-06-10,18.24
2021-06-11,18.949999
2021-06-12,18.09
2021-06-13,19.199999
2021-06-14,20.289999
2021-06-15,19.199999
2021-06-16,20.17
2021-06-17,19.32
2021-06-18,15.589999
2021-06-19,13.929999
2021-06-20,15.73
2021-06-21,13.059999
2021-06-22,14.219999
2021-06-23,13.7
2021-06-24,14.5
2021-06-25,17.19
2021-06-26,16.47
2021-06-27,17.34
2021-06-28,17.59
2021-06-29,16.609999
2021-06-30,15.17
2021-07-01,16.26
2021-07-02,18.25
2021-07-03,18.359999
2021-07-04,17.89
2021-07-05,16.72
2021-07-06,16.24
2021-07-07,16.46
2021-07-08,17.16
2021-07-09,18.13
2021-07-10,15.719999
2021-07-11,15.759999
2021-07-12,17.539999
2021-07-13,18.34
2021-07-14,19.189999
2021-07-15,18.05
2021-07-16,18.01
2021-07-17,20.14
2021-07-18,21.92
