time,SI036
2021-01-01,11.29
2021-01-02,10.599999
2021-01-03,9.83
2021-01-04,10.99
2021-01-05,10.17
2021-01-06,8.21
2021-01-07,9.0
2021-01-08,7.7799997
2021-01-09,8.41
2021-01-10,8.97
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,8.87
2021-01-15,6.66
2021-01-16,7.16
2021-01-17,6.66
2021-01-18,5.0899997
2021-01-19,0.79999995
2021-01-20,-0.31
2021-01-21,-0.53
2021-01-22,6.64
2021-01-23,
2021-01-24,10.429999
2021-01-25,10.88
2021-01-26,9.28
2021-01-27,10.0199995
2021-01-28,9.309999
2021-01-29,4.68
2021-01-30,8.5
2021-01-31,9.84
2021-02-01,7.3199997
2021-02-02,5.83
2021-02-03,8.13
2021-02-04,9.2699995
2021-02-05,8.33
2021-02-06,7.85
2021-02-07,7.37
2021-02-08,10.2699995
2021-02-09,12.3
2021-02-10,13.62
2021-02-11,11.349999
2021-02-12,10.9
2021-02-13,4.3399997
2021-02-14,6.72
2021-02-15,5.87
2021-02-16,1.9799999
2021-02-17,-1.9699999
2021-02-18,3.4299998
2021-02-19,0.42
2021-02-20,-1.8499999
2021-02-21,3.8799999
2021-02-22,2.82
2021-02-23,5.23
2021-02-24,3.21
2021-02-25,5.1099997
2021-02-26,9.53
2021-02-27,9.94
2021-02-28,8.15
2021-03-01,4.21
2021-03-02,4.63
2021-03-03,3.1399999
2021-03-04,8.0199995
2021-03-05,10.37
2021-03-06,10.2
2021-03-07,4.04
2021-03-08,6.21
2021-03-09,6.42
2021-03-10,5.23
2021-03-11,5.2
2021-03-12,0.87
2021-03-13,3.1399999
2021-03-14,5.5499997
2021-03-15,10.599999
2021-03-16,11.23
2021-03-17,10.57
2021-03-18,8.79
2021-03-19,8.32
2021-03-20,7.99
2021-03-21,6.94
2021-03-22,9.21
2021-03-23,
2021-03-24,4.77
2021-03-25,5.37
2021-03-26,7.18
2021-03-27,7.93
2021-03-28,8.44
2021-03-29,7.73
2021-03-30,6.75
2021-03-31,
2021-04-01,10.57
2021-04-02,
2021-04-03,
2021-04-04,12.46
