time,SK023
2021-01-01,1.6299999
2021-01-02,1.1075001
2021-01-03,2.5699997
2021-01-04,3.0525
2021-01-05,2.28
2021-01-06,1.9574999
2021-01-07,0.027500002
2021-01-08,0.120000005
2021-01-09,1.095
2021-01-10,2.695
2021-01-11,6.365
2021-01-12,4.085
2021-01-13,2.0049999
2021-01-14,2.6924996
2021-01-15,0.4525
2021-01-16,3.745
2021-01-17,4.98
2021-01-18,4.99
2021-01-19,6.6974998
2021-01-20,7.285
2021-01-21,3.83
2021-01-22,2.6275
2021-01-23,1.005
2021-01-24,-0.072500005
2021-01-25,0.9975
2021-01-26,2.995
2021-01-27,4.7475
2021-01-28,4.955
2021-01-29,6.205
2021-01-30,2.6625
2021-01-31,0.355
2021-02-01,2.79
2021-02-02,3.83
2021-02-03,5.6225
2021-02-04,4.4
2021-02-05,6.23
2021-02-06,4.3975
2021-02-07,1.5999999
2021-02-08,-0.26999998
2021-02-09,-0.24499999
2021-02-10,-0.1225
2021-02-11,-1.8249999
2021-02-12,-0.65749997
2021-02-13,-0.65749997
2021-02-14,1.825
2021-02-15,6.2675
2021-02-16,8.205
2021-02-17,7.7299995
2021-02-18,8.105
2021-02-19,6.22
2021-02-20,10.2225
2021-02-21,10.164999
2021-02-22,9.135
2021-02-23,8.3825
2021-02-24,12.18
2021-02-25,9.1525
2021-02-26,6.555
2021-02-27,5.8624997
2021-02-28,6.0724998
2021-03-01,4.8999996
2021-03-02,4.9275002
2021-03-03,3.875
2021-03-04,5.1525
2021-03-05,4.7574997
2021-03-06,3.345
2021-03-07,4.5699997
2021-03-08,5.93
2021-03-09,7.9175005
2021-03-10,7.1724997
2021-03-11,8.4725
2021-03-12,6.7725
2021-03-13,5.9174995
2021-03-14,6.9799995
2021-03-15,8.365
2021-03-16,9.077499
2021-03-17,8.005
2021-03-18,8.342501
2021-03-19,7.9849997
2021-03-20,8.647499
2021-03-21,8.325
2021-03-22,6.89
2021-03-23,7.5574994
2021-03-24,8.969999
2021-03-25,8.737499
2021-03-26,9.3975
2021-03-27,6.0699997
2021-03-28,10.465
2021-03-29,11.8875
2021-03-30,11.942499
2021-03-31,12.367499
2021-04-01,7.2699995
2021-04-02,6.0649996
2021-04-03,6.6375
2021-04-04,7.2949996
2021-04-05,3.9675
2021-04-06,3.1025
2021-04-07,3.2749999
2021-04-08,7.3999996
2021-04-09,5.625
2021-04-10,3.7675
2021-04-11,3.36
2021-04-12,4.5299997
2021-04-13,5.4075
2021-04-14,5.9575
2021-04-15,5.8724995
2021-04-16,5.9674997
2021-04-17,6.4999995
2021-04-18,6.995
2021-04-19,8.7925
2021-04-20,8.762501
2021-04-21,8.075
2021-04-22,5.95
2021-04-23,7.83
2021-04-24,7.77
2021-04-25,6.5325
2021-04-26,6.7349997
2021-04-27,7.3875
2021-04-28,7.7824993
2021-04-29,6.0675
2021-04-30,6.175
2021-05-01,5.765
2021-05-02,6.95
2021-05-03,7.9174995
2021-05-04,8.145
2021-05-05,7.0775003
