time,UKJ46
2021-01-01,5.6600003
2021-01-02,6.547143
2021-01-03,4.82
2021-01-04,6.1114283
2021-01-05,2.9457142
2021-01-06,0.2300001
2021-01-07,2.2
2021-01-08,0.5071429
2021-01-09,1.9671429
2021-01-10,3.7014287
2021-01-11,3.6399999
2021-01-12,6.567143
2021-01-13,4.957143
2021-01-14,4.5914283
2021-01-15,1.0371428
2021-01-16,-3.2771428
2021-01-17,1.6171428
2021-01-18,-0.8357142
2021-01-19,-2.7842858
2021-01-20,-2.492857
2021-01-21,-1.2071428
2021-01-22,-0.30857134
2021-01-23,-1.5857142
2021-01-24,2.5900002
2021-01-25,3.1457143
2021-01-26,0.48000008
2021-01-27,3.5414283
2021-01-28,4.6857142
2021-01-29,3.6957138
2021-01-30,2.802857
2021-01-31,3.9171429
2021-02-01,5.89
2021-02-02,6.355714
2021-02-03,6.4514284
2021-02-04,6.725714
2021-02-05,3.5614288
2021-02-06,5.9742856
2021-02-07,7.59
2021-02-08,5.062857
2021-02-09,7.6757135
2021-02-10,6.7057147
2021-02-11,6.2742853
2021-02-12,2.6714287
2021-02-13,-5.385714
2021-02-14,-4.217143
2021-02-15,-0.7528569
2021-02-16,-1.1299999
2021-02-17,-1.9285713
2021-02-18,-2.792857
2021-02-19,-3.0357144
2021-02-20,-5.6228566
2021-02-21,0.06428565
2021-02-22,-0.114285745
2021-02-23,7.1242857
2021-02-24,4.3471427
2021-02-25,2.125714
2021-02-26,5.9057136
2021-02-27,1.5642855
2021-02-28,1.4985715
2021-03-01,1.5314286
2021-03-02,2.8742855
2021-03-03,0.32714286
2021-03-04,3.947143
2021-03-05,3.1999996
2021-03-06,1.4742857
2021-03-07,2.4157143
2021-03-08,2.3428571
2021-03-09,0.6071428
2021-03-10,-0.41714284
2021-03-11,0.09142848
2021-03-12,-4.5799994
2021-03-13,-3.7728572
2021-03-14,-0.84571415
2021-03-15,2.1885715
2021-03-16,2.3485715
2021-03-17,5.2542853
2021-03-18,2.367143
2021-03-19,0.69
2021-03-20,-0.78428566
2021-03-21,0.59428567
2021-03-22,0.9042858
2021-03-23,-1.2685713
2021-03-24,-1.7714285
2021-03-25,-1.0842857
2021-03-26,1.1242857
2021-03-27,1.0971428
2021-03-28,-1.2028571
2021-03-29,0.8042857
2021-03-30,1.312857
2021-03-31,2.822857
2021-04-01,5.0285716
2021-04-02,4.33
2021-04-03,2.802857
2021-04-04,3.5385711
2021-04-05,6.372857
2021-04-06,5.544286
2021-04-07,6.94
2021-04-08,6.972857
2021-04-09,4.305714
2021-04-10,2.0671427
2021-04-11,2.5628572
2021-04-12,6.3628573
2021-04-13,3.1228566
2021-04-14,4.94
2021-04-15,6.54
2021-04-16,9.0199995
2021-04-17,10.0199995
2021-04-18,11.061429
2021-04-19,11.878571
2021-04-20,10.302856
2021-04-21,9.5
2021-04-22,7.177143
2021-04-23,7.6899996
2021-04-24,8.65
2021-04-25,9.931428
2021-04-26,10.248571
2021-04-27,6.271428
2021-04-28,10.744286
2021-04-29,12.811429
2021-04-30,11.084285
2021-05-01,13.7628565
2021-05-02,12.309999
2021-05-03,15.9657135
2021-05-04,13.159999
2021-05-05,8.937142
