time,UKK11
2021-01-01,8.7725
2021-01-02,9.216249
2021-01-03,7.7974997
2021-01-04,8.90625
2021-01-05,6.16875
2021-01-06,3.5262501
2021-01-07,6.4375
2021-01-08,3.94875
2021-01-09,3.9474998
2021-01-10,5.35
2021-01-11,5.604
2021-01-12,8.732
2021-01-13,8.546
2021-01-14,6.13625
2021-01-15,3.1549997
2021-01-16,1.5074999
2021-01-17,3.7237496
2021-01-18,1.92875
2021-01-19,-0.021249972
2021-01-20,-1.075
2021-01-21,-0.665
2021-01-22,4.01
2021-01-23,4.946
2021-01-24,7.09375
2021-01-25,7.6249995
2021-01-26,4.67875
2021-01-27,7.0275
2021-01-28,6.8187494
2021-01-29,4.42375
2021-01-30,5.9575005
2021-01-31,6.79375
2021-02-01,6.2425
2021-02-02,5.36125
2021-02-03,7.50625
2021-02-04,7.7075
2021-02-05,5.3462496
2021-02-06,6.3312497
2021-02-07,7.6375
2021-02-08,7.28625
2021-02-09,9.901249
2021-02-10,9.664999
2021-02-11,8.51125
2021-02-12,5.9537497
2021-02-13,-2.705
2021-02-14,0.47250003
2021-02-15,0.96375
2021-02-16,-0.16125
2021-02-17,-2.5425
2021-02-18,0.26875
2021-02-19,-1.0566667
2021-02-20,-4.40375
2021-02-21,1.485
2021-02-22,1.0387499
2021-02-23,6.5575
2021-02-24,3.8149998
2021-02-25,4.3433337
2021-02-26,8.934999
2021-02-27,6.1449995
2021-02-28,4.3125
2021-03-01,2.28625
2021-03-02,3.4975
2021-03-03,1.4825001
2021-03-04,6.52
2021-03-05,6.82125
2021-03-06,5.05125
2021-03-07,2.76
2021-03-08,4.6675
2021-03-09,3.235
2021-03-10,2.0025
2021-03-11,2.0625
2021-03-12,-1.3949999
2021-03-13,-0.55499995
2021-03-14,1.43125
2021-03-15,6.36125
2021-03-16,6.0462494
2021-03-17,7.0537496
2021-03-18,4.54875
2021-03-19,4.125
2021-03-20,3.2637498
2021-03-21,3.1750002
2021-03-22,4.34625
2021-03-23,
2021-03-24,0.86749995
2021-03-25,1.7987499
2021-03-26,3.7324998
2021-03-27,4.08625
2021-03-28,3.2925
2021-03-29,4.045
2021-03-30,3.1225
2021-03-31,5.002
2021-04-01,7.4249997
2021-04-02,8.474
2021-04-03,6.6660004
2021-04-04,7.0787497
2021-04-05,7.5224996
2021-04-06,8.784999
2021-04-07,10.4125
2021-04-08,9.416667
2021-04-09,5.87625
2021-04-10,4.50875
2021-04-11,4.36125
2021-04-12,6.91875
2021-04-13,6.88125
2021-04-14,8.6875
2021-04-15,8.99
2021-04-16,9.9725
2021-04-17,10.075
2021-04-18,12.3925
2021-04-19,13.66125
2021-04-20,12.03
2021-04-21,10.9225
2021-04-22,10.06875
2021-04-23,10.61125
2021-04-24,10.852499
2021-04-25,11.18125
2021-04-26,11.47375
2021-04-27,9.24625
2021-04-28,11.07
2021-04-29,13.451249
2021-04-30,13.553749
2021-05-01,15.4225
2021-05-02,15.472501
2021-05-03,19.438751
2021-05-04,15.1825
2021-05-05,12.315001
2021-05-06,12.801429
2021-05-07,13.15
2021-05-08,15.137499
2021-05-09,14.184999
2021-05-10,9.3175
2021-05-11,11.951249
2021-05-12,10.7725
2021-05-13,14.186666
2021-05-14,15.91
2021-05-15,16.368334
2021-05-16,15.104285
2021-05-17,15.4225
2021-05-18,14.6449995
2021-05-19,13.539999
2021-05-20,14.936249
2021-05-21,17.748749
2021-05-22,16.556252
2021-05-23,14.370001
2021-05-24,14.99375
2021-05-25,15.151249
2021-05-26,15.911249
2021-05-27,17.88
2021-05-28,16.633749
2021-05-29,17.705002
2021-05-30,15.861667
2021-05-31,13.614999
2021-06-01,13.782
2021-06-02,15.35
2021-06-03,15.258
2021-06-04,16.296
2021-06-05,15.12
2021-06-06,14.658
2021-06-07,14.422
2021-06-08,15.867999
2021-06-09,17.928
2021-06-10,17.970001
2021-06-11,18.157999
2021-06-12,18.067999
2021-06-13,16.38
2021-06-14,18.22
2021-06-15,19.49
2021-06-16,19.055998
2021-06-17,16.93
2021-06-18,18.971998
2021-06-19,19.572
2021-06-20,21.328
2021-06-21,22.365997
2021-06-22,21.06
2021-06-23,19.907999
2021-06-24,21.079998
2021-06-25,21.382
2021-06-26,21.514
2021-06-27,22.178
2021-06-28,21.026
2021-06-29,21.203999
2021-06-30,21.238
2021-07-01,23.147999
2021-07-02,
2021-07-03,24.073334
2021-07-04,22.186
2021-07-05,21.375
2021-07-06,21.763998
2021-07-07,22.036
2021-07-08,22.362
2021-07-09,20.509998
2021-07-10,22.605999
2021-07-11,24.738
2021-07-12,23.431997
2021-07-13,23.319998
2021-07-14,21.679998
2021-07-15,24.324
2021-07-16,
2021-07-17,24.632
2021-07-18,26.174
2021-07-19,26.403997
2021-07-20,26.472
2021-07-21,24.289999
2021-07-22,20.396
2021-07-23,18.496
2021-07-24,22.004002
2021-07-25,22.25
2021-07-26,24.268
2021-07-27,24.953999
2021-07-28,24.435999
2021-07-29,23.83
2021-07-30,22.654
2021-07-31,23.434002
2021-08-01,22.539999
2021-08-02,25.653997
2021-08-03,23.722
2021-08-04,23.036
2021-08-05,24.612
2021-08-06,27.135998
2021-08-07,25.35
2021-08-08,
2021-08-09,24.846666
2021-08-10,23.932
2021-08-11,23.45
2021-08-12,24.192
2021-08-13,23.068
2021-08-14,21.669998
2021-08-15,21.298
2021-08-16,22.908
2021-08-17,21.438
2021-08-18,22.268
2021-08-19,21.93
2021-08-20,20.2
2021-08-21,22.159998
2021-08-22,20.948002
2021-08-23,19.02
2021-08-24,20.072
2021-08-25,24.051998
2021-08-26,23.89
2021-08-27,24.026667
2021-08-28,21.598001
2021-08-29,23.476002
2021-08-30,24.259998
2021-08-31,22.955997
2021-09-01,21.232
2021-09-02,17.388
2021-09-03,15.421999
2021-09-04,17.251999
2021-09-05,17.609999
2021-09-06,
2021-09-07,16.058
2021-09-08,15.587999
2021-09-09,17.553999
2021-09-10,18.072
2021-09-11,19.172
2021-09-12,20.352
2021-09-13,19.806
2021-09-14,20.093998
2021-09-15,19.624
2021-09-16,19.289999
2021-09-17,16.466
2021-09-18,19.497997
2021-09-19,20.58
2021-09-20,18.66
2021-09-21,16.438
2021-09-22,13.903333
2021-09-23,12.627999
2021-09-24,12.294
2021-09-25,13.118001
2021-09-26,14.039999
2021-09-27,14.497999
2021-09-28,15.07
2021-09-29,13.283999
2021-09-30,13.486
2021-10-01,12.086
2021-10-02,13.144
2021-10-03,12.83
2021-10-04,14.421999
2021-10-05,12.216
2021-10-06,10.188
2021-10-07,9.786
2021-10-08,11.395999
2021-10-09,13.011999
2021-10-10,11.625999
2021-10-11,11.875999
2021-10-12,13.508
2021-10-13,14.478
2021-10-14,13.5199995
2021-10-15,14.378
2021-10-16,14.266001
2021-10-17,15.092
2021-10-18,
2021-10-19,10.853999
2021-10-20,11.4279995
2021-10-21,12.956666
2021-10-22,13.359999
2021-10-23,13.57
2021-10-24,12.334001
2021-10-25,10.34
2021-10-26,10.233999
2021-10-27,
2021-10-28,12.089999
2021-10-29,14.114
2021-10-30,14.87
2021-10-31,13.309999
2021-11-01,17.11
2021-11-02,
2021-11-03,15.268
2021-11-04,13.033999
2021-11-05,16.088001
2021-11-06,15.148
2021-11-07,11.628
2021-11-08,13.747999
2021-11-09,13.226
2021-11-10,8.363999
2021-11-11,9.375999
2021-11-12,9.265999
2021-11-13,11.094
2021-11-14,10.568
2021-11-15,
2021-11-16,10.804
2021-11-17,6.9300003
2021-11-18,5.3819995
2021-11-19,5.604
2021-11-20,9.078
2021-11-21,9.403999
2021-11-22,11.886
2021-11-23,7.336
2021-11-24,6.4779997
2021-11-25,7.7880006
2021-11-26,4.456
2021-11-27,6.866
2021-11-28,8.343333
2021-11-29,12.188
2021-11-30,
2021-12-01,6.4779997
2021-12-02,2.5239997
2021-12-03,5.0999994
2021-12-04,9.51
2021-12-05,9.264
2021-12-06,10.648
2021-12-07,13.67
2021-12-08,15.157999
2021-12-09,10.46
2021-12-10,13.681999
2021-12-11,10.602
2021-12-12,11.367999
2021-12-13,10.492
2021-12-14,9.356
2021-12-15,6.554
2021-12-16,6.1019998
2021-12-17,5.843333
2021-12-18,4.644
2021-12-19,4.804
2021-12-20,4.9399996
2021-12-21,2.03
2021-12-22,-2.035
2021-12-23,-1.4166665
2021-12-24,-1.5059999
2021-12-25,1.2559999
2021-12-26,3.366
2021-12-27,6.5059996
2021-12-28,4.5239997
2021-12-29,4.99
2021-12-30,4.488
2021-12-31,5.016
