ID_NO,NUTS_ID
322,DE254
323,DE255
324,DE256
325,DE257
402,DE258
403,DE259
404,DE25A
405,DE25B
406,DE25C
407,DE261
443,BG341
444,BG342
445,BG343
446,BG344
447,BG411
448,BG412
449,BG413
450,BG414
451,BG415
452,BG421
453,BG422
454,BG423
455,BG424
456,BG425
457,CH011
467,DE262
468,DE263
469,DE264
470,DE265
471,DE266
472,DE267
473,DE268
474,DE269
475,DE26A
476,DE26B
477,DE26C
478,DE271
479,DE272
480,DE273
481,DE274
483,AL013
484,AL015
485,AL014
486,AL011
487,AL012
488,AL021
489,AL022
490,AL034
491,AL031
492,AL032
493,AL035
494,AL033
495,AT111
496,AT112
497,AT113
498,AT121
500,CH055
501,CH056
502,CH057
503,CH061
504,CH062
505,CH063
506,CH064
507,CH065
508,CH066
509,CH070
510,CY000
511,CZ010
512,CZ020
513,CZ031
514,CZ032
515,CZ041
516,CZ042
517,CZ051
518,CZ052
519,CZ053
520,CZ063
521,CZ064
522,CZ071
523,CZ072
524,CZ080
525,DE111
526,DE112
527,DE113
528,DE114
529,DE115
530,DE116
531,DE117
532,DE118
533,DE119
534,DE11A
535,DE11B
536,DE11C
537,DE11D
538,DE121
539,DE122
540,DE123
541,DE124
542,DE125
543,DE126
552,DE234
553,DE235
554,DE236
555,DE237
556,DE238
557,DE239
558,DE23A
559,DE241
560,DE242
561,DE243
562,DE244
563,DE245
564,DE246
565,DE247
566,DE248
567,DE249
568,DE24A
569,DE24B
570,DE24C
571,DE24D
572,DE251
573,DE252
574,DE253
610,DK032
611,DK041
612,DK042
613,DK050
614,EE001
615,EE004
616,EE009
617,DEA16
618,DEA17
619,DEA18
620,DEA19
621,DEA1A
622,DEA1B
623,DE127
624,DE128
625,DE129
626,DE12A
627,DE12B
628,DE12C
629,DE131
630,DE132
631,DE133
632,DE134
633,DE135
634,DE136
635,DE137
636,DE138
637,DE139
638,DE13A
639,DE141
640,DE142
641,DE143
642,DE144
643,DE145
644,DE146
645,DE147
646,DE148
647,DE149
648,DE211
649,DE212
650,DE213
651,DE214
652,DE215
653,DE216
654,DE217
655,DE218
656,DE219
657,DE21A
658,DE21B
659,DE21C
660,DE21D
661,DE21E
662,DE21F
663,DE21G
664,DE21H
665,DE21I
666,DE21J
667,DE21K
668,DE21L
669,DE21M
670,DE21N
671,DE221
672,DE222
673,DE223
674,DE224
675,DE225
676,DE226
677,DE227
678,DE228
679,DE229
680,DE22A
681,DE22B
682,DE22C
683,DE231
684,DE232
685,DE233
686,DEE0B
687,DEE0C
688,DEE0D
689,DEE0E
690,DEF01
691,DEF02
692,DEF03
693,DEF04
694,DEF05
695,EL422
696,EL431
697,EL432
698,EL433
699,EL434
700,EL511
701,EL512
702,EL513
703,EL514
704,EL515
705,EL521
706,AT122
707,AT123
708,AT124
709,AT125
710,AT126
711,AT127
712,AT130
713,AT211
714,AT212
715,AT213
716,AT221
717,AT222
718,AT223
719,AT224
720,AT225
721,AT226
722,AT311
723,AT312
724,AT313
725,AT314
726,AT315
727,AT321
728,AT322
729,AT323
730,AT331
731,AT332
732,AT333
733,AT334
734,AT335
735,AT341
736,AT342
737,BE100
738,BE211
739,BE212
740,BE213
741,BE224
742,BE225
743,BE223
744,BE231
745,BE232
746,BE233
747,BE234
748,BE235
749,BE236
750,BE241
751,BE242
752,BE251
753,BE252
754,BE253
755,BE254
756,BE255
757,BE256
758,BE257
759,BE258
760,BE310
761,BE32A
762,BE32B
763,BE323
764,BE328
765,BE32C
766,BE32D
767,BE331
768,BE332
769,BE334
770,BE335
771,BE336
772,BE341
773,BE342
774,BE343
775,BE344
776,BE345
777,BE351
778,BE352
779,BE353
780,BG311
781,BG312
782,BG313
783,BG314
784,BG315
785,BG321
786,BG322
787,BG323
788,BG324
789,BG325
790,BG331
791,BG332
792,BG333
793,BG334
794,DED51
795,DED52
796,DED53
797,DEE01
798,DEE02
799,DEE03
800,DEE04
801,DEE05
802,DEE06
803,DEE07
804,DEE08
805,DEE09
806,DEE0A
807,FRJ13
808,FRJ14
809,FRJ15
810,FRJ21
811,DEF06
812,DEF07
813,DEF08
814,DEF09
815,DEF0A
816,DEF0B
817,DEF0C
818,DEF0D
819,DEF0E
820,DEF0F
821,DEG01
822,DEG02
823,DEG03
824,DEG04
825,DEG05
826,DEG06
827,DEG07
828,DEG09
829,DEG0A
830,DEG0B
831,DEG0C
832,DEG0D
833,DEG0E
834,DEG0F
835,DEG0G
836,DEG0H
837,DEG0I
838,DEG0J
839,DEG0K
840,DEG0L
841,DEG0M
842,DEG0N
843,DEG0P
844,DK011
845,DK012
846,EL421
847,CH012
848,CH013
849,CH021
850,CH022
851,CH023
852,CH024
853,CH025
854,CH031
855,CH032
856,CH033
857,CH040
858,CH051
859,CH052
860,CH053
861,CH054
862,EL522
863,EL523
864,EL524
865,EL525
866,EL526
867,EL527
868,EL531
869,EL532
870,EL533
871,EL541
872,EL542
873,EL543
874,EL611
875,EL612
876,EL613
877,DK013
878,DK014
879,DK021
880,DK022
881,DK031
882,DE943
883,DE944
884,DE945
885,DE946
886,DE947
887,DE948
888,DE949
889,DE94A
890,DE94B
891,DE94C
892,DE94D
893,DE94E
894,DE94F
895,DE94G
896,DE94H
897,DEA11
898,DEA12
899,DEA13
900,DEA14
901,DEA15
902,FRK24
903,FRK25
904,FRK26
905,FRK27
906,FRK28
907,DEA1C
908,DEA1D
909,DEA1E
910,DEA1F
911,DEA22
912,DEA23
913,DEA24
914,DEA26
915,DEA27
916,DEA28
917,DEA29
918,DEA2A
919,DEA2B
920,DEA2C
921,DEA2D
922,DEA31
923,DEA32
924,DEA33
925,DEA34
926,DEA35
927,DEA36
928,DEA37
929,DEA38
930,DEA41
931,DEA42
932,DEA43
933,DEA44
934,DEA45
935,DEA46
936,DEA47
937,DEA51
938,DEA52
939,DEA53
940,DEA54
941,DEA55
942,DEA56
943,DEA57
944,DEA58
945,DEA59
946,DEA5A
947,DEA5B
948,DEA5C
949,DEB11
950,DEB12
951,DEB13
952,DEB14
953,DEB15
954,DEB17
955,DEB18
956,DEB1A
957,DEB1B
958,DEB1C
959,DEB1D
960,DEB21
961,DEB22
962,DEB23
963,DEB24
964,DEB25
965,DEB31
966,DEB32
967,DEB33
968,DEB34
969,DEB35
970,DEB36
971,DEB37
972,DEB38
973,DEB39
974,DEB3A
975,DEB3B
976,DEB3C
977,DEB3D
978,DEB3E
979,DEB3F
980,DEB3G
981,DEB3H
982,DEB3I
983,DEB3J
