time,AL032
2021-01-01,1.3
2021-01-02,0.435
2021-01-03,0.205
2021-01-04,0.24499999
2021-01-05,0.66999996
2021-01-06,0.86
2021-01-07,0.54999995
2021-01-08,-0.215
2021-01-09,-0.865
2021-01-10,-3.205
2021-01-11,-2.96
2021-01-12,0.735
2021-01-13,0.39
2021-01-14,0.45499998
2021-01-15,-1.005
2021-01-16,-2.435
2021-01-17,-0.37
2021-01-18,1.805
2021-01-19,1.9549999
2021-01-20,6.3999996
2021-01-21,8.365
2021-01-22,4.895
2021-01-23,2.53
2021-01-24,0.355
2021-01-25,0.17
2021-01-26,0.45499998
2021-01-27,0.265
2021-01-28,6.575
2021-01-29,8.184999
2021-01-30,4.38
2021-01-31,0.09
2021-02-01,4.39
2021-02-02,7.68
2021-02-03,9.690001
2021-02-04,6.58
2021-02-05,6.2749996
2021-02-06,5.625
2021-02-07,4.315
2021-02-08,-2.34
2021-02-09,-6.1549997
2021-02-10,-8.099999
2021-02-11,-6.465
2021-02-12,-6.59
2021-02-13,-6.26
2021-02-14,-3.4199998
2021-02-15,0.32500002
2021-02-16,6.91
2021-02-17,7.25
2021-02-18,5.855
2021-02-19,6.4049997
2021-02-20,8.59
2021-02-21,8.969999
2021-02-22,8.725
2021-02-23,12.785
2021-02-24,11.9
2021-02-25,10.775
2021-02-26,5.2749996
2021-02-27,3.645
2021-02-28,3.705
2021-03-01,5.035
2021-03-02,6.705
2021-03-03,8.025
2021-03-04,7.7349997
2021-03-05,2.65
2021-03-06,1.015
2021-03-07,1.3299999
2021-03-08,1.505
2021-03-09,2.63
2021-03-10,5.795
2021-03-11,7.96
2021-03-12,5.995
2021-03-13,5.31
2021-03-14,3.25
2021-03-15,4.545
2021-03-16,4.265
2021-03-17,3.3249998
2021-03-18,2.185
2021-03-19,1.5249999
2021-03-20,1.17
2021-03-21,3.9799998
2021-03-22,4.15
2021-03-23,5.1949997
2021-03-24,6.87
2021-03-25,8.349999
2021-03-26,9.62
2021-03-27,6.93
2021-03-28,9.315
2021-03-29,12.629999
2021-03-30,13.86
2021-03-31,15.709999
2021-04-01,15.6449995
2021-04-02,7.74
2021-04-03,6.83
2021-04-04,6.4399996
2021-04-05,3.21
2021-04-06,0.77
2021-04-07,1.06
2021-04-08,3.56
2021-04-09,8.54
2021-04-10,10.125
2021-04-11,8.03
2021-04-12,3.6999998
2021-04-13,3.4899998
2021-04-14,2.855
2021-04-15,3.5099998
2021-04-16,3.645
2021-04-17,6.5499997
2021-04-18,7.0649996
2021-04-19,7.3999996
2021-04-20,8.92
2021-04-21,11.235
2021-04-22,9.02
2021-04-23,9.014999
2021-04-24,10.57
2021-04-25,9.365
2021-04-26,8.83
2021-04-27,9.58
2021-04-28,10.789999
2021-04-29,10.355
2021-04-30,5.385
2021-05-01,7.765
2021-05-02,8.45
2021-05-03,8.065
2021-05-04,9.065
2021-05-05,6.8999996
2021-05-06,6.045
2021-05-07,7.6549997
2021-05-08,10.545
2021-05-09,19.145
2021-05-10,14.82
2021-05-11,11.849999
2021-05-12,11.844999
2021-05-13,10.82
2021-05-14,10.825
2021-05-15,9.785
2021-05-16,11.315001
2021-05-17,10.26
2021-05-18,9.929999
2021-05-19,9.334999
2021-05-20,11.49
2021-05-21,12.61
2021-05-22,10.7
2021-05-23,10.71
2021-05-24,10.69
2021-05-25,9.195
2021-05-26,9.545
2021-05-27,10.76
2021-05-28,12.485
